query,title,doi,url,publisher,container_title,published
lightning induced isothermal remanent magnetization,"Magnetization, Natural Remanent (NRM)",10.1007/springerreference_77687,https://doi.org/10.1007/springerreference_77687,Springer-Verlag,SpringerReference,None
lightning induced isothermal remanent magnetization,Estimating peak currents at ground lightning impacts using remanent magnetization,10.1029/2002gl015207,https://doi.org/10.1029/2002gl015207,American Geophysical Union (AGU),Geophysical Research Letters,2002-9
lightning induced isothermal remanent magnetization,"Magnetization, Viscous Remanent (VRM)",10.1007/springerreference_77694,https://doi.org/10.1007/springerreference_77694,Springer-Verlag,SpringerReference,None
lightning induced isothermal remanent magnetization,"Magnetization, Remanent, Fold Test",10.1007/springerreference_77691,https://doi.org/10.1007/springerreference_77691,Springer-Verlag,SpringerReference,None
lightning induced isothermal remanent magnetization,"Magnetization, Chemical Remanent (CRM)",10.1007/springerreference_77684,https://doi.org/10.1007/springerreference_77684,Springer-Verlag,SpringerReference,None
lightning induced isothermal remanent magnetization,Natural remanent magnetization (NRM),10.1007/springerreference_4187,https://doi.org/10.1007/springerreference_4187,Springer-Verlag,SpringerReference,None
remanent magnetization lightning current,Study of lightning current by remanent magnetization,10.1002/(sici)1520-6416(199806)123:4<41::aid-eej6>3.0.co;2-o,https://doi.org/10.1002/(sici)1520-6416(199806)123:4<41::aid-eej6>3.0.co;2-o,Wiley,Electrical Engineering in Japan,1998-6
remanent magnetization lightning current,Propagation of Lightning Current Studied by Remanent Magnetization,10.1541/ieejpes.133.694,https://doi.org/10.1541/ieejpes.133.694,Institute of Electrical Engineers of Japan (IEE Japan),IEEJ Transactions on Power and Energy,2013
remanent magnetization lightning current,Anomalous remanent magnetization of basalt,10.3133/b1083e,https://doi.org/10.3133/b1083e,US Geological Survey,,1960
remanent magnetization lightning current,Remanent magnetization as a fossil of lightning current,10.2183/pjab.78.1,https://doi.org/10.2183/pjab.78.1,Japan Academy,"Proceedings of the Japan Academy, Series B",2002
remanent magnetization lightning current,Trapdoor viscous remanent magnetization,10.22541/essoar.169945514.44942099/v1,https://doi.org/10.22541/essoar.169945514.44942099/v1,Wiley,,2023-11-8
remanent magnetization lightning current,Viscous remanent magnetization (VRM) and viscous remagnetization,10.1007/springerreference_4239,https://doi.org/10.1007/springerreference_4239,Springer-Verlag,SpringerReference,None
remanent magnetization lightning current,Measurement of the remanent magnetization of igneous rocks,10.3133/b1203a,https://doi.org/10.3133/b1203a,US Geological Survey,,1965
remanent magnetization lightning current,Thermochemical Remanent Magnetization and Thermal Remanent Magnetization: Comparison in a Basalt,10.1126/science.170.3958.628,https://doi.org/10.1126/science.170.3958.628,American Association for the Advancement of Science (AAAS),Science,1970-11-6
magnetic observatory lightning protection,Protection against lightning on the geomagnetic observatory,10.5194/gid-4-213-2014,https://doi.org/10.5194/gid-4-213-2014,Copernicus GmbH,,2014-4-29
magnetic observatory lightning protection,"Lightning Observatory in Gainesville (LOG), Florida: A review of recent results",10.1109/iclp.2012.6344380,https://doi.org/10.1109/iclp.2012.6344380,IEEE,2012 International Conference on Lightning Protection (ICLP),2012-9
magnetic observatory lightning protection,Protection of telecommunication equipment from nearby lightning magnetic field,10.1109/sipda.2011.6088418,https://doi.org/10.1109/sipda.2011.6088418,IEEE,2011 International Symposium on Lightning Protection,2011-10
magnetic observatory lightning protection,"New high-speed video observations of natural lightning at the Lightning Observatory in Gainesville, Florida",10.1109/sipda.2015.7339337,https://doi.org/10.1109/sipda.2015.7339337,IEEE,2015 International Symposium on Lightning Protection (XIII SIPDA),2015-9
magnetic observatory lightning protection,Lightning Observatory in Rzeszów including a new system for lightning current measurement mounted on a 220 m high residential skyscraper,10.1109/sipda68639.2025.11296695,https://doi.org/10.1109/sipda68639.2025.11296695,IEEE,2025 International Symposium on Lightning Protection (XVIII SIPDA),2025-9-21
magnetic observatory lightning protection,Electric and magnetic field during lightning on selected HV substations points,10.1109/iclp.2010.7845844,https://doi.org/10.1109/iclp.2010.7845844,IEEE,2010 30th International Conference on Lightning Protection (ICLP),2010-9
magnetic observatory lightning protection,Modelling proximity effects in transverse magnetic mode for lightning studies,10.1109/iclp.2014.6973419,https://doi.org/10.1109/iclp.2014.6973419,IEEE,2014 International Conference on Lightning Protection (ICLP),2014-10
magnetic observatory lightning protection,"Introduction: lightning, its destructive effects and protection",10.1887/0750304774/b415c1,https://doi.org/10.1887/0750304774/b415c1,IOP Publishing Ltd,Lightning Physics and Lightning Protection,None
magnetic observatory lightning protection,Evaluation of lightning location and lightning current wave shape using measured lightning magnetic fields at two stations,10.1109/iclp.2016.7791490,https://doi.org/10.1109/iclp.2016.7791490,IEEE,2016 33rd International Conference on Lightning Protection (ICLP),2016-9
magnetic observatory lightning protection,Available lightning data,10.1887/0750304774/b415c3,https://doi.org/10.1887/0750304774/b415c3,IOP Publishing Ltd,Lightning Physics and Lightning Protection,None
magnetic observatory lightning protection,Deep Learning-Based Prediction of Magnetic Fields in Buildings Struck by Lightning,10.1109/sipda68639.2025.11296733,https://doi.org/10.1109/sipda68639.2025.11296733,IEEE,2025 International Symposium on Lightning Protection (XVIII SIPDA),2025-9-21
magnetic observatory lightning protection,Lightning attraction by objects,10.1887/0750304774/b415c5,https://doi.org/10.1887/0750304774/b415c5,IOP Publishing Ltd,Lightning Physics and Lightning Protection,None
magnetic observatory lightning protection,Internal lightning protection zones,10.1002/9780470030875.ch22,https://doi.org/10.1002/9780470030875.ch22,Wiley,Understanding Lightning and Lightning Protection,2006-4-21
magnetic observatory lightning protection,External lightning protection system,10.1049/pbpo058e_ch6,https://doi.org/10.1049/pbpo058e_ch6,Institution of Engineering and Technology,Lightning Protection,2010-1-1
magnetic observatory lightning protection,Influence of Spatial Grid-like Shield Dimensions on Attenuation of Nearby Lightning Magnetic Field,10.1109/iclp.2018.8503335,https://doi.org/10.1109/iclp.2018.8503335,IEEE,2018 34th International Conference on Lightning Protection (ICLP),2018-9
magnetic observatory lightning protection,Residual risk of lightning protection,10.1002/9780470030875.ch14,https://doi.org/10.1002/9780470030875.ch14,Wiley,Understanding Lightning and Lightning Protection,2006-4-21
geomagnetic observatory lightning remanent magnetization,Determination of Palaeointensities of the Geomagnetic Field from Anhysteretic Remanent Magnetization Measurements,10.1515/9783112496503-057,https://doi.org/10.1515/9783112496503-057,De Gruyter,November 16,1972-12-31
geomagnetic observatory lightning remanent magnetization,Effect of Uniaxial Stress upon Remanent Magnetization: Stress Cycling and Domain State Dependence,10.1007/978-94-010-9825-0_14,https://doi.org/10.1007/978-94-010-9825-0_14,Springer Netherlands,Tectonomagnetics and Local Geomagnetic Field Variations,1979
geomagnetic observatory lightning remanent magnetization,Determination of palaeointensities of the geomagnetic field from anhysteretic remanent magnetization measurements,10.1002/pssa.2210140155,https://doi.org/10.1002/pssa.2210140155,Wiley,Physica Status Solidi (a),1972-11-16
