样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,反推初值裕度(mT),校准Z值,Bootstrap支持率,校准支持概率,三区域判定,高风险提示
小号铁钉,4,2,2.3461,0.808559,0.808559,2.901582,2.892993,2.909882,0.005821,1.901582,4.529345,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,4,3,2.1023,0.745802,0.745802,2.818846,2.810224,2.827213,0.006027,1.818846,4.343551,0.9995,0.999993,支持曾遭雷击,否
小号铁钉,4,4,1.9895,0.698656,0.698656,2.84761,2.840004,2.855008,0.005269,1.84761,4.408349,0.9995,0.999995,支持曾遭雷击,否
小号铁钉,4,5,1.8781,0.651078,0.651078,2.884601,2.877556,2.891426,0.004808,1.884601,4.49141,0.9995,0.999996,支持曾遭雷击,否
小号铁钉,4,6,1.7763,0.616501,0.616501,2.88126,2.876154,2.886154,0.003471,1.88126,4.484002,0.9995,0.999996,支持曾遭雷击,否
小号铁钉,4,7,1.6806,0.57979,0.57979,2.898634,2.89487,2.902242,0.002543,1.898634,4.52297,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,4,8,1.5932,0.553038,0.553038,2.880815,2.879336,2.882217,0.001,1.880815,4.483092,0.9995,0.999996,支持曾遭雷击,否
小号铁钉,4,9,1.5033,0.516667,0.516667,2.90961,2.908672,2.910603,0.000663,1.90961,4.547579,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,4,10,1.4158,0.474942,0.474942,2.980992,2.979944,2.982079,0.000716,1.980992,4.706755,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,4,11,1.3314,0.432305,0.432305,3.079772,3.077675,3.081858,0.001358,2.079772,4.92541,0.9995,1.0,支持曾遭雷击,否
小号铁钉,4,12,1.2543,0.396366,0.396366,3.164501,3.161617,3.167439,0.00184,2.164501,5.111445,0.9995,1.0,支持曾遭雷击,否
小号铁钉,4,13,1.191,0.389712,0.389712,3.056101,3.053616,3.058702,0.001664,2.056101,4.873171,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,4,14,1.1261,0.369112,0.369112,3.050834,3.046341,3.055491,0.002999,2.050834,4.861482,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,4,15,1.0621,0.345197,0.345197,3.076793,3.071172,3.082614,0.003719,2.076793,4.918736,0.9995,1.0,支持曾遭雷击,否
小号铁钉,4,22,0.5864,0.212358,0.212358,2.761371,2.751089,2.771749,0.007482,1.761371,4.213638,0.9995,0.999987,支持曾遭雷击,否
小号铁钉,4,30,0.3171,0.111506,0.111506,2.843806,2.834221,2.853593,0.006812,1.843806,4.399657,0.9995,0.999995,支持曾遭雷击,否
小号铁钉,4,37,0.2016,0.071699,0.071699,2.811742,2.794252,2.829729,0.012617,1.811742,4.32668,0.9995,0.999992,支持曾遭雷击,否
小号铁钉,4,44,0.1213,0.041917,0.041917,2.893784,2.874884,2.913538,0.013358,1.893784,4.510735,0.9995,0.999997,灰区/证据不足,是
小号铁钉,4,51,0.0724,0.022821,0.022821,3.172508,3.155055,3.190079,0.01104,2.172508,5.127734,0.9995,1.0,灰区/证据不足,是
小号铁钉,4,58,0.0317,0.011383,0.011383,2.784971,2.776728,2.793204,0.005916,1.784971,4.267149,0.9995,0.99999,灰区/证据不足,是
小号铁钉,4,90,0.0017,0.00058,0.00058,2.930956,2.889395,2.968042,0.026833,1.930956,4.589811,0.9995,0.999998,灰区/证据不足,是
小号铁钉,5,1,1.7502,0.875958,0.875958,1.99804,1.992175,2.003717,0.005777,0.99804,2.437066,0.9995,0.992597,支持曾遭雷击,否
小号铁钉,5,2,1.5683,0.808559,0.808559,1.939623,1.933882,1.945172,0.005821,0.939623,2.297465,0.9995,0.989204,支持曾遭雷击,否
小号铁钉,5,3,1.4052,0.745802,0.745802,1.884147,1.878384,1.88974,0.006027,0.884147,2.164472,0.9995,0.984786,支持曾遭雷击,否
小号铁钉,5,4,1.3299,0.698656,0.698656,1.903512,1.898427,1.908457,0.005269,0.903512,2.210955,0.9995,0.986481,支持曾遭雷击,否
小号铁钉,5,5,1.2554,0.651078,0.651078,1.928187,1.923478,1.932749,0.004808,0.928187,2.270104,0.9995,0.988399,支持曾遭雷击,否
小号铁钉,5,6,1.1874,0.616501,0.616501,1.92603,1.922617,1.929302,0.003471,0.92603,2.264957,0.9995,0.988242,支持曾遭雷击,否
小号铁钉,5,7,1.1234,0.57979,0.57979,1.937597,1.935081,1.940009,0.002543,0.937597,2.292668,0.9995,0.989066,支持曾遭雷击,否
小号铁钉,5,8,1.065,0.553038,0.553038,1.925727,1.924738,1.926664,0.001,0.925727,2.264251,0.9995,0.988221,支持曾遭雷击,否
小号铁钉,5,9,1.0049,0.516667,0.516667,1.944966,1.944339,1.945629,0.000663,0.944966,2.310317,0.9995,0.989565,支持曾遭雷击,否
小号铁钉,5,10,0.9464,0.474942,0.474942,1.992662,1.991961,1.993388,0.000716,0.992662,2.424304,0.9995,0.992331,支持曾遭雷击,否
小号铁钉,5,11,0.8899,0.432305,0.432305,2.058502,2.0571,2.059896,0.001358,1.058502,2.581138,0.9995,0.995076,支持曾遭雷击,否
小号铁钉,5,12,0.8384,0.396366,0.396366,2.115218,2.11329,2.117182,0.00184,1.115218,2.715751,0.9995,0.996694,支持曾遭雷击,否
小号铁钉,5,13,0.7961,0.389712,0.389712,2.042789,2.041128,2.044528,0.001664,1.042789,2.543761,0.9995,0.994517,支持曾遭雷击,否
小号铁钉,5,14,0.7528,0.369112,0.369112,2.039489,2.036485,2.042602,0.002999,1.039489,2.535893,0.9995,0.994392,支持曾遭雷击,否
小号铁钉,5,15,0.7099,0.345197,0.345197,2.056507,2.052749,2.060397,0.003719,1.056507,2.576368,0.9995,0.995008,支持曾遭雷击,否
小号铁钉,5,22,0.392,0.212358,0.212358,1.845937,1.839063,1.852874,0.007482,0.845937,2.072616,0.9995,0.980896,支持曾遭雷击,否
小号铁钉,5,30,0.2119,0.111506,0.111506,1.900354,1.89395,1.906895,0.006812,0.900354,2.203349,0.9995,0.986215,支持曾遭雷击,否
小号铁钉,5,37,0.1348,0.071699,0.071699,1.880074,1.868379,1.8921,0.012617,0.880074,2.15449,0.9995,0.984399,支持曾遭雷击,否
小号铁钉,5,44,0.0811,0.041917,0.041917,1.934756,1.922119,1.947963,0.013358,0.934756,2.285537,0.9995,0.988859,灰区/证据不足,是
小号铁钉,5,51,0.0484,0.022821,0.022821,2.120848,2.10918,2.132594,0.01104,1.120848,2.72878,0.9995,0.996822,灰区/证据不足,是
小号铁钉,5,58,0.0212,0.011383,0.011383,1.862504,1.856991,1.86801,0.005916,0.862504,2.112487,0.9995,0.982678,灰区/证据不足,是
小号铁钉,5,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,1.06891,2.604257,0.9995,0.995396,灰区/证据不足,是
小号铁钉,6,1,1.7501,0.875958,0.875958,1.997926,1.992061,2.003603,0.005777,0.997926,2.436794,0.9995,0.992591,支持曾遭雷击,否
小号铁钉,6,2,1.5682,0.808559,0.808559,1.9395,1.933759,1.945048,0.005821,0.9395,2.297169,0.9995,0.989195,支持曾遭雷击,否
小号铁钉,6,3,1.4052,0.745802,0.745802,1.884147,1.878384,1.88974,0.006027,0.884147,2.164472,0.9995,0.984786,支持曾遭雷击,否
小号铁钉,6,4,1.3298,0.698656,0.698656,1.903369,1.898284,1.908313,0.005269,0.903369,2.210611,0.9995,0.986469,支持曾遭雷击,否
小号铁钉,6,5,1.2554,0.651078,0.651078,1.928187,1.923478,1.932749,0.004808,0.928187,2.270104,0.9995,0.988399,支持曾遭雷击,否
小号铁钉,6,6,1.1874,0.616501,0.616501,1.92603,1.922617,1.929302,0.003471,0.92603,2.264957,0.9995,0.988242,支持曾遭雷击,否
小号铁钉,6,7,1.1233,0.57979,0.57979,1.937425,1.934909,1.939836,0.002543,0.937425,2.292255,0.9995,0.989055,支持曾遭雷击,否
小号铁钉,6,8,1.065,0.553038,0.553038,1.925727,1.924738,1.926664,0.001,0.925727,2.264251,0.9995,0.988221,支持曾遭雷击,否
小号铁钉,6,9,1.0049,0.516667,0.516667,1.944966,1.944339,1.945629,0.000663,0.944966,2.310317,0.9995,0.989565,支持曾遭雷击,否
小号铁钉,6,10,0.9464,0.474942,0.474942,1.992662,1.991961,1.993388,0.000716,0.992662,2.424304,0.9995,0.992331,支持曾遭雷击,否
小号铁钉,6,11,0.8899,0.432305,0.432305,2.058502,2.0571,2.059896,0.001358,1.058502,2.581138,0.9995,0.995076,支持曾遭雷击,否
小号铁钉,6,12,0.8384,0.396366,0.396366,2.115218,2.11329,2.117182,0.00184,1.115218,2.715751,0.9995,0.996694,支持曾遭雷击,否
小号铁钉,6,13,0.7961,0.389712,0.389712,2.042789,2.041128,2.044528,0.001664,1.042789,2.543761,0.9995,0.994517,支持曾遭雷击,否
小号铁钉,6,14,0.7527,0.369112,0.369112,2.039218,2.036214,2.04233,0.002999,1.039218,2.535248,0.9995,0.994382,支持曾遭雷击,否
小号铁钉,6,15,0.7099,0.345197,0.345197,2.056507,2.052749,2.060397,0.003719,1.056507,2.576368,0.9995,0.995008,支持曾遭雷击,否
小号铁钉,6,22,0.3919,0.212358,0.212358,1.845466,1.838594,1.852402,0.007482,0.845466,2.071483,0.9995,0.980843,支持曾遭雷击,否
小号铁钉,6,30,0.2119,0.111506,0.111506,1.900354,1.89395,1.906895,0.006812,0.900354,2.203349,0.9995,0.986215,支持曾遭雷击,否
小号铁钉,6,37,0.1348,0.071699,0.071699,1.880074,1.868379,1.8921,0.012617,0.880074,2.15449,0.9995,0.984399,支持曾遭雷击,否
小号铁钉,6,44,0.0811,0.041917,0.041917,1.934756,1.922119,1.947963,0.013358,0.934756,2.285537,0.9995,0.988859,灰区/证据不足,是
小号铁钉,6,51,0.0484,0.022821,0.022821,2.120848,2.10918,2.132594,0.01104,1.120848,2.72878,0.9995,0.996822,灰区/证据不足,是
小号铁钉,6,58,0.0212,0.011383,0.011383,1.862504,1.856991,1.86801,0.005916,0.862504,2.112487,0.9995,0.982678,灰区/证据不足,是
小号铁钉,6,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,1.06891,2.604257,0.9995,0.995396,灰区/证据不足,是
小号铁钉,7,1,1.5581,0.875958,0.875958,1.778738,1.773516,1.783791,0.005777,0.778738,1.910697,0.9995,0.971978,灰区/证据不足,否
小号铁钉,7,2,1.3961,0.808559,0.808559,1.726652,1.721541,1.731592,0.005821,0.726652,1.784795,0.9995,0.962853,灰区/证据不足,否
小号铁钉,7,3,1.251,0.745802,0.745802,1.67739,1.672259,1.682369,0.006027,0.67739,1.665425,0.9995,0.952086,灰区/证据不足,否
小号铁钉,7,4,1.1839,0.698656,0.698656,1.694539,1.690013,1.698941,0.005269,0.694539,1.707021,0.9995,0.956091,灰区/证据不足,否
小号铁钉,7,5,1.1176,0.651078,0.651078,1.716538,1.712346,1.7206,0.004808,0.716538,1.760324,0.9995,0.960824,灰区/证据不足,否
小号铁钉,7,6,1.0571,0.616501,0.616501,1.714676,1.711638,1.717589,0.003471,0.714676,1.755828,0.9995,0.960441,灰区/证据不足,否
小号铁钉,7,7,1.0001,0.57979,0.57979,1.724934,1.722694,1.727081,0.002543,0.724934,1.78067,0.9995,0.962517,灰区/证据不足,否
小号铁钉,7,8,0.9481,0.553038,0.553038,1.714349,1.713469,1.715183,0.001,0.714349,1.755048,0.9995,0.960374,灰区/证据不足,否
小号铁钉,7,9,0.8946,0.516667,0.516667,1.731482,1.730924,1.732073,0.000663,0.731482,1.796525,0.9995,0.963794,灰区/证据不足,否
小号铁钉,7,10,0.8425,0.474942,0.474942,1.773899,1.773275,1.774545,0.000716,0.773899,1.899058,0.9995,0.971222,灰区/证据不足,否
小号铁钉,7,11,0.7923,0.432305,0.432305,1.832735,1.831487,1.833976,0.001358,0.832735,2.04092,0.9995,0.979371,支持曾遭雷击,否
小号铁钉,7,12,0.7464,0.396366,0.396366,1.883109,1.881393,1.884857,0.00184,0.883109,2.162034,0.9995,0.984692,支持曾遭雷击,否
小号铁钉,7,13,0.7088,0.389712,0.389712,1.818778,1.817299,1.820326,0.001664,0.818778,2.007303,0.9995,0.977641,支持曾遭雷击,否
小号铁钉,7,14,0.6701,0.369112,0.369112,1.815438,1.812764,1.818209,0.002999,0.815438,1.999247,0.9995,0.977209,支持曾遭雷击,否
小号铁钉,7,15,0.632,0.345197,0.345197,1.830838,1.827493,1.834302,0.003719,0.830838,2.036336,0.9995,0.979142,支持曾遭雷击,否
小号铁钉,7,22,0.3489,0.212358,0.212358,1.642978,1.63686,1.649153,0.007482,0.642978,1.581861,0.9995,0.943159,灰区/证据不足,否
小号铁钉,7,30,0.1887,0.111506,0.111506,1.692293,1.686589,1.698118,0.006812,0.692293,1.701556,0.9995,0.955581,灰区/证据不足,否
小号铁钉,7,37,0.12,0.071699,0.071699,1.673656,1.663245,1.684362,0.012617,0.673656,1.656243,0.9995,0.951164,灰区/证据不足,否
小号铁钉,7,44,0.0722,0.041917,0.041917,1.722434,1.711184,1.734192,0.013358,0.722434,1.774414,0.9995,0.962003,灰区/证据不足,是
小号铁钉,7,51,0.0431,0.022821,0.022821,1.888606,1.878216,1.899066,0.01104,0.888606,2.175034,0.9995,0.985186,灰区/证据不足,是
小号铁钉,7,58,0.0188,0.011383,0.011383,1.651655,1.646766,1.656538,0.005916,0.651655,1.60296,0.9995,0.945528,灰区/证据不足,是
小号铁钉,7,90,0.001,0.00058,0.00058,1.724092,1.699644,1.745907,0.026833,0.724092,1.777857,0.9995,0.962286,灰区/证据不足,是
小号铁钉,8,1,3.143,0.875958,0.875958,3.588071,3.577537,3.598265,0.005777,2.588071,6.019304,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,2,2.8163,0.808559,0.808559,3.48311,3.472801,3.493074,0.005821,2.48311,5.797706,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,3,2.5235,0.745802,0.745802,3.383607,3.373258,3.393651,0.006027,2.383607,5.585501,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,4,2.3882,0.698656,0.698656,3.418277,3.409146,3.427157,0.005269,2.418277,5.659779,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,5,2.2545,0.651078,0.651078,3.462719,3.454263,3.470912,0.004808,2.462719,5.754554,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,6,2.1323,0.616501,0.616501,3.458712,3.452583,3.464587,0.003471,2.458712,5.746175,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,7,2.0173,0.57979,0.57979,3.479361,3.474843,3.483693,0.002543,2.479361,5.790142,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,8,1.9125,0.553038,0.553038,3.458172,3.456396,3.459854,0.001,2.458172,5.745178,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,9,1.8046,0.516667,0.516667,3.492771,3.491645,3.493962,0.000663,2.492771,5.818682,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,10,1.6995,0.474942,0.474942,3.578328,3.577069,3.579632,0.000716,2.578328,5.999345,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,11,1.5981,0.432305,0.432305,3.696698,3.694181,3.699201,0.001358,2.696698,6.246723,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,12,1.5056,0.396366,0.396366,3.798512,3.79505,3.802038,0.00184,2.798512,6.457088,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,13,1.4297,0.389712,0.389712,3.668604,3.665622,3.671726,0.001664,2.668604,6.18826,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,14,1.3518,0.369112,0.369112,3.662302,3.656908,3.667892,0.002999,2.662302,6.17503,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,15,1.2749,0.345197,0.345197,3.693253,3.686505,3.70024,0.003719,2.693253,6.239377,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,22,0.7039,0.212358,0.212358,3.314682,3.302339,3.327138,0.007482,2.314682,5.437121,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,30,0.3806,0.111506,0.111506,3.413284,3.40178,3.425032,0.006812,2.413284,5.648868,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,37,0.242,0.071699,0.071699,3.375206,3.354212,3.396798,0.012617,2.375206,5.565957,0.9995,1.0,支持曾遭雷击,否
小号铁钉,8,44,0.1456,0.041917,0.041917,3.473495,3.450808,3.497207,0.013358,2.473495,5.775246,0.9995,1.0,灰区/证据不足,是
小号铁钉,8,51,0.0869,0.022821,0.022821,3.807886,3.786938,3.828976,0.01104,2.807886,6.474232,0.9995,1.0,灰区/证据不足,是
小号铁钉,8,58,0.038,0.011383,0.011383,3.338451,3.328569,3.348321,0.005916,2.338451,5.488583,0.9995,1.0,灰区/证据不足,是
小号铁钉,8,90,0.0021,0.00058,0.00058,3.620592,3.569253,3.666405,0.026833,2.620592,6.0775,0.9995,1.0,灰区/证据不足,是
小号铁钉,9,1,2.6231,0.875958,0.875958,2.994549,2.985758,3.003057,0.005777,1.994549,4.736581,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,9,2,2.3505,0.808559,0.808559,2.907023,2.898419,2.91534,0.005821,1.907023,4.54152,0.9995,0.999997,支持曾遭雷击,否
