sample_type,sample_id,delay_days,m0_hat_mt,m0_hat_lower_mt,m0_hat_upper_mt,bootstrap_sd_mt,bootstrap_support_rate,support_probability,relative_width
小号铁钉,2,5,3.645339,3.636437,3.653965,0.004678,0.9995,1.0,0.004808
小号铁钉,2,6,3.641193,3.634741,3.647378,0.003412,0.9995,1.0,0.003471
小号铁钉,2,7,3.663049,3.658292,3.667608,0.002504,0.9995,1.0,0.002543
小号铁钉,2,8,3.640618,3.638749,3.64239,0.000925,0.9995,1.0,0.001
小号铁钉,2,9,3.677029,3.675843,3.678283,0.000598,0.9995,1.0,0.000663
小号铁钉,2,10,3.767193,3.765868,3.768566,0.000711,0.9995,1.0,0.000716
小号铁钉,2,11,3.891931,3.889281,3.894566,0.001387,0.9995,1.0,0.001358
小号铁钉,2,12,3.998832,3.995187,4.002544,0.001927,0.9995,1.0,0.00184
小号铁钉,2,13,3.86208,3.85894,3.865367,0.001707,0.9995,1.0,0.001664
小号铁钉,2,14,3.855468,3.84979,3.861353,0.003057,0.9995,1.0,0.002999
小号铁钉,2,15,3.888214,3.88111,3.89557,0.003782,0.9995,1.0,0.003719
小号铁钉,2,22,3.489386,3.476393,3.5025,0.006773,0.9995,1.0,0.007482
小号铁钉,2,30,3.593544,3.581433,3.605913,0.006558,0.9995,1.0,0.006812
小号铁钉,2,37,3.55373,3.531624,3.576463,0.011995,0.9995,1.0,0.012617
小号铁钉,2,44,3.65719,3.633303,3.682155,0.013334,0.9995,1.0,0.013358
小号铁钉,2,51,4.009454,3.987397,4.031661,0.011825,0.9995,1.0,0.01104
小号铁钉,2,58,3.514159,3.503757,3.524548,0.005288,0.9995,1.0,0.005916
小号铁钉,2,90,3.793002,3.739217,3.840996,0.026556,0.9995,1.0,0.026833
小号铁钉,3,1,3.2876,3.277948,3.29694,0.005194,0.9995,1.0,0.005777
小号铁钉,3,2,3.19148,3.182034,3.20061,0.005067,0.9995,1.0,0.005821
小号铁钉,3,3,3.100288,3.090806,3.109491,0.004982,0.9995,1.0,0.006027
小号铁钉,3,4,3.132014,3.123647,3.14015,0.004401,0.9995,1.0,0.005269
小号铁钉,3,5,3.172739,3.16499,3.180246,0.004072,0.9995,1.0,0.004808
小号铁钉,3,6,3.169175,3.163559,3.174558,0.002969,0.9995,1.0,0.003471
小号铁钉,3,7,3.188049,3.183909,3.192018,0.00218,0.9995,1.0,0.002543
小号铁钉,3,8,3.16868,3.167053,3.170221,0.000805,0.9995,1.0,0.001
小号铁钉,3,9,3.20032,3.199288,3.201411,0.00052,0.9995,1.0,0.000663
小号铁钉,3,10,3.278713,3.277559,3.279908,0.000619,0.9995,1.0,0.000716
小号铁钉,3,11,3.387194,3.384888,3.389488,0.001207,0.9995,1.0,0.001358
小号铁钉,3,12,3.480371,3.477199,3.483603,0.001677,0.9995,1.0,0.00184
小号铁钉,3,13,3.361454,3.358722,3.364315,0.001486,0.9995,1.0,0.001664
小号铁钉,3,14,3.35562,3.350678,3.360742,0.00266,0.9995,1.0,0.002999
小号铁钉,3,15,3.384154,3.377971,3.390556,0.003292,0.9995,1.0,0.003719
小号铁钉,3,22,3.036849,3.025541,3.048262,0.005894,0.9995,0.999999,0.007482
小号铁钉,3,30,3.1272,3.11666,3.137963,0.005707,0.9995,1.0,0.006812
小号铁钉,3,37,3.09208,3.072846,3.11186,0.010437,0.9995,1.0,0.012617
小号铁钉,3,44,3.182447,3.161661,3.204172,0.011603,0.9995,1.0,0.013358
小号铁钉,3,51,3.488006,3.468817,3.507325,0.010287,0.9995,1.0,0.01104
小号铁钉,3,58,3.057319,3.048269,3.066357,0.0046,0.9995,0.999999,0.005916
小号铁钉,3,90,3.275774,3.229324,3.317223,0.022935,0.9995,1.0,0.026833
小号铁钉,4,1,2.989069,2.980294,2.997562,0.004722,0.9995,0.999999,0.005777
小号铁钉,4,2,2.901582,2.892993,2.909882,0.004607,0.9995,0.999997,0.005821
小号铁钉,4,3,2.818846,2.810224,2.827213,0.00453,0.9995,0.999993,0.006027
小号铁钉,4,4,2.84761,2.840004,2.855008,0.004002,0.9995,0.999995,0.005269
小号铁钉,4,5,2.884601,2.877556,2.891426,0.003702,0.9995,0.999996,0.004808
小号铁钉,4,6,2.88126,2.876154,2.886154,0.0027,0.9995,0.999996,0.003471
小号铁钉,4,7,2.898634,2.89487,2.902242,0.001982,0.9995,0.999997,0.002543
小号铁钉,4,8,2.880815,2.879336,2.882217,0.000732,0.9995,0.999996,0.001
小号铁钉,4,9,2.90961,2.908672,2.910603,0.000473,0.9995,0.999997,0.000663
小号铁钉,4,10,2.980992,2.979944,2.982079,0.000563,0.9995,0.999999,0.000716
小号铁钉,4,11,3.079772,3.077675,3.081858,0.001097,0.9995,1.0,0.001358
小号铁钉,4,12,3.164501,3.161617,3.167439,0.001525,0.9995,1.0,0.00184
小号铁钉,4,13,3.056101,3.053616,3.058702,0.001351,0.9995,0.999999,0.001664
小号铁钉,4,14,3.050834,3.046341,3.055491,0.002419,0.9995,0.999999,0.002999
小号铁钉,4,15,3.076793,3.071172,3.082614,0.002993,0.9995,1.0,0.003719
小号铁钉,4,22,2.761371,2.751089,2.771749,0.00536,0.9995,0.999987,0.007482
小号铁钉,4,30,2.843806,2.834221,2.853593,0.00519,0.9995,0.999995,0.006812
小号铁钉,4,37,2.811742,2.794252,2.829729,0.00949,0.9995,0.999992,0.012617
小号铁钉,4,44,2.893784,2.874884,2.913538,0.01055,0.9995,0.999997,0.013358
小号铁钉,4,51,3.172508,3.155055,3.190079,0.009357,0.9995,1.0,0.01104
小号铁钉,4,58,2.784971,2.776728,2.793204,0.00419,0.9995,0.99999,0.005916
小号铁钉,4,90,2.930956,2.889395,2.968042,0.020521,0.9995,0.999998,0.026833
小号铁钉,5,1,1.99804,1.992175,2.003717,0.003156,0.9995,0.992597,0.005777
小号铁钉,5,2,1.939623,1.933882,1.945172,0.003079,0.9995,0.989204,0.005821
小号铁钉,5,3,1.884147,1.878384,1.88974,0.003028,0.9995,0.984786,0.006027
小号铁钉,5,4,1.903512,1.898427,1.908457,0.002675,0.9995,0.986481,0.005269
小号铁钉,5,5,1.928187,1.923478,1.932749,0.002475,0.9995,0.988399,0.004808
小号铁钉,5,6,1.92603,1.922617,1.929302,0.001805,0.9995,0.988242,0.003471
小号铁钉,5,7,1.937597,1.935081,1.940009,0.001325,0.9995,0.989066,0.002543
小号铁钉,5,8,1.925727,1.924738,1.926664,0.000489,0.9995,0.988221,0.001
小号铁钉,5,9,1.944966,1.944339,1.945629,0.000316,0.9995,0.989565,0.000663
小号铁钉,5,10,1.992662,1.991961,1.993388,0.000376,0.9995,0.992331,0.000716
小号铁钉,5,11,2.058502,2.0571,2.059896,0.000734,0.9995,0.995076,0.001358
小号铁钉,5,12,2.115218,2.11329,2.117182,0.001019,0.9995,0.996694,0.00184
小号铁钉,5,13,2.042789,2.041128,2.044528,0.000903,0.9995,0.994517,0.001664
小号铁钉,5,14,2.039489,2.036485,2.042602,0.001617,0.9995,0.994392,0.002999
小号铁钉,5,15,2.056507,2.052749,2.060397,0.002,0.9995,0.995008,0.003719
小号铁钉,5,22,1.845937,1.839063,1.852874,0.003583,0.9995,0.980896,0.007482
小号铁钉,5,30,1.900354,1.89395,1.906895,0.003468,0.9995,0.986215,0.006812
小号铁钉,5,37,1.880074,1.868379,1.8921,0.006346,0.9995,0.984399,0.012617
小号铁钉,5,44,1.934756,1.922119,1.947963,0.007054,0.9995,0.988859,0.013358
小号铁钉,5,51,2.120848,2.10918,2.132594,0.006255,0.9995,0.996822,0.01104
小号铁钉,5,58,1.862504,1.856991,1.86801,0.002802,0.9995,0.982678,0.005916
小号铁钉,5,90,2.06891,2.039573,2.095088,0.014485,0.9995,0.995396,0.026833
小号铁钉,6,1,1.997926,1.992061,2.003603,0.003156,0.9995,0.992591,0.005777
小号铁钉,6,2,1.9395,1.933759,1.945048,0.003079,0.9995,0.989195,0.005821
小号铁钉,6,3,1.884147,1.878384,1.88974,0.003028,0.9995,0.984786,0.006027
小号铁钉,6,4,1.903369,1.898284,1.908313,0.002675,0.9995,0.986469,0.005269
小号铁钉,6,5,1.928187,1.923478,1.932749,0.002475,0.9995,0.988399,0.004808
小号铁钉,6,6,1.92603,1.922617,1.929302,0.001805,0.9995,0.988242,0.003471
小号铁钉,6,7,1.937425,1.934909,1.939836,0.001325,0.9995,0.989055,0.002543
小号铁钉,6,8,1.925727,1.924738,1.926664,0.000489,0.9995,0.988221,0.001
小号铁钉,6,9,1.944966,1.944339,1.945629,0.000316,0.9995,0.989565,0.000663
小号铁钉,6,10,1.992662,1.991961,1.993388,0.000376,0.9995,0.992331,0.000716
小号铁钉,6,11,2.058502,2.0571,2.059896,0.000734,0.9995,0.995076,0.001358
小号铁钉,6,12,2.115218,2.11329,2.117182,0.001019,0.9995,0.996694,0.00184
小号铁钉,6,13,2.042789,2.041128,2.044528,0.000903,0.9995,0.994517,0.001664
小号铁钉,6,14,2.039218,2.036214,2.04233,0.001617,0.9995,0.994382,0.002999
小号铁钉,6,15,2.056507,2.052749,2.060397,0.002,0.9995,0.995008,0.003719
小号铁钉,6,22,1.845466,1.838594,1.852402,0.003582,0.9995,0.980843,0.007482
小号铁钉,6,30,1.900354,1.89395,1.906895,0.003468,0.9995,0.986215,0.006812
小号铁钉,6,37,1.880074,1.868379,1.8921,0.006346,0.9995,0.984399,0.012617
小号铁钉,6,44,1.934756,1.922119,1.947963,0.007054,0.9995,0.988859,0.013358
小号铁钉,6,51,2.120848,2.10918,2.132594,0.006255,0.9995,0.996822,0.01104
小号铁钉,6,58,1.862504,1.856991,1.86801,0.002802,0.9995,0.982678,0.005916
小号铁钉,6,90,2.06891,2.039573,2.095088,0.014485,0.9995,0.995396,0.026833
小号铁钉,7,1,1.778738,1.773516,1.783791,0.00281,0.9995,0.971978,0.005777
小号铁钉,7,2,1.726652,1.721541,1.731592,0.002741,0.9995,0.962853,0.005821
小号铁钉,7,3,1.67739,1.672259,1.682369,0.002696,0.9995,0.952086,0.006027
小号铁钉,7,4,1.694539,1.690013,1.698941,0.002381,0.9995,0.956091,0.005269
小号铁钉,7,5,1.716538,1.712346,1.7206,0.002203,0.9995,0.960824,0.004808
小号铁钉,7,6,1.714676,1.711638,1.717589,0.001607,0.9995,0.960441,0.003471
小号铁钉,7,7,1.724934,1.722694,1.727081,0.001179,0.9995,0.962517,0.002543
小号铁钉,7,8,1.714349,1.713469,1.715183,0.000436,0.9995,0.960374,0.001
小号铁钉,7,9,1.731482,1.730924,1.732073,0.000282,0.9995,0.963794,0.000663
小号铁钉,7,10,1.773899,1.773275,1.774545,0.000335,0.9995,0.971222,0.000716
小号铁钉,7,11,1.832735,1.831487,1.833976,0.000653,0.9995,0.979371,0.001358
小号铁钉,7,12,1.883109,1.881393,1.884857,0.000907,0.9995,0.984692,0.00184
小号铁钉,7,13,1.818778,1.817299,1.820326,0.000804,0.9995,0.977641,0.001664
小号铁钉,7,14,1.815438,1.812764,1.818209,0.001439,0.9995,0.977209,0.002999
小号铁钉,7,15,1.830838,1.827493,1.834302,0.001781,0.9995,0.979142,0.003719
小号铁钉,7,22,1.642978,1.63686,1.649153,0.003189,0.9995,0.943159,0.007482
小号铁钉,7,30,1.692293,1.686589,1.698118,0.003089,0.9995,0.955581,0.006812
小号铁钉,7,37,1.673656,1.663245,1.684362,0.005649,0.9995,0.951164,0.012617
小号铁钉,7,44,1.722434,1.711184,1.734192,0.00628,0.9995,0.962003,0.013358
小号铁钉,7,51,1.888606,1.878216,1.899066,0.00557,0.9995,0.985186,0.01104
小号铁钉,7,58,1.651655,1.646766,1.656538,0.002485,0.9995,0.945528,0.005916
小号铁钉,7,90,1.724092,1.699644,1.745907,0.012071,0.9995,0.962286,0.026833
小号铁钉,8,1,3.588071,3.577537,3.598265,0.005668,0.9995,1.0,0.005777
小号铁钉,8,2,3.48311,3.472801,3.493074,0.00553,0.9995,1.0,0.005821
小号铁钉,8,3,3.383607,3.373258,3.393651,0.005437,0.9995,1.0,0.006027
小号铁钉,8,4,3.418277,3.409146,3.427157,0.004803,0.9995,1.0,0.005269
小号铁钉,8,5,3.462719,3.454263,3.470912,0.004444,0.9995,1.0,0.004808
小号铁钉,8,6,3.458712,3.452583,3.464587,0.003241,0.9995,1.0,0.003471
小号铁钉,8,7,3.479361,3.474843,3.483693,0.002379,0.9995,1.0,0.002543
小号铁钉,8,8,3.458172,3.456396,3.459854,0.000879,0.9995,1.0,0.001
小号铁钉,8,9,3.492771,3.491645,3.493962,0.000568,0.9995,1.0,0.000663
小号铁钉,8,10,3.578328,3.577069,3.579632,0.000675,0.9995,1.0,0.000716
小号铁钉,8,11,3.696698,3.694181,3.699201,0.001317,0.9995,1.0,0.001358
小号铁钉,8,12,3.798512,3.79505,3.802038,0.001831,0.9995,1.0,0.00184
小号铁钉,8,13,3.668604,3.665622,3.671726,0.001621,0.9995,1.0,0.001664
小号铁钉,8,14,3.662302,3.656908,3.667892,0.002903,0.9995,1.0,0.002999
小号铁钉,8,15,3.693253,3.686505,3.70024,0.003592,0.9995,1.0,0.003719
小号铁钉,8,22,3.314682,3.302339,3.327138,0.006433,0.9995,1.0,0.007482
小号铁钉,8,30,3.413284,3.40178,3.425032,0.006229,0.9995,1.0,0.006812
小号铁钉,8,37,3.375206,3.354212,3.396798,0.011392,0.9995,1.0,0.012617
小号铁钉,8,44,3.473495,3.450808,3.497207,0.012664,0.9995,1.0,0.013358
小号铁钉,8,51,3.807886,3.786938,3.828976,0.011231,0.9995,1.0,0.01104
小号铁钉,8,58,3.338451,3.328569,3.348321,0.005023,0.9995,1.0,0.005916
小号铁钉,8,90,3.620592,3.569253,3.666405,0.025349,0.9995,1.0,0.026833
小号铁钉,9,1,2.994549,2.985758,3.003057,0.004731,0.9995,0.999999,0.005777
小号铁钉,9,2,2.907023,2.898419,2.91534,0.004615,0.9995,0.999997,0.005821
小号铁钉,9,3,2.823941,2.815304,2.832324,0.004538,0.9995,0.999993,0.006027
小号铁钉,9,4,2.852906,2.845285,2.860317,0.004009,0.9995,0.999995,0.005269
小号铁钉,9,5,2.889977,2.882919,2.896815,0.003709,0.9995,0.999997,0.004808
小号铁钉,9,6,2.886612,2.881497,2.891516,0.002705,0.9995,0.999997,0.003471
小号铁钉,9,7,2.903981,2.90021,2.907596,0.001985,0.9995,0.999997,0.002543
小号铁钉,9,8,2.88624,2.884758,2.887644,0.000734,0.9995,0.999997,0.001
小号铁钉,9,9,2.91503,2.91409,2.916024,0.000474,0.9995,0.999997,0.000663
小号铁钉,9,10,2.986467,2.985416,2.987555,0.000564,0.9995,0.999999,0.000716
小号铁钉,9,11,3.085324,3.083223,3.087413,0.001099,0.9995,1.0,0.001358
小号铁钉,9,12,3.170304,3.167415,3.173247,0.001528,0.9995,1.0,0.00184
小号铁钉,9,13,3.061746,3.059257,3.064352,0.001353,0.9995,0.999999,0.001664
小号铁钉,9,14,3.056524,3.052022,3.061189,0.002423,0.9995,0.999999,0.002999
小号铁钉,9,15,3.082297,3.076666,3.088129,0.002998,0.9995,1.0,0.003719
小号铁钉,9,22,2.766551,2.756249,2.776948,0.00537,0.9995,0.999988,0.007482
小号铁钉,9,30,2.84829,2.83869,2.858093,0.005198,0.9995,0.999995,0.006812
小号铁钉,9,37,2.817321,2.799796,2.835343,0.009509,0.9995,0.999993,0.012617
小号铁钉,9,44,2.898555,2.879624,2.918342,0.010568,0.9995,0.999997,0.013358
小号铁钉,9,51,3.17689,3.159413,3.194485,0.00937,0.9995,1.0,0.01104
小号铁钉,9,58,2.784971,2.776728,2.793204,0.00419,0.9995,0.99999,0.005916
小号铁钉,9,90,2.930956,2.889395,2.968042,0.020521,0.9995,0.999998,0.026833
小号铁钉,10,1,3.234058,3.224564,3.243247,0.005109,0.9995,1.0,0.005777
小号铁钉,10,2,3.139412,3.13012,3.148393,0.004984,0.9995,1.0,0.005821
小号铁钉,10,3,3.049739,3.040411,3.058791,0.004901,0.9995,0.999999,0.006027
小号铁钉,10,4,3.081059,3.072828,3.089062,0.00433,0.9995,1.0,0.005269
小号铁钉,10,5,3.121132,3.11351,3.128517,0.004005,0.9995,1.0,0.004808
小号铁钉,10,6,3.117431,3.111907,3.122726,0.002921,0.9995,1.0,0.003471
小号铁钉,10,7,3.136134,3.132061,3.140038,0.002144,0.9995,1.0,0.002543
小号铁钉,10,8,3.116965,3.115365,3.118482,0.000792,0.9995,1.0,0.001
小号铁钉,10,9,3.148062,3.147047,3.149135,0.000512,0.9995,1.0,0.000663
小号铁钉,10,10,3.225443,3.224309,3.226619,0.000609,0.9995,1.0,0.000716
小号铁钉,10,11,3.332141,3.329872,3.334397,0.001187,0.9995,1.0,0.001358
小号铁钉,10,12,3.423858,3.420737,3.427037,0.00165,0.9995,1.0,0.00184
小号铁钉,10,13,3.306542,3.303854,3.309356,0.001461,0.9995,1.0,0.001664
小号铁钉,10,14,3.300894,3.296033,3.305933,0.002617,0.9995,1.0,0.002999
小号铁钉,10,15,3.328823,3.322741,3.335121,0.003238,0.9995,1.0,0.003719
小号铁钉,10,22,2.987404,2.97628,2.998631,0.005798,0.9995,0.999999,0.007482
小号铁钉,10,30,3.076081,3.065714,3.086668,0.005614,0.9995,1.0,0.006812
小号铁钉,10,37,3.04187,3.022948,3.061329,0.010267,0.9995,0.999999,0.012617
小号铁钉,10,44,3.132348,3.11189,3.153731,0.01142,0.9995,1.0,0.013358
小号铁钉,10,51,3.431041,3.412166,3.450044,0.010119,0.9995,1.0,0.01104
小号铁钉,10,58,3.004606,2.995712,3.013489,0.004521,0.9995,0.999999,0.005916
小号铁钉,10,90,3.275774,3.229324,3.317223,0.022935,0.9995,1.0,0.026833
小号铁钉,11,1,1.69483,1.689854,1.699645,0.002677,0.9995,0.956156,0.005777
小号铁钉,11,2,1.645149,1.64028,1.649855,0.002612,0.9995,0.943761,0.005821
小号铁钉,11,3,1.59828,1.593392,1.603024,0.002568,0.9995,0.929646,0.006027
小号铁钉,11,4,1.614528,1.610216,1.618723,0.002269,0.9995,0.934823,0.005269
小号铁钉,11,5,1.635595,1.631601,1.639465,0.002099,0.9995,0.941085,0.004808
小号铁钉,11,6,1.633736,1.630841,1.636511,0.001531,0.9995,0.940553,0.003471
小号铁钉,11,7,1.643525,1.641391,1.645571,0.001124,0.9995,0.943316,0.002543
小号铁钉,11,8,1.633523,1.632684,1.634317,0.000415,0.9995,0.940493,0.001
小号铁钉,11,9,1.649805,1.649273,1.650368,0.000268,0.9995,0.945034,0.000663
小号铁钉,11,10,1.69031,1.689715,1.690926,0.000319,0.9995,0.955132,0.000716
小号铁钉,11,11,1.746222,1.745033,1.747404,0.000622,0.9995,0.966538,0.001358
小号铁钉,11,12,1.794302,1.792667,1.795968,0.000865,0.9995,0.97431,0.00184
小号铁钉,11,13,1.732817,1.731408,1.734292,0.000766,0.9995,0.96405,0.001664
小号铁钉,11,14,1.729827,1.727279,1.732467,0.001371,0.9995,0.963474,0.002999
小号铁钉,11,15,1.744511,1.741324,1.747811,0.001697,0.9995,0.966227,0.003719
小号铁钉,11,22,1.56575,1.55992,1.571635,0.003039,0.9995,0.918324,0.007482
小号铁钉,11,30,1.612476,1.607042,1.618026,0.002943,0.9995,0.934185,0.006812
小号铁钉,11,37,1.594157,1.584241,1.604355,0.005381,0.9995,0.928269,0.012617
小号铁钉,11,44,1.641322,1.630602,1.652526,0.005984,0.9995,0.942684,0.013358
小号铁钉,11,51,1.796586,1.786702,1.806537,0.005299,0.9995,0.974628,0.01104
小号铁钉,11,58,1.572586,1.567931,1.577235,0.002366,0.9995,0.920814,0.005916
小号铁钉,11,90,1.724092,1.699644,1.745907,0.012071,0.9995,0.962286,0.026833
小号铁钉,12,1,3.820273,3.809058,3.831127,0.006035,0.9995,1.0,0.005777
小号铁钉,12,2,3.708573,3.697596,3.719182,0.005888,0.9995,1.0,0.005821
小号铁钉,12,3,3.602701,3.591681,3.613394,0.005789,0.9995,1.0,0.006027
小号铁钉,12,4,3.639559,3.629837,3.649014,0.005114,0.9995,1.0,0.005269
小号铁钉,12,5,3.686809,3.677805,3.695532,0.004731,0.9995,1.0,0.004808
小号铁钉,12,6,3.682556,3.67603,3.688811,0.003451,0.9995,1.0,0.003471
小号铁钉,12,7,3.704615,3.699805,3.709227,0.002533,0.9995,1.0,0.002543
小号铁钉,12,8,3.682026,3.680136,3.683817,0.000936,0.9995,1.0,0.001
小号铁钉,12,9,3.718836,3.717636,3.720104,0.000605,0.9995,1.0,0.000663
小号铁钉,12,10,3.809935,3.808595,3.811323,0.000719,0.9995,1.0,0.000716
小号铁钉,12,11,3.936113,3.933433,3.938778,0.001403,0.9995,1.0,0.001358
小号铁钉,12,12,4.044497,4.040811,4.048252,0.001949,0.9995,1.0,0.00184
小号铁钉,12,13,3.905958,3.902783,3.909283,0.001726,0.9995,1.0,0.001664
小号铁钉,12,14,3.899357,3.893614,3.905309,0.003091,0.9995,1.0,0.002999
小号铁钉,12,15,3.932247,3.925062,3.939686,0.003825,0.9995,1.0,0.003719
小号铁钉,12,22,3.528942,3.515801,3.542204,0.006849,0.9995,1.0,0.007482
小号铁钉,12,30,3.633901,3.621654,3.646408,0.006632,0.9995,1.0,0.006812
小号铁钉,12,37,3.594176,3.571819,3.617168,0.012131,0.9995,1.0,0.012617
小号铁钉,12,44,3.697746,3.673594,3.722988,0.013481,0.9995,1.0,0.013358
小号铁钉,12,51,4.053273,4.030975,4.075723,0.011954,0.9995,1.0,0.01104
小号铁钉,12,58,3.558086,3.547554,3.568605,0.005354,0.9995,1.0,0.005916
小号铁钉,12,90,3.793002,3.739217,3.840996,0.026556,0.9995,1.0,0.026833
小号铁钉,13,1,3.512496,3.502185,3.522476,0.005549,0.9995,1.0,0.005777
小号铁钉,13,2,3.40977,3.399677,3.419524,0.005414,0.9995,1.0,0.005821
小号铁钉,13,3,3.312409,3.302278,3.322241,0.005323,0.9995,1.0,0.006027
小号铁钉,13,4,3.346282,3.337343,3.354975,0.004702,0.9995,1.0,0.005269
小号铁钉,13,5,3.389763,3.381485,3.397784,0.00435,0.9995,1.0,0.004808
小号铁钉,13,6,3.385881,3.379881,3.391633,0.003173,0.9995,1.0,0.003471
小号铁钉,13,7,3.406232,3.401808,3.410472,0.002329,0.9995,1.0,0.002543
小号铁钉,13,8,3.385301,3.383563,3.386948,0.00086,0.9995,1.0,0.001
小号铁钉,13,9,3.419223,3.41812,3.420389,0.000556,0.9995,1.0,0.000663
小号铁钉,13,10,3.503161,3.501929,3.504438,0.000661,0.9995,1.0,0.000716
小号铁钉,13,11,3.618975,3.616511,3.621426,0.00129,0.9995,1.0,0.001358
小号铁钉,13,12,3.718535,3.715146,3.721987,0.001792,0.9995,1.0,0.00184
小号铁钉,13,13,3.591367,3.588448,3.594424,0.001587,0.9995,1.0,0.001664
小号铁钉,13,14,3.58509,3.57981,3.590562,0.002842,0.9995,1.0,0.002999
小号铁钉,13,15,3.615616,3.60901,3.622456,0.003517,0.9995,1.0,0.003719
小号铁钉,13,22,3.244988,3.232905,3.257183,0.006298,0.9995,1.0,0.007482
小号铁钉,13,30,3.341539,3.330277,3.35304,0.006099,0.9995,1.0,0.006812
小号铁钉,13,37,3.304076,3.283524,3.325212,0.011152,0.9995,1.0,0.012617
小号铁钉,13,44,3.401926,3.379707,3.425149,0.012403,0.9995,1.0,0.013358
小号铁钉,13,51,3.724629,3.704139,3.745259,0.010985,0.9995,1.0,0.01104
小号铁钉,13,58,3.268168,3.258494,3.27783,0.004918,0.9995,1.0,0.005916
小号铁钉,13,90,3.448183,3.399288,3.491814,0.024142,0.9995,1.0,0.026833
小号铁钉,14,1,2.124074,2.117838,2.130109,0.003356,0.9995,0.996897,0.005777
小号铁钉,14,2,2.06194,2.055837,2.067839,0.003274,0.9995,0.99519,0.005821
小号铁钉,14,3,2.00308,1.996953,2.009025,0.003219,0.9995,0.992839,0.006027
小号铁钉,14,4,2.0236,2.018194,2.028857,0.002844,0.9995,0.993755,0.005269
小号铁钉,14,5,2.049985,2.044979,2.054836,0.002631,0.9995,0.994779,0.004808
小号铁钉,14,6,2.047522,2.043894,2.051,0.001919,0.9995,0.994691,0.003471
小号铁钉,14,7,2.059883,2.057208,2.062447,0.001408,0.9995,0.995123,0.002543
小号铁钉,14,8,2.047238,2.046187,2.048234,0.00052,0.9995,0.994681,0.001
小号铁钉,14,9,2.067676,2.067009,2.068381,0.000336,0.9995,0.995379,0.000663
小号铁钉,14,10,2.118362,2.117617,2.119134,0.0004,0.9995,0.996767,0.000716
小号铁钉,14,11,2.188503,2.187013,2.189985,0.00078,0.9995,0.998068,0.001358
小号铁钉,14,12,2.248681,2.246631,2.250768,0.001084,0.9995,0.99878,0.00184
小号铁钉,14,13,2.171859,2.170093,2.173707,0.00096,0.9995,0.997812,0.001664
小号铁钉,14,14,2.168176,2.164983,2.171485,0.001719,0.9995,0.997751,0.002999
小号铁钉,14,15,2.186287,2.182293,2.190424,0.002126,0.9995,0.998035,0.003719
小号铁钉,14,22,1.96225,1.954943,1.969624,0.003809,0.9995,0.990652,0.007482
小号铁钉,14,30,2.020528,2.013718,2.027482,0.003688,0.9995,0.993625,0.006812
小号铁钉,14,37,1.998624,1.986192,2.01141,0.006746,0.9995,0.99262,0.012617
