sample_type,sample_id,delay_days,retention_ratio,relative_width,is_failure,failure_reason
小号铁钉,8,10,0.474942,0.000716,no,none
小号铁钉,8,11,0.432305,0.001358,no,none
小号铁钉,8,12,0.396366,0.00184,no,none
小号铁钉,8,13,0.389712,0.001664,no,none
小号铁钉,8,14,0.369112,0.002999,no,none
小号铁钉,8,15,0.345197,0.003719,no,none
小号铁钉,8,22,0.212358,0.007482,no,none
小号铁钉,8,30,0.111506,0.006812,no,none
小号铁钉,8,37,0.071699,0.012617,no,none
小号铁钉,8,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,8,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,8,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,8,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,9,1,0.875958,0.005777,no,none
小号铁钉,9,2,0.808559,0.005821,no,none
小号铁钉,9,3,0.745802,0.006027,no,none
小号铁钉,9,4,0.698656,0.005269,no,none
小号铁钉,9,5,0.651078,0.004808,no,none
小号铁钉,9,6,0.616501,0.003471,no,none
小号铁钉,9,7,0.57979,0.002543,no,none
小号铁钉,9,8,0.553038,0.001,no,none
小号铁钉,9,9,0.516667,0.000663,no,none
小号铁钉,9,10,0.474942,0.000716,no,none
小号铁钉,9,11,0.432305,0.001358,no,none
小号铁钉,9,12,0.396366,0.00184,no,none
小号铁钉,9,13,0.389712,0.001664,no,none
小号铁钉,9,14,0.369112,0.002999,no,none
小号铁钉,9,15,0.345197,0.003719,no,none
小号铁钉,9,22,0.212358,0.007482,no,none
小号铁钉,9,30,0.111506,0.006812,no,none
小号铁钉,9,37,0.071699,0.012617,no,none
小号铁钉,9,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,9,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,9,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,9,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,10,1,0.875958,0.005777,no,none
小号铁钉,10,2,0.808559,0.005821,no,none
小号铁钉,10,3,0.745802,0.006027,no,none
小号铁钉,10,4,0.698656,0.005269,no,none
小号铁钉,10,5,0.651078,0.004808,no,none
小号铁钉,10,6,0.616501,0.003471,no,none
小号铁钉,10,7,0.57979,0.002543,no,none
小号铁钉,10,8,0.553038,0.001,no,none
小号铁钉,10,9,0.516667,0.000663,no,none
小号铁钉,10,10,0.474942,0.000716,no,none
小号铁钉,10,11,0.432305,0.001358,no,none
小号铁钉,10,12,0.396366,0.00184,no,none
小号铁钉,10,13,0.389712,0.001664,no,none
小号铁钉,10,14,0.369112,0.002999,no,none
小号铁钉,10,15,0.345197,0.003719,no,none
小号铁钉,10,22,0.212358,0.007482,no,none
小号铁钉,10,30,0.111506,0.006812,no,none
小号铁钉,10,37,0.071699,0.012617,no,none
小号铁钉,10,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,10,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,10,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,10,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,11,1,0.875958,0.005777,no,none
小号铁钉,11,2,0.808559,0.005821,no,none
小号铁钉,11,3,0.745802,0.006027,no,none
小号铁钉,11,4,0.698656,0.005269,no,none
小号铁钉,11,5,0.651078,0.004808,no,none
小号铁钉,11,6,0.616501,0.003471,no,none
小号铁钉,11,7,0.57979,0.002543,no,none
小号铁钉,11,8,0.553038,0.001,no,none
小号铁钉,11,9,0.516667,0.000663,no,none
小号铁钉,11,10,0.474942,0.000716,no,none
小号铁钉,11,11,0.432305,0.001358,no,none
小号铁钉,11,12,0.396366,0.00184,no,none
小号铁钉,11,13,0.389712,0.001664,no,none
小号铁钉,11,14,0.369112,0.002999,no,none
小号铁钉,11,15,0.345197,0.003719,no,none
小号铁钉,11,22,0.212358,0.007482,no,none
小号铁钉,11,30,0.111506,0.006812,no,none
小号铁钉,11,37,0.071699,0.012617,no,none
小号铁钉,11,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,11,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,11,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,11,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,12,1,0.875958,0.005777,no,none
小号铁钉,12,2,0.808559,0.005821,no,none
小号铁钉,12,3,0.745802,0.006027,no,none
小号铁钉,12,4,0.698656,0.005269,no,none
小号铁钉,12,5,0.651078,0.004808,no,none
小号铁钉,12,6,0.616501,0.003471,no,none
小号铁钉,12,7,0.57979,0.002543,no,none
小号铁钉,12,8,0.553038,0.001,no,none
小号铁钉,12,9,0.516667,0.000663,no,none
小号铁钉,12,10,0.474942,0.000716,no,none
小号铁钉,12,11,0.432305,0.001358,no,none
小号铁钉,12,12,0.396366,0.00184,no,none
小号铁钉,12,13,0.389712,0.001664,no,none
小号铁钉,12,14,0.369112,0.002999,no,none
小号铁钉,12,15,0.345197,0.003719,no,none
小号铁钉,12,22,0.212358,0.007482,no,none
小号铁钉,12,30,0.111506,0.006812,no,none
小号铁钉,12,37,0.071699,0.012617,no,none
小号铁钉,12,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,12,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,12,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,12,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,13,1,0.875958,0.005777,no,none
小号铁钉,13,2,0.808559,0.005821,no,none
小号铁钉,13,3,0.745802,0.006027,no,none
小号铁钉,13,4,0.698656,0.005269,no,none
小号铁钉,13,5,0.651078,0.004808,no,none
小号铁钉,13,6,0.616501,0.003471,no,none
小号铁钉,13,7,0.57979,0.002543,no,none
小号铁钉,13,8,0.553038,0.001,no,none
小号铁钉,13,9,0.516667,0.000663,no,none
小号铁钉,13,10,0.474942,0.000716,no,none
小号铁钉,13,11,0.432305,0.001358,no,none
小号铁钉,13,12,0.396366,0.00184,no,none
小号铁钉,13,13,0.389712,0.001664,no,none
小号铁钉,13,14,0.369112,0.002999,no,none
小号铁钉,13,15,0.345197,0.003719,no,none
小号铁钉,13,22,0.212358,0.007482,no,none
小号铁钉,13,30,0.111506,0.006812,no,none
小号铁钉,13,37,0.071699,0.012617,no,none
小号铁钉,13,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,13,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,13,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,13,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,14,1,0.875958,0.005777,no,none
小号铁钉,14,2,0.808559,0.005821,no,none
小号铁钉,14,3,0.745802,0.006027,no,none
小号铁钉,14,4,0.698656,0.005269,no,none
小号铁钉,14,5,0.651078,0.004808,no,none
小号铁钉,14,6,0.616501,0.003471,no,none
小号铁钉,14,7,0.57979,0.002543,no,none
小号铁钉,14,8,0.553038,0.001,no,none
小号铁钉,14,9,0.516667,0.000663,no,none
小号铁钉,14,10,0.474942,0.000716,no,none
小号铁钉,14,11,0.432305,0.001358,no,none
小号铁钉,14,12,0.396366,0.00184,no,none
小号铁钉,14,13,0.389712,0.001664,no,none
小号铁钉,14,14,0.369112,0.002999,no,none
小号铁钉,14,15,0.345197,0.003719,no,none
小号铁钉,14,22,0.212358,0.007482,no,none
小号铁钉,14,30,0.111506,0.006812,no,none
小号铁钉,14,37,0.071699,0.012617,no,none
小号铁钉,14,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,14,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,14,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,14,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,15,1,0.875958,0.005777,no,none
小号铁钉,15,2,0.808559,0.005821,no,none
小号铁钉,15,3,0.745802,0.006027,no,none
小号铁钉,15,4,0.698656,0.005269,no,none
小号铁钉,15,5,0.651078,0.004808,no,none
小号铁钉,15,6,0.616501,0.003471,no,none
小号铁钉,15,7,0.57979,0.002543,no,none
小号铁钉,15,8,0.553038,0.001,no,none
小号铁钉,15,9,0.516667,0.000663,no,none
小号铁钉,15,10,0.474942,0.000716,no,none
小号铁钉,15,11,0.432305,0.001358,no,none
小号铁钉,15,12,0.396366,0.00184,no,none
小号铁钉,15,13,0.389712,0.001664,no,none
小号铁钉,15,14,0.369112,0.002999,no,none
小号铁钉,15,15,0.345197,0.003719,no,none
小号铁钉,15,22,0.212358,0.007482,no,none
小号铁钉,15,30,0.111506,0.006812,no,none
小号铁钉,15,37,0.071699,0.012617,no,none
小号铁钉,15,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,15,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,15,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,15,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,16,1,0.875958,0.005777,no,none
小号铁钉,16,2,0.808559,0.005821,no,none
小号铁钉,16,3,0.745802,0.006027,no,none
小号铁钉,16,4,0.698656,0.005269,no,none
小号铁钉,16,5,0.651078,0.004808,no,none
小号铁钉,16,6,0.616501,0.003471,no,none
小号铁钉,16,7,0.57979,0.002543,no,none
小号铁钉,16,8,0.553038,0.001,no,none
小号铁钉,16,9,0.516667,0.000663,no,none
小号铁钉,16,10,0.474942,0.000716,no,none
小号铁钉,16,11,0.432305,0.001358,no,none
小号铁钉,16,12,0.396366,0.00184,no,none
小号铁钉,16,13,0.389712,0.001664,no,none
小号铁钉,16,14,0.369112,0.002999,no,none
小号铁钉,16,15,0.345197,0.003719,no,none
小号铁钉,16,22,0.212358,0.007482,no,none
小号铁钉,16,30,0.111506,0.006812,no,none
小号铁钉,16,37,0.071699,0.012617,no,none
小号铁钉,16,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,16,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,16,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,16,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,17,1,0.875958,0.005777,no,none
小号铁钉,17,2,0.808559,0.005821,no,none
小号铁钉,17,3,0.745802,0.006027,no,none
小号铁钉,17,4,0.698656,0.005269,no,none
小号铁钉,17,5,0.651078,0.004808,no,none
小号铁钉,17,6,0.616501,0.003471,no,none
小号铁钉,17,7,0.57979,0.002543,no,none
小号铁钉,17,8,0.553038,0.001,no,none
小号铁钉,17,9,0.516667,0.000663,no,none
小号铁钉,17,10,0.474942,0.000716,no,none
小号铁钉,17,11,0.432305,0.001358,no,none
小号铁钉,17,12,0.396366,0.00184,no,none
小号铁钉,17,13,0.389712,0.001664,no,none
小号铁钉,17,14,0.369112,0.002999,no,none
小号铁钉,17,15,0.345197,0.003719,no,none
小号铁钉,17,22,0.212358,0.007482,no,none
小号铁钉,17,30,0.111506,0.006812,no,none
小号铁钉,17,37,0.071699,0.012617,no,none
小号铁钉,17,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,17,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,17,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,17,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,18,1,0.875958,0.005777,no,none
小号铁钉,18,2,0.808559,0.005821,no,none
小号铁钉,18,3,0.745802,0.006027,no,none
小号铁钉,18,4,0.698656,0.005269,no,none
小号铁钉,18,5,0.651078,0.004808,no,none
小号铁钉,18,6,0.616501,0.003471,no,none
小号铁钉,18,7,0.57979,0.002543,no,none
小号铁钉,18,8,0.553038,0.001,no,none
小号铁钉,18,9,0.516667,0.000663,no,none
小号铁钉,18,10,0.474942,0.000716,no,none
小号铁钉,18,11,0.432305,0.001358,no,none
小号铁钉,18,12,0.396366,0.00184,no,none
小号铁钉,18,13,0.389712,0.001664,no,none
小号铁钉,18,14,0.369112,0.002999,no,none
小号铁钉,18,15,0.345197,0.003719,no,none
小号铁钉,18,22,0.212358,0.007482,no,none
小号铁钉,18,30,0.111506,0.006812,no,none
小号铁钉,18,37,0.071699,0.012617,no,none
小号铁钉,18,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,18,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,18,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,18,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,19,1,0.875958,0.005777,no,none
小号铁钉,19,2,0.808559,0.005821,no,none
小号铁钉,19,3,0.745802,0.006027,no,none
小号铁钉,19,4,0.698656,0.005269,no,none
小号铁钉,19,5,0.651078,0.004808,no,none
小号铁钉,19,6,0.616501,0.003471,no,none
小号铁钉,19,7,0.57979,0.002543,no,none
小号铁钉,19,8,0.553038,0.001,no,none
小号铁钉,19,9,0.516667,0.000663,no,none
小号铁钉,19,10,0.474942,0.000716,no,none
小号铁钉,19,11,0.432305,0.001358,no,none
小号铁钉,19,12,0.396366,0.00184,no,none
小号铁钉,19,13,0.389712,0.001664,no,none
小号铁钉,19,14,0.369112,0.002999,no,none
小号铁钉,19,15,0.345197,0.003719,no,none
小号铁钉,19,22,0.212358,0.007482,no,none
小号铁钉,19,30,0.111506,0.006812,no,none
小号铁钉,19,37,0.071699,0.012617,no,none
小号铁钉,19,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,19,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,19,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,19,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,20,1,0.875958,0.005777,no,none
小号铁钉,20,2,0.808559,0.005821,no,none
小号铁钉,20,3,0.745802,0.006027,no,none
小号铁钉,20,4,0.698656,0.005269,no,none
小号铁钉,20,5,0.651078,0.004808,no,none
小号铁钉,20,6,0.616501,0.003471,no,none
小号铁钉,20,7,0.57979,0.002543,no,none
小号铁钉,20,8,0.553038,0.001,no,none
小号铁钉,20,9,0.516667,0.000663,no,none
小号铁钉,20,10,0.474942,0.000716,no,none
小号铁钉,20,11,0.432305,0.001358,no,none
小号铁钉,20,12,0.396366,0.00184,no,none
小号铁钉,20,13,0.389712,0.001664,no,none
小号铁钉,20,14,0.369112,0.002999,no,none
小号铁钉,20,15,0.345197,0.003719,no,none
小号铁钉,20,22,0.212358,0.007482,no,none
小号铁钉,20,30,0.111506,0.006812,no,none
小号铁钉,20,37,0.071699,0.012617,no,none
小号铁钉,20,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,20,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,20,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,20,90,0.00058,0.026833,yes,retention_too_low
小号铁夹,1,1,0.87411,0.006128,no,none
小号铁夹,1,2,0.803269,0.006181,no,none
小号铁夹,1,3,0.737632,0.006184,no,none
小号铁夹,1,4,0.687933,0.005481,no,none
小号铁夹,1,5,0.638238,0.005009,no,none
小号铁夹,1,6,0.601659,0.003631,no,none
小号铁夹,1,7,0.563319,0.002683,no,none
小号铁夹,1,8,0.53494,0.001105,no,none
小号铁夹,1,9,0.49754,0.000704,no,none
小号铁夹,1,10,0.455328,0.000741,no,none
小号铁夹,1,11,0.412611,0.00138,no,none
小号铁夹,1,12,0.376629,0.001868,no,none
小号铁夹,1,13,0.368662,0.001649,no,none
小号铁夹,1,14,0.347624,0.002974,no,none
小号铁夹,1,15,0.323657,0.003693,no,none
小号铁夹,1,22,0.192999,0.007559,no,none
小号铁夹,1,30,0.097795,0.006944,no,none
小号铁夹,1,37,0.060954,0.013159,no,none
小号铁夹,1,44,0.034542,0.014115,yes,retention_too_low
小号铁夹,1,51,0.018229,0.011549,yes,retention_too_low
小号铁夹,1,58,0.008813,0.006937,yes,retention_too_low
小号铁夹,1,90,0.000389,0.027706,yes,retention_too_low
小号铁夹,2,1,0.87411,0.006128,no,none
小号铁夹,2,2,0.803269,0.006181,no,none
小号铁夹,2,3,0.737632,0.006184,no,none
小号铁夹,2,4,0.687933,0.005481,no,none
小号铁夹,2,5,0.638238,0.005009,no,none
小号铁夹,2,6,0.601659,0.003631,no,none
小号铁夹,2,7,0.563319,0.002683,no,none
小号铁夹,2,8,0.53494,0.001105,no,none
小号铁夹,2,9,0.49754,0.000704,no,none
小号铁夹,2,10,0.455328,0.000741,no,none
小号铁夹,2,11,0.412611,0.00138,no,none
小号铁夹,2,12,0.376629,0.001868,no,none
小号铁夹,2,13,0.368662,0.001649,no,none
小号铁夹,2,14,0.347624,0.002974,no,none
小号铁夹,2,15,0.323657,0.003693,no,none
小号铁夹,2,22,0.192999,0.007559,no,none
小号铁夹,2,30,0.097795,0.006944,no,none
小号铁夹,2,37,0.060954,0.013159,no,none
小号铁夹,2,44,0.034542,0.014115,yes,retention_too_low
小号铁夹,2,51,0.018229,0.011549,yes,retention_too_low
小号铁夹,2,58,0.008813,0.006937,yes,retention_too_low
小号铁夹,2,90,0.000389,0.027706,yes,retention_too_low
小号铁夹,3,1,0.87411,0.006128,no,none
小号铁夹,3,2,0.803269,0.006181,no,none
小号铁夹,3,3,0.737632,0.006184,no,none
小号铁夹,3,4,0.687933,0.005481,no,none
小号铁夹,3,5,0.638238,0.005009,no,none
小号铁夹,3,6,0.601659,0.003631,no,none
小号铁夹,3,7,0.563319,0.002683,no,none
小号铁夹,3,8,0.53494,0.001105,no,none
小号铁夹,3,9,0.49754,0.000704,no,none
小号铁夹,3,10,0.455328,0.000741,no,none
小号铁夹,3,11,0.412611,0.00138,no,none
小号铁夹,3,12,0.376629,0.001868,no,none
小号铁夹,3,13,0.368662,0.001649,no,none
小号铁夹,3,14,0.347624,0.002974,no,none
小号铁夹,3,15,0.323657,0.003693,no,none
小号铁夹,3,22,0.192999,0.007559,no,none
小号铁夹,3,30,0.097795,0.006944,no,none
小号铁夹,3,37,0.060954,0.013159,no,none
小号铁夹,3,44,0.034542,0.014115,yes,retention_too_low
小号铁夹,3,51,0.018229,0.011549,yes,retention_too_low
小号铁夹,3,58,0.008813,0.006937,yes,retention_too_low
小号铁夹,3,90,0.000389,0.027706,yes,retention_too_low
小号铁夹,4,1,0.87411,0.006128,no,none
小号铁夹,4,2,0.803269,0.006181,no,none
小号铁夹,4,3,0.737632,0.006184,no,none
小号铁夹,4,4,0.687933,0.005481,no,none
小号铁夹,4,5,0.638238,0.005009,no,none
小号铁夹,4,6,0.601659,0.003631,no,none
小号铁夹,4,7,0.563319,0.002683,no,none
小号铁夹,4,8,0.53494,0.001105,no,none
小号铁夹,4,9,0.49754,0.000704,no,none
小号铁夹,4,10,0.455328,0.000741,no,none
小号铁夹,4,11,0.412611,0.00138,no,none
小号铁夹,4,12,0.376629,0.001868,no,none
小号铁夹,4,13,0.368662,0.001649,no,none
小号铁夹,4,14,0.347624,0.002974,no,none
小号铁夹,4,15,0.323657,0.003693,no,none
小号铁夹,4,22,0.192999,0.007559,no,none
小号铁夹,4,30,0.097795,0.006944,no,none
小号铁夹,4,37,0.060954,0.013159,no,none
小号铁夹,4,44,0.034542,0.014115,yes,retention_too_low
小号铁夹,4,51,0.018229,0.011549,yes,retention_too_low
小号铁夹,4,58,0.008813,0.006937,yes,retention_too_low
小号铁夹,4,90,0.000389,0.027706,yes,retention_too_low
小号铁夹,5,1,0.87411,0.006128,no,none
小号铁夹,5,2,0.803269,0.006181,no,none
小号铁夹,5,3,0.737632,0.006184,no,none
小号铁夹,5,4,0.687933,0.005481,no,none
小号铁夹,5,5,0.638238,0.005009,no,none
小号铁夹,5,6,0.601659,0.003631,no,none
