day,weather,temp_c,hum_pct,sample_type,theta_static_mt,theta_dynamic_mt,theta_dynamic_lower_mt,theta_dynamic_upper_mt
25,阴,10.0,80.0,小号铁钉,1.0,0.169825,0.169137,0.170495
26,阴/小雨,10.0,85.0,小号铁钉,1.0,0.154474,0.15392,0.155014
27,多云,10.5,75.0,小号铁钉,1.0,0.144928,0.144346,0.145493
28,多云,10.0,75.0,小号铁钉,1.0,0.135459,0.134879,0.136026
29,小雨,10.0,85.0,小号铁钉,1.0,0.122945,0.122475,0.123409
30,小雨,10.0,85.0,小号铁钉,1.0,0.111506,0.111123,0.111883
31,阴,10.0,80.0,小号铁钉,1.0,0.102514,0.102172,0.102861
32,多云,10.5,75.0,小号铁钉,1.0,0.095829,0.095478,0.096188
33,多云,10.5,75.0,小号铁钉,1.0,0.089514,0.089156,0.089887
34,多云,12.5,75.0,小号铁钉,1.0,0.08458,0.084193,0.084969
35,多云转晴,14.0,70.0,小号铁钉,1.0,0.082571,0.082079,0.083047
36,多云,15.0,75.0,小号铁钉,1.0,0.079101,0.078552,0.079635
37,多云转小雨,14.0,85.0,小号铁钉,1.0,0.071699,0.071244,0.072148
38,小雨转阴,13.0,85.0,小号铁钉,1.0,0.064869,0.064492,0.065241
39,小雨转阴,12.0,85.0,小号铁钉,1.0,0.058581,0.058273,0.058882
40,多云,12.0,75.0,小号铁钉,1.0,0.054942,0.054629,0.055246
41,多云转阴,12.0,80.0,小号铁钉,1.0,0.050508,0.050229,0.050776
42,晴转多云,12.0,70.0,小号铁钉,1.0,0.048223,0.047914,0.04852
43,阴转多云,12.5,80.0,小号铁钉,1.0,0.044347,0.044069,0.044614
44,晴转多云,11.0,70.0,小号铁钉,1.0,0.041917,0.041633,0.042193
45,阴,12.5,80.0,小号铁钉,1.0,0.038492,0.038239,0.038739
46,阴,15.5,80.0,小号铁钉,1.0,0.035706,0.035461,0.03594
47,小雨,14.0,85.0,小号铁钉,1.0,0.032129,0.031932,0.032321
48,小雨,11.5,85.0,小号铁钉,1.0,0.028808,0.028656,0.028958
49,多云,11.5,75.0,小号铁钉,1.0,0.026761,0.026613,0.026906
50,多云,12.0,75.0,小号铁钉,1.0,0.024916,0.024774,0.025057
51,阴,13.0,80.0,小号铁钉,1.0,0.022821,0.022695,0.022947
52,阴,12.5,80.0,小号铁钉,1.0,0.020849,0.020738,0.020961
53,小雨,11.5,85.0,小号铁钉,1.0,0.018626,0.018538,0.018716
54,小雨,12.5,85.0,小号铁钉,1.0,0.016647,0.016579,0.016715
55,小雨,13.0,85.0,小号铁钉,1.0,0.014876,0.014823,0.01493
56,多云转阵雨,16.5,80.0,小号铁钉,1.0,0.013748,0.013701,0.013797
57,小雨,13.0,85.0,小号铁钉,1.0,0.012267,0.012229,0.012307
58,分散阵雨转多云,18.0,80.0,小号铁钉,1.0,0.011383,0.011349,0.011416
59,多云转阵雨,16.5,80.0,小号铁钉,1.0,0.010497,0.010467,0.010526
60,小雨,15.0,85.0,小号铁钉,1.0,0.009367,0.009341,0.009393
61,阴,15.0,80.0,小号铁钉,1.0,0.008579,0.008555,0.008604
62,多云,16.5,75.0,小号铁钉,1.0,0.008138,0.008114,0.008161
63,多云,17.5,75.0,小号铁钉,1.0,0.007761,0.007735,0.007787
64,多云,16.0,75.0,小号铁钉,1.0,0.00733,0.007302,0.007356
65,小雨,14.0,85.0,小号铁钉,1.0,0.006509,0.006488,0.00653
66,小雨,13.5,85.0,小号铁钉,1.0,0.005773,0.005755,0.005792
67,阴转多云,15.5,80.0,小号铁钉,1.0,0.005274,0.005258,0.005292
68,晴,17.5,70.0,小号铁钉,1.0,0.00518,0.005162,0.005198
69,中到大雨,13.0,90.0,小号铁钉,1.0,0.004483,0.004468,0.004498
70,小雨,12.0,85.0,小号铁钉,1.0,0.003958,0.003943,0.003974
71,多云,14.5,75.0,小号铁钉,1.0,0.003685,0.003671,0.003699
72,晴,16.5,70.0,小号铁钉,1.0,0.003577,0.003565,0.00359
73,晴,18.0,70.0,小号铁钉,1.0,0.003515,0.003502,0.003528
74,多云,19.0,75.0,小号铁钉,1.0,0.003356,0.003342,0.00337
75,多云,20.0,75.0,小号铁钉,1.0,0.003222,0.003205,0.003238
76,多云转小雨,18.5,85.0,小号铁钉,1.0,0.002853,0.002841,0.002866
77,小雨,17.5,85.0,小号铁钉,1.0,0.002522,0.002512,0.002532
78,小雨,16.0,85.0,小号铁钉,1.0,0.002223,0.002215,0.002233
79,阴,18.0,80.0,小号铁钉,1.0,0.002032,0.002023,0.00204
80,多云,19.5,75.0,小号铁钉,1.0,0.001937,0.001929,0.001946
81,多云转小雨,19.0,85.0,小号铁钉,1.0,0.00171,0.001702,0.001719
82,小雨,17.5,85.0,小号铁钉,1.0,0.001506,0.001498,0.001515
83,小雨转阴,16.0,85.0,小号铁钉,1.0,0.001323,0.001315,0.001332
84,小雨,18.0,85.0,小号铁钉,1.0,0.001164,0.001156,0.001173
85,小雨,19.0,85.0,小号铁钉,1.0,0.001025,0.001016,0.001034
86,晴转小雨,19.5,85.0,小号铁钉,1.0,0.000902,0.000893,0.000911
87,小雨,18.5,85.0,小号铁钉,1.0,0.000792,0.000784,0.000801
88,雨,18.5,85.0,小号铁钉,1.0,0.000695,0.000687,0.000704
89,雨转阴,20.0,80.0,小号铁钉,1.0,0.000635,0.000628,0.000644
90,阴,20.0,80.0,小号铁钉,1.0,0.00058,0.000573,0.000588
1,小雨,9.0,90.0,小号铁夹,1.0,0.87411,0.871445,0.876801
2,小雨转阴,7.5,85.0,小号铁夹,1.0,0.803269,0.800819,0.805785
3,阴转小雨,7.5,85.0,小号铁夹,1.0,0.737632,0.73538,0.739942
4,多云,7.5,75.0,小号铁夹,1.0,0.687933,0.686076,0.689847
5,雾/晴,8.5,80.0,小号铁夹,1.0,0.638238,0.636667,0.639865
6,多云,9.5,75.0,小号铁夹,1.0,0.601659,0.60057,0.602755
7,多云,8.5,75.0,小号铁夹,1.0,0.563319,0.562559,0.56407
8,晴,9.0,70.0,小号铁夹,1.0,0.53494,0.534629,0.53522
9,轻度雾霾,10.0,80.0,小号铁夹,1.0,0.49754,0.497359,0.497709
10,雾/阴,9.0,85.0,小号铁夹,1.0,0.455328,0.455148,0.455485
11,雾/阴,7.0,90.0,小号铁夹,1.0,0.412611,0.412323,0.412893
12,雾/多云,8.0,85.0,小号铁夹,1.0,0.376629,0.376273,0.376977
13,晴转多云,11.0,65.0,小号铁夹,1.0,0.368662,0.368349,0.368956
14,多云,10.5,75.0,小号铁夹,1.0,0.347624,0.3471,0.348134
15,中度雾霾,11.5,80.0,小号铁夹,1.0,0.323657,0.323068,0.324263
16,中度雾霾,12.0,80.0,小号铁夹,1.0,0.301667,0.30097,0.302361
17,晴/多云,13.5,65.0,小号铁夹,1.0,0.301667,0.301289,0.30412
18,阴,11.5,80.0,小号铁夹,1.0,0.281197,0.279786,0.282621
19,中雨,11.5,90.0,小号铁夹,1.0,0.251795,0.250688,0.252939
20,小雨,8.5,85.0,小号铁夹,1.0,0.228629,0.227708,0.229561
21,小雨,7.0,85.0,小号铁夹,1.0,0.207092,0.206378,0.207824
22,晴,8.0,70.0,小号铁夹,1.0,0.192999,0.19228,0.193739
23,多云,8.5,75.0,小号铁夹,1.0,0.178604,0.177909,0.179292
24,多云,9.0,75.0,小号铁夹,1.0,0.165666,0.164975,0.16634
25,阴,10.0,80.0,小号铁夹,1.0,0.152296,0.151655,0.152908
26,阴/小雨,10.0,85.0,小号铁夹,1.0,0.137914,0.137405,0.138417
27,多云,10.5,75.0,小号铁夹,1.0,0.128816,0.128284,0.129341
28,多云,10.0,75.0,小号铁夹,1.0,0.119865,0.119326,0.120396
29,小雨,10.0,85.0,小号铁夹,1.0,0.108309,0.107872,0.108738
30,小雨,10.0,85.0,小号铁夹,1.0,0.097795,0.09746,0.098139
31,阴,10.0,80.0,小号铁夹,1.0,0.08951,0.089212,0.089824
32,多云,10.5,75.0,小号铁夹,1.0,0.083301,0.082995,0.083623
33,多云,10.5,75.0,小号铁夹,1.0,0.077466,0.077158,0.077792
34,多云,12.5,75.0,小号铁夹,1.0,0.072871,0.072532,0.073211
35,多云转晴,14.0,70.0,小号铁夹,1.0,0.070824,0.07038,0.071253
36,多云,15.0,75.0,小号铁夹,1.0,0.067547,0.067066,0.068016
37,多云转小雨,14.0,85.0,小号铁夹,1.0,0.060954,0.060548,0.06135
38,小雨转阴,13.0,85.0,小号铁夹,1.0,0.054903,0.054577,0.055232
39,小雨转阴,12.0,85.0,小号铁夹,1.0,0.04936,0.049096,0.049628
40,多云,12.0,75.0,小号铁夹,1.0,0.046088,0.045824,0.046358
41,多云转阴,12.0,80.0,小号铁夹,1.0,0.042181,0.041944,0.042423
42,晴转多云,12.0,70.0,小号铁夹,1.0,0.040094,0.039832,0.040358
43,阴转多云,12.5,80.0,小号铁夹,1.0,0.036707,0.036474,0.036947
44,晴转多云,11.0,70.0,小号铁夹,1.0,0.034542,0.034299,0.034787
45,阴,12.5,80.0,小号铁夹,1.0,0.031578,0.031364,0.031801
46,阴,15.5,80.0,小号铁夹,1.0,0.029162,0.028959,0.029369
47,小雨,14.0,85.0,小号铁夹,1.0,0.026125,0.025962,0.026295
48,小雨,11.5,85.0,小号铁夹,1.0,0.023321,0.023192,0.023452
49,多云,11.5,75.0,小号铁夹,1.0,0.021567,0.021445,0.021694
50,多云,12.0,75.0,小号铁夹,1.0,0.019991,0.019875,0.020114
51,阴,13.0,80.0,小号铁夹,1.0,0.018229,0.018127,0.018338
52,阴,12.5,80.0,小号铁夹,1.0,0.01658,0.016493,0.016674
53,小雨,11.5,85.0,小号铁夹,1.0,0.014746,0.014679,0.014822
54,小雨,12.5,85.0,小号铁夹,1.0,0.013121,0.013069,0.013179
55,小雨,13.0,85.0,小号铁夹,1.0,0.011673,0.011631,0.011718
56,多云转阵雨,16.5,80.0,小号铁夹,1.0,0.01074,0.010703,0.010782
57,小雨,13.0,85.0,小号铁夹,1.0,0.009541,0.009508,0.009575
58,分散阵雨转多云,18.0,80.0,小号铁夹,1.0,0.008813,0.008783,0.008844
59,多云转阵雨,16.5,80.0,小号铁夹,1.0,0.008091,0.008064,0.00812
60,小雨,15.0,85.0,小号铁夹,1.0,0.007188,0.007164,0.007212
61,阴,15.0,80.0,小号铁夹,1.0,0.006554,0.006531,0.006577
62,多云,16.5,75.0,小号铁夹,1.0,0.00619,0.006168,0.006212
63,多云,17.5,75.0,小号铁夹,1.0,0.005877,0.005853,0.005901
64,多云,16.0,75.0,小号铁夹,1.0,0.005525,0.005502,0.005549
65,小雨,14.0,85.0,小号铁夹,1.0,0.004885,0.004865,0.004905
66,小雨,13.5,85.0,小号铁夹,1.0,0.004314,0.004297,0.004331
67,阴转多云,15.5,80.0,小号铁夹,1.0,0.003923,0.003907,0.003939
68,晴,17.5,70.0,小号铁夹,1.0,0.003836,0.003819,0.003852
69,中到大雨,13.0,90.0,小号铁夹,1.0,0.003305,0.003291,0.003319
70,小雨,12.0,85.0,小号铁夹,1.0,0.002905,0.002892,0.002918
71,多云,14.5,75.0,小号铁夹,1.0,0.002692,0.00268,0.002705
72,晴,16.5,70.0,小号铁夹,1.0,0.002602,0.002591,0.002613
73,晴,18.0,70.0,小号铁夹,1.0,0.002546,0.002535,0.002558
74,多云,19.0,75.0,小号铁夹,1.0,0.00242,0.002408,0.002432
75,多云,20.0,75.0,小号铁夹,1.0,0.002313,0.0023,0.002326
76,多云转小雨,18.5,85.0,小号铁夹,1.0,0.002039,0.002028,0.00205
77,小雨,17.5,85.0,小号铁夹,1.0,0.001794,0.001785,0.001803
78,小雨,16.0,85.0,小号铁夹,1.0,0.001575,0.001567,0.001583
79,阴,18.0,80.0,小号铁夹,1.0,0.001433,0.001425,0.00144
80,多云,19.5,75.0,小号铁夹,1.0,0.00136,0.001352,0.001367
81,多云转小雨,19.0,85.0,小号铁夹,1.0,0.001195,0.001188,0.001202
82,小雨,17.5,85.0,小号铁夹,1.0,0.001048,0.001041,0.001055
83,小雨转阴,16.0,85.0,小号铁夹,1.0,0.000916,0.00091,0.000923
84,小雨,18.0,85.0,小号铁夹,1.0,0.000803,0.000796,0.000809
85,小雨,19.0,85.0,小号铁夹,1.0,0.000703,0.000697,0.00071
86,晴转小雨,19.5,85.0,小号铁夹,1.0,0.000616,0.00061,0.000623
87,小雨,18.5,85.0,小号铁夹,1.0,0.000539,0.000533,0.000545
88,雨,18.5,85.0,小号铁夹,1.0,0.000471,0.000465,0.000477
89,雨转阴,20.0,80.0,小号铁夹,1.0,0.000428,0.000423,0.000434
90,阴,20.0,80.0,小号铁夹,1.0,0.000389,0.000384,0.000395
1,小雨,9.0,90.0,普通钢筋,1.5,1.319551,1.315766,1.323507
2,小雨转阴,7.5,85.0,普通钢筋,1.5,1.236301,1.232721,1.240037
3,阴转小雨,7.5,85.0,普通钢筋,1.5,1.157458,1.154048,1.161065
4,多云,7.5,75.0,普通钢筋,1.5,1.100563,1.097768,1.103549
5,雾/晴,8.5,80.0,普通钢筋,1.5,1.041008,1.038592,1.043596
6,多云,9.5,75.0,普通钢筋,1.5,1.000517,0.998811,1.002316
7,多云,8.5,75.0,普通钢筋,1.5,0.955061,0.953889,0.956301
8,晴,9.0,70.0,普通钢筋,1.5,0.924665,0.924291,0.925045
9,轻度雾霾,10.0,80.0,普通钢筋,1.5,0.876819,0.876557,0.877064
10,雾/阴,9.0,85.0,普通钢筋,1.5,0.818106,0.817798,0.818394
11,雾/阴,7.0,90.0,普通钢筋,1.5,0.755837,0.75534,0.756342
12,雾/多云,8.0,85.0,普通钢筋,1.5,0.703402,0.702753,0.704041
13,晴转多云,11.0,65.0,普通钢筋,1.5,0.701975,0.701375,0.702542
14,多云,10.5,75.0,普通钢筋,1.5,0.674847,0.673819,0.675838
15,中度雾霾,11.5,80.0,普通钢筋,1.5,0.640595,0.639409,0.641762
16,中度雾霾,12.0,80.0,普通钢筋,1.5,0.608737,0.607361,0.610139
17,晴/多云,13.5,65.0,普通钢筋,1.5,0.608737,0.619807,0.625639
18,阴,11.5,80.0,普通钢筋,1.5,0.589818,0.586881,0.592805
19,中雨,11.5,90.0,普通钢筋,1.5,0.538465,0.536147,0.540922
20,小雨,8.5,85.0,普通钢筋,1.5,0.498476,0.496539,0.500528
21,小雨,7.0,85.0,普通钢筋,1.5,0.46034,0.458793,0.461924
22,晴,8.0,70.0,普通钢筋,1.5,0.437394,0.435759,0.438991
23,多云,8.5,75.0,普通钢筋,1.5,0.412678,0.411073,0.414215
24,多云,9.0,75.0,普通钢筋,1.5,0.390262,0.388643,0.391787
25,阴,10.0,80.0,普通钢筋,1.5,0.365775,0.364278,0.367186
26,阴/小雨,10.0,85.0,普通钢筋,1.5,0.337704,0.336462,0.338887
27,多云,10.5,75.0,普通钢筋,1.5,0.32159,0.320277,0.322839
28,多云,10.0,75.0,普通钢筋,1.5,0.30509,0.303757,0.306374
29,小雨,10.0,85.0,普通钢筋,1.5,0.281061,0.279968,0.282121
30,小雨,10.0,85.0,普通钢筋,1.5,0.258735,0.25786,0.259617
31,阴,10.0,80.0,普通钢筋,1.5,0.241442,0.240638,0.242254
32,多云,10.5,75.0,普通钢筋,1.5,0.229084,0.228243,0.229936
33,多云,10.5,75.0,普通钢筋,1.5,0.217201,0.216314,0.218091
34,多云,12.5,75.0,普通钢筋,1.5,0.208307,0.207357,0.209258
35,多云转晴,14.0,70.0,普通钢筋,1.5,0.206411,0.205152,0.207616
36,多云,15.0,75.0,普通钢筋,1.5,0.200706,0.199291,0.202058
37,多云转小雨,14.0,85.0,普通钢筋,1.5,0.184655,0.183473,0.185786
38,小雨转阴,13.0,85.0,普通钢筋,1.5,0.169572,0.168582,0.17051
39,小雨转阴,12.0,85.0,普通钢筋,1.5,0.155432,0.154634,0.156193
40,多云,12.0,75.0,普通钢筋,1.5,0.147965,0.147139,0.148753
41,多云转阴,12.0,80.0,普通钢筋,1.5,0.138066,0.137305,0.138786
42,晴转多云,12.0,70.0,普通钢筋,1.5,0.133797,0.132936,0.134617
43,阴转多云,12.5,80.0,普通钢筋,1.5,0.12489,0.124107,0.125636
44,晴转多云,11.0,70.0,普通钢筋,1.5,0.11982,0.118997,0.120621
45,阴,12.5,80.0,普通钢筋,1.5,0.111679,0.110928,0.112395
46,阴,15.5,80.0,普通钢筋,1.5,0.10515,0.104429,0.105834
47,小雨,14.0,85.0,普通钢筋,1.5,0.096037,0.095451,0.096589
48,小雨,11.5,85.0,普通钢筋,1.5,0.087404,0.086949,0.087842
49,多云,11.5,75.0,普通钢筋,1.5,0.082409,0.081968,0.082843
50,多云,12.0,75.0,普通钢筋,1.5,0.07788,0.077443,0.078308
51,阴,13.0,80.0,普通钢筋,1.5,0.072403,0.072016,0.072789
52,阴,12.5,80.0,普通钢筋,1.5,0.06714,0.066793,0.067481
53,小雨,11.5,85.0,普通钢筋,1.5,0.060882,0.060616,0.061164
54,小雨,12.5,85.0,普通钢筋,1.5,0.055229,0.055023,0.055452
55,小雨,13.0,85.0,普通钢筋,1.5,0.050093,0.049933,0.050264
56,多云转阵雨,16.5,80.0,普通钢筋,1.5,0.046991,0.046853,0.047138
57,小雨,13.0,85.0,普通钢筋,1.5,0.042559,0.042453,0.042674
58,分散阵雨转多云,18.0,80.0,普通钢筋,1.5,0.040082,0.039997,0.040171
59,多云转阵雨,16.5,80.0,普通钢筋,1.5,0.037517,0.037448,0.03759
60,小雨,15.0,85.0,普通钢筋,1.5,0.033981,0.033933,0.034029
61,阴,15.0,80.0,普通钢筋,1.5,0.031589,0.031545,0.031631
62,多云,16.5,75.0,普通钢筋,1.5,0.030416,0.030377,0.030458
63,多云,17.5,75.0,普通钢筋,1.5,0.029444,0.029394,0.029495
64,多云,16.0,75.0,普通钢筋,1.5,0.028223,0.02816,0.028285
65,小雨,14.0,85.0,普通钢筋,1.5,0.025441,0.025409,0.025476
66,小雨,13.5,85.0,普通钢筋,1.5,0.022903,0.022878,0.022927
67,阴转多云,15.5,80.0,普通钢筋,1.5,0.021237,0.021212,0.02126
68,晴,17.5,70.0,普通钢筋,1.5,0.021169,0.021138,0.021201
69,中到大雨,13.0,90.0,普通钢筋,1.5,0.018596,0.018572,0.018618
70,小雨,12.0,85.0,普通钢筋,1.5,0.016664,0.016623,0.016705
71,多云,14.5,75.0,普通钢筋,1.5,0.015747,0.015708,0.015783
72,晴,16.5,70.0,普通钢筋,1.5,0.015518,0.015489,0.015545
73,晴,18.0,70.0,普通钢筋,1.5,0.015478,0.015446,0.015513
74,多云,19.0,75.0,普通钢筋,1.5,0.015,0.014961,0.01504
75,多云,20.0,75.0,普通钢筋,1.5,0.014616,0.014564,0.014667
76,多云转小雨,18.5,85.0,普通钢筋,1.5,0.013136,0.013106,0.013168
77,小雨,17.5,85.0,普通钢筋,1.5,0.011785,0.01177,0.011802
78,小雨,16.0,85.0,普通钢筋,1.5,0.010547,0.010537,0.010556
79,阴,18.0,80.0,普通钢筋,1.5,0.009782,0.00977,0.009792
80,多云,19.5,75.0,普通钢筋,1.5,0.009467,0.009457,0.009479
81,多云转小雨,19.0,85.0,普通钢筋,1.5,0.008483,0.008467,0.008497
82,小雨,17.5,85.0,普通钢筋,1.5,0.007582,0.00756,0.007603
83,小雨转阴,16.0,85.0,普通钢筋,1.5,0.006761,0.006733,0.006789
84,小雨,18.0,85.0,普通钢筋,1.5,0.006038,0.006005,0.006071
85,小雨,19.0,85.0,普通钢筋,1.5,0.005394,0.005358,0.005431
86,晴转小雨,19.5,85.0,普通钢筋,1.5,0.004819,0.00478,0.004858
87,小雨,18.5,85.0,普通钢筋,1.5,0.004296,0.004256,0.004338
88,雨,18.5,85.0,普通钢筋,1.5,0.003828,0.003787,0.003871
89,雨转阴,20.0,80.0,普通钢筋,1.5,0.00355,0.003511,0.003591
90,阴,20.0,80.0,普通钢筋,1.5,0.00329,0.003252,0.003329
1,小雨,9.0,90.0,锈蚀钢筋,1.5,1.306901,1.302141,1.312333
2,小雨转阴,7.5,85.0,锈蚀钢筋,1.5,1.188313,1.184027,1.193154
3,阴转小雨,7.5,85.0,锈蚀钢筋,1.5,1.079698,1.07585,1.084019
4,多云,7.5,75.0,锈蚀钢筋,1.5,0.996327,0.993113,0.999968
5,雾/晴,8.5,80.0,锈蚀钢筋,1.5,0.914601,0.911926,0.917617
6,多云,9.5,75.0,锈蚀钢筋,1.5,0.853085,0.851175,0.855308
7,多云,8.5,75.0,锈蚀钢筋,1.5,0.790295,0.788884,0.791969
8,晴,9.0,70.0,锈蚀钢筋,1.5,0.742562,0.741611,0.743748
9,轻度雾霾,10.0,80.0,锈蚀钢筋,1.5,0.683358,0.682701,0.684129
10,雾/阴,9.0,85.0,锈蚀钢筋,1.5,0.618783,0.618337,0.619335
11,雾/阴,7.0,90.0,锈蚀钢筋,1.5,0.554814,0.554316,0.55537
12,雾/多云,8.0,85.0,锈蚀钢筋,1.5,0.501087,0.500575,0.501632
13,晴转多云,11.0,65.0,锈蚀钢筋,1.5,0.485312,0.484896,0.485715
14,多云,10.5,75.0,锈蚀钢筋,1.5,0.452788,0.452089,0.453451
15,中度雾霾,11.5,80.0,锈蚀钢筋,1.5,0.417123,0.416342,0.417917
16,中度雾霾,12.0,80.0,锈蚀钢筋,1.5,0.38468,0.383749,0.385618
17,晴/多云,13.5,65.0,锈蚀钢筋,1.5,0.381901,0.380082,0.383778
18,阴,11.5,80.0,锈蚀钢筋,1.5,0.35105,0.349212,0.352935
19,中雨,11.5,90.0,锈蚀钢筋,1.5,0.311027,0.309475,0.31254
20,小雨,8.5,85.0,锈蚀钢筋,1.5,0.279432,0.278099,0.2807
21,小雨,7.0,85.0,锈蚀钢筋,1.5,0.250438,0.249379,0.251432
22,晴,8.0,70.0,锈蚀钢筋,1.5,0.230932,0.22988,0.231883
23,多云,8.5,75.0,锈蚀钢筋,1.5,0.211453,0.210469,0.212346
24,多云,9.0,75.0,锈蚀钢筋,1.5,0.194066,0.193135,0.194929
25,阴,10.0,80.0,锈蚀钢筋,1.5,0.176521,0.175678,0.177315
26,阴/小雨,10.0,85.0,锈蚀钢筋,1.5,0.158165,0.157421,0.15883
27,多云,10.5,75.0,锈蚀钢筋,1.5,0.146173,0.145425,0.146847
28,多云,10.0,75.0,锈蚀钢筋,1.5,0.13458,0.133851,0.13524
29,小雨,10.0,85.0,锈蚀钢筋,1.5,0.120322,0.1197,0.120874
30,小雨,10.0,85.0,锈蚀钢筋,1.5,0.107495,0.106969,0.107963
31,阴,10.0,80.0,锈蚀钢筋,1.5,0.09735,0.096862,0.097767
32,多云,10.5,75.0,锈蚀钢筋,1.5,0.089642,0.089168,0.090044
33,多云,10.5,75.0,锈蚀钢筋,1.5,0.082483,0.082022,0.082882
34,多云,12.5,75.0,锈蚀钢筋,1.5,0.076771,0.076301,0.077194
35,多云转晴,14.0,70.0,锈蚀钢筋,1.5,0.073828,0.073266,0.07433
36,多云,15.0,75.0,锈蚀钢筋,1.5,0.069669,0.069065,0.070215
37,多云转小雨,14.0,85.0,锈蚀钢筋,1.5,0.062205,0.061663,0.062687
38,小雨转阴,13.0,85.0,锈蚀钢筋,1.5,0.055438,0.054956,0.055859
39,小雨转阴,12.0,85.0,锈蚀钢筋,1.5,0.049316,0.048897,0.049674
40,多云,12.0,75.0,锈蚀钢筋,1.5,0.045561,0.045159,0.045907
41,多云转阴,12.0,80.0,锈蚀钢筋,1.5,0.041259,0.04089,0.041573
42,晴转多云,12.0,70.0,锈蚀钢筋,1.5,0.038803,0.038433,0.039126
43,阴转多云,12.5,80.0,锈蚀钢筋,1.5,0.035151,0.034808,0.035443
44,晴转多云,11.0,70.0,锈蚀钢筋,1.5,0.032728,0.032399,0.033014
45,阴,12.5,80.0,锈蚀钢筋,1.5,0.029605,0.029304,0.029862
46,阴,15.5,80.0,锈蚀钢筋,1.5,0.027051,0.026762,0.027299
47,小雨,14.0,85.0,锈蚀钢筋,1.5,0.023978,0.023722,0.024191
48,小雨,11.5,85.0,锈蚀钢筋,1.5,0.021178,0.020956,0.021358
49,多云,11.5,75.0,锈蚀钢筋,1.5,0.019379,0.019174,0.019544
50,多云,12.0,75.0,锈蚀钢筋,1.5,0.017773,0.017584,0.017927
51,阴,13.0,80.0,锈蚀钢筋,1.5,0.016036,0.015862,0.016175
52,阴,12.5,80.0,锈蚀钢筋,1.5,0.014431,0.014274,0.014555
53,小雨,11.5,85.0,锈蚀钢筋,1.5,0.0127,0.012564,0.012807
54,小雨,12.5,85.0,锈蚀钢筋,1.5,0.011181,0.011063,0.011274
55,小雨,13.0,85.0,锈蚀钢筋,1.5,0.009842,0.009739,0.009926
56,多云转阵雨,16.5,80.0,锈蚀钢筋,1.5,0.00896,0.008862,0.00904
57,小雨,13.0,85.0,锈蚀钢筋,1.5,0.007875,0.007789,0.007948
58,分散阵雨转多云,18.0,80.0,锈蚀钢筋,1.5,0.007198,0.007113,0.007268
59,多云转阵雨,16.5,80.0,锈蚀钢筋,1.5,0.006539,0.006458,0.006605
60,小雨,15.0,85.0,锈蚀钢筋,1.5,0.005748,0.005677,0.005809
61,阴,15.0,80.0,锈蚀钢筋,1.5,0.005185,0.00512,0.005242
62,多云,16.5,75.0,锈蚀钢筋,1.5,0.004845,0.00478,0.0049
63,多云,17.5,75.0,锈蚀钢筋,1.5,0.004552,0.004487,0.004604
64,多云,16.0,75.0,锈蚀钢筋,1.5,0.004235,0.004173,0.004285
65,小雨,14.0,85.0,锈蚀钢筋,1.5,0.003704,0.00365,0.00375
66,小雨,13.5,85.0,锈蚀钢筋,1.5,0.003237,0.003191,0.003277
67,阴转多云,15.5,80.0,锈蚀钢筋,1.5,0.002912,0.00287,0.00295
