case_id,sample_type,delay_days,weather_scenario,target_decision,day,weather,temp_c,hum_pct,retention_ratio
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,2,多云,10.5,75.0,0.860097
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,3,多云,10.5,75.0,0.821194
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,4,多云,12.5,75.0,0.793089
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,5,多云转晴,14.0,70.0,0.791378
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,6,多云,15.0,75.0,0.774898
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,7,多云转小雨,14.0,85.0,0.717922
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,8,小雨转阴,13.0,85.0,0.663901
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,9,小雨转阴,12.0,85.0,0.612805
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,10,多云,12.0,75.0,0.587454
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,11,多云转阴,12.0,80.0,0.551994
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,12,晴转多云,12.0,70.0,0.538676
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,13,阴转多云,12.5,80.0,0.506336
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,14,晴转多云,11.0,70.0,0.489185
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,15,阴,12.5,80.0,0.459146
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,16,阴,15.5,80.0,0.43533
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,17,小雨,14.0,85.0,0.400391
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,18,小雨,11.5,85.0,0.36695
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,19,多云,11.5,75.0,0.348405
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,20,多云,12.0,75.0,0.331565
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,21,阴,13.0,80.0,0.310407
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,22,阴,12.5,80.0,0.289862
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,23,小雨,11.5,85.0,0.264686
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,24,小雨,12.5,85.0,0.241793
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,25,小雨,13.0,85.0,0.220843
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,26,多云转阵雨,16.5,80.0,0.208619
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,27,小雨,13.0,85.0,0.190266
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,28,分散阵雨转多云,18.0,80.0,0.180447
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,29,多云转阵雨,16.5,80.0,0.170086
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,30,小雨,15.0,85.0,0.155134
REP-003-2,小号铁钉,30,normal,灰区/证据不足,1,阴,10.0,80.0,0.900186
REP-003-2,小号铁钉,30,normal,灰区/证据不足,2,多云,10.5,75.0,0.860097
REP-003-2,小号铁钉,30,normal,灰区/证据不足,3,多云,10.5,75.0,0.821194
REP-003-2,小号铁钉,30,normal,灰区/证据不足,4,多云,12.5,75.0,0.793089
REP-003-2,小号铁钉,30,normal,灰区/证据不足,5,多云转晴,14.0,70.0,0.791378
REP-003-2,小号铁钉,30,normal,灰区/证据不足,6,多云,15.0,75.0,0.774898
REP-003-2,小号铁钉,30,normal,灰区/证据不足,7,多云转小雨,14.0,85.0,0.717922
REP-003-2,小号铁钉,30,normal,灰区/证据不足,8,小雨转阴,13.0,85.0,0.663901
REP-003-2,小号铁钉,30,normal,灰区/证据不足,9,小雨转阴,12.0,85.0,0.612805
REP-003-2,小号铁钉,30,normal,灰区/证据不足,10,多云,12.0,75.0,0.587454
REP-003-2,小号铁钉,30,normal,灰区/证据不足,11,多云转阴,12.0,80.0,0.551994
REP-003-2,小号铁钉,30,normal,灰区/证据不足,12,晴转多云,12.0,70.0,0.538676
REP-003-2,小号铁钉,30,normal,灰区/证据不足,13,阴转多云,12.5,80.0,0.506336
REP-003-2,小号铁钉,30,normal,灰区/证据不足,14,晴转多云,11.0,70.0,0.489185
REP-003-2,小号铁钉,30,normal,灰区/证据不足,15,阴,12.5,80.0,0.459146
REP-003-2,小号铁钉,30,normal,灰区/证据不足,16,阴,15.5,80.0,0.43533
REP-003-2,小号铁钉,30,normal,灰区/证据不足,17,小雨,14.0,85.0,0.400391
REP-003-2,小号铁钉,30,normal,灰区/证据不足,18,小雨,11.5,85.0,0.36695
REP-003-2,小号铁钉,30,normal,灰区/证据不足,19,多云,11.5,75.0,0.348405
REP-003-2,小号铁钉,30,normal,灰区/证据不足,20,多云,12.0,75.0,0.331565
REP-003-2,小号铁钉,30,normal,灰区/证据不足,21,阴,13.0,80.0,0.310407
REP-003-2,小号铁钉,30,normal,灰区/证据不足,22,阴,12.5,80.0,0.289862
REP-003-2,小号铁钉,30,normal,灰区/证据不足,23,小雨,11.5,85.0,0.264686
REP-003-2,小号铁钉,30,normal,灰区/证据不足,24,小雨,12.5,85.0,0.241793
REP-003-2,小号铁钉,30,normal,灰区/证据不足,25,小雨,13.0,85.0,0.220843
REP-003-2,小号铁钉,30,normal,灰区/证据不足,26,多云转阵雨,16.5,80.0,0.208619
REP-003-2,小号铁钉,30,normal,灰区/证据不足,27,小雨,13.0,85.0,0.190266
REP-003-2,小号铁钉,30,normal,灰区/证据不足,28,分散阵雨转多云,18.0,80.0,0.180447
REP-003-2,小号铁钉,30,normal,灰区/证据不足,29,多云转阵雨,16.5,80.0,0.170086
REP-003-2,小号铁钉,30,normal,灰区/证据不足,30,小雨,15.0,85.0,0.155134
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,1,阴,10.0,80.0,0.900186
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,2,多云,10.5,75.0,0.860097
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,3,多云,10.5,75.0,0.821194
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,4,多云,12.5,75.0,0.793089
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,5,多云转晴,14.0,70.0,0.791378
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,6,多云,15.0,75.0,0.774898
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,7,多云转小雨,14.0,85.0,0.717922
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,8,小雨转阴,13.0,85.0,0.663901
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,9,小雨转阴,12.0,85.0,0.612805
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,10,多云,12.0,75.0,0.587454
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,11,多云转阴,12.0,80.0,0.551994
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,12,晴转多云,12.0,70.0,0.538676
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,13,阴转多云,12.5,80.0,0.506336
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,14,晴转多云,11.0,70.0,0.489185
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,15,阴,12.5,80.0,0.459146
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,16,阴,15.5,80.0,0.43533
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,17,小雨,14.0,85.0,0.400391
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,18,小雨,11.5,85.0,0.36695
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,19,多云,11.5,75.0,0.348405
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,20,多云,12.0,75.0,0.331565
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,21,阴,13.0,80.0,0.310407
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,22,阴,12.5,80.0,0.289862
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,23,小雨,11.5,85.0,0.264686
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,24,小雨,12.5,85.0,0.241793
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,25,小雨,13.0,85.0,0.220843
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,26,多云转阵雨,16.5,80.0,0.208619
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,27,小雨,13.0,85.0,0.190266
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,28,分散阵雨转多云,18.0,80.0,0.180447
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,29,多云转阵雨,16.5,80.0,0.170086
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,30,小雨,15.0,85.0,0.155134
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,1,阴,15.0,80.0,0.916594
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,2,多云,16.5,75.0,0.908396
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,3,多云,17.5,75.0,0.905115
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,4,多云,16.0,75.0,0.892987
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,5,小雨,14.0,85.0,0.828537
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,6,小雨,13.5,85.0,0.767744
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,7,阴转多云,15.5,80.0,0.732714
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,8,晴,17.5,70.0,0.732714
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,9,中到大雨,13.0,90.0,0.679738
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,10,小雨,12.0,85.0,0.626965
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,11,多云,14.5,75.0,0.609813
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,12,晴,16.5,70.0,0.609813
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,13,晴,18.0,70.0,0.609813
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,14,多云,19.0,75.0,0.609813
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,15,多云,20.0,75.0,0.609813
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,16,多云转小雨,18.5,85.0,0.587673
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,17,小雨,17.5,85.0,0.542649
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,18,小雨,16.0,85.0,0.499861
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,19,阴,18.0,80.0,0.477187
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,20,多云,19.5,75.0,0.475365
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,21,多云转小雨,19.0,85.0,0.438408
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,22,小雨,17.5,85.0,0.403346
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,23,小雨转阴,16.0,85.0,0.370189
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,24,小雨,18.0,85.0,0.340279
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,25,小雨,19.0,85.0,0.31291
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,26,晴转小雨,19.5,85.0,0.287695
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,27,小雨,18.5,85.0,0.264021
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,28,雨,18.5,85.0,0.242118
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,29,雨转阴,20.0,80.0,0.23112
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,30,阴,20.0,80.0,0.22046
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,1,阴,15.0,80.0,0.916594
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,2,多云,16.5,75.0,0.908396
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,3,多云,17.5,75.0,0.905115
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,4,多云,16.0,75.0,0.892987
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,5,小雨,14.0,85.0,0.828537
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,6,小雨,13.5,85.0,0.767744
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,7,阴转多云,15.5,80.0,0.732714
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,8,晴,17.5,70.0,0.732714
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,9,中到大雨,13.0,90.0,0.679738
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,10,小雨,12.0,85.0,0.626965
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,11,多云,14.5,75.0,0.609813
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,12,晴,16.5,70.0,0.609813
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,13,晴,18.0,70.0,0.609813
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,14,多云,19.0,75.0,0.609813
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,15,多云,20.0,75.0,0.609813
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,16,多云转小雨,18.5,85.0,0.587673
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,17,小雨,17.5,85.0,0.542649
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,18,小雨,16.0,85.0,0.499861
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,19,阴,18.0,80.0,0.477187
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,20,多云,19.5,75.0,0.475365
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,21,多云转小雨,19.0,85.0,0.438408
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,22,小雨,17.5,85.0,0.403346
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,23,小雨转阴,16.0,85.0,0.370189
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,24,小雨,18.0,85.0,0.340279
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,25,小雨,19.0,85.0,0.31291
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,26,晴转小雨,19.5,85.0,0.287695
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,27,小雨,18.5,85.0,0.264021
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,28,雨,18.5,85.0,0.242118
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,29,雨转阴,20.0,80.0,0.23112
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,30,阴,20.0,80.0,0.22046
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,1,阴,15.0,80.0,0.916594
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,2,多云,16.5,75.0,0.908396
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,3,多云,17.5,75.0,0.905115
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,4,多云,16.0,75.0,0.892987
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,5,小雨,14.0,85.0,0.828537
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,6,小雨,13.5,85.0,0.767744
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,7,阴转多云,15.5,80.0,0.732714
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,8,晴,17.5,70.0,0.732714
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,9,中到大雨,13.0,90.0,0.679738
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,10,小雨,12.0,85.0,0.626965
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,11,多云,14.5,75.0,0.609813
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,12,晴,16.5,70.0,0.609813
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,13,晴,18.0,70.0,0.609813
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,14,多云,19.0,75.0,0.609813
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,15,多云,20.0,75.0,0.609813
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,16,多云转小雨,18.5,85.0,0.587673
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,17,小雨,17.5,85.0,0.542649
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,18,小雨,16.0,85.0,0.499861
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,19,阴,18.0,80.0,0.477187
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,20,多云,19.5,75.0,0.475365
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,21,多云转小雨,19.0,85.0,0.438408
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,22,小雨,17.5,85.0,0.403346
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,23,小雨转阴,16.0,85.0,0.370189
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,24,小雨,18.0,85.0,0.340279
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,25,小雨,19.0,85.0,0.31291
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,26,晴转小雨,19.5,85.0,0.287695
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,27,小雨,18.5,85.0,0.264021
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,28,雨,18.5,85.0,0.242118
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,29,雨转阴,20.0,80.0,0.23112
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,30,阴,20.0,80.0,0.22046
REP-005-1,小号铁钉,60,normal,灰区/证据不足,1,中度雾霾,12.0,80.0,0.906714
REP-005-1,小号铁钉,60,normal,灰区/证据不足,2,晴/多云,13.5,65.0,0.906714
REP-005-1,小号铁钉,60,normal,灰区/证据不足,3,阴,11.5,80.0,0.871609
REP-005-1,小号铁钉,60,normal,灰区/证据不足,4,中雨,11.5,90.0,0.79258
REP-005-1,小号铁钉,60,normal,灰区/证据不足,5,小雨,8.5,85.0,0.730822
REP-005-1,小号铁钉,60,normal,灰区/证据不足,6,小雨,7.0,85.0,0.672245
REP-005-1,小号铁钉,60,normal,灰区/证据不足,7,晴,8.0,70.0,0.636213
REP-005-1,小号铁钉,60,normal,灰区/证据不足,8,多云,8.5,75.0,0.597892
REP-005-1,小号铁钉,60,normal,灰区/证据不足,9,多云,9.0,75.0,0.563184
REP-005-1,小号铁钉,60,normal,灰区/证据不足,10,阴,10.0,80.0,0.525762
REP-005-1,小号铁钉,60,normal,灰区/证据不足,11,阴/小雨,10.0,85.0,0.483497
REP-005-1,小号铁钉,60,normal,灰区/证据不足,12,多云,10.5,75.0,0.458607
REP-005-1,小号铁钉,60,normal,灰区/证据不足,13,多云,10.0,75.0,0.43336
REP-005-1,小号铁钉,60,normal,灰区/证据不足,14,小雨,10.0,85.0,0.397651
REP-005-1,小号铁钉,60,normal,灰区/证据不足,15,小雨,10.0,85.0,0.364619
REP-005-1,小号铁钉,60,normal,灰区/证据不足,16,阴,10.0,80.0,0.338905
REP-005-1,小号铁钉,60,normal,灰区/证据不足,17,多云,10.5,75.0,0.320289
REP-005-1,小号铁钉,60,normal,灰区/证据不足,18,多云,10.5,75.0,0.302475
REP-005-1,小号铁钉,60,normal,灰区/证据不足,19,多云,12.5,75.0,0.288944
REP-005-1,小号铁钉,60,normal,灰区/证据不足,20,多云转晴,14.0,70.0,0.285184
REP-005-1,小号铁钉,60,normal,灰区/证据不足,21,多云,15.0,75.0,0.276207
REP-005-1,小号铁钉,60,normal,灰区/证据不足,22,多云转小雨,14.0,85.0,0.253114
REP-005-1,小号铁钉,60,normal,灰区/证据不足,23,小雨转阴,13.0,85.0,0.231521
REP-005-1,小号铁钉,60,normal,灰区/证据不足,24,小雨转阴,12.0,85.0,0.211377
REP-005-1,小号铁钉,60,normal,灰区/证据不足,25,多云,12.0,75.0,0.200428
REP-005-1,小号铁钉,60,normal,灰区/证据不足,26,多云转阴,12.0,80.0,0.186281
REP-005-1,小号铁钉,60,normal,灰区/证据不足,27,晴转多云,12.0,70.0,0.179809
REP-005-1,小号铁钉,60,normal,灰区/证据不足,28,阴转多云,12.5,80.0,0.167175
REP-005-1,小号铁钉,60,normal,灰区/证据不足,29,晴转多云,11.0,70.0,0.159755
REP-005-1,小号铁钉,60,normal,灰区/证据不足,30,阴,12.5,80.0,0.148313
REP-005-1,小号铁钉,60,normal,灰区/证据不足,31,阴,15.5,80.0,0.13909
REP-005-1,小号铁钉,60,normal,灰区/证据不足,32,小雨,14.0,85.0,0.126535
REP-005-1,小号铁钉,60,normal,灰区/证据不足,33,小雨,11.5,85.0,0.114705
REP-005-1,小号铁钉,60,normal,灰区/证据不足,34,多云,11.5,75.0,0.107723
REP-005-1,小号铁钉,60,normal,灰区/证据不足,35,多云,12.0,75.0,0.101401
REP-005-1,小号铁钉,60,normal,灰区/证据不足,36,阴,13.0,80.0,0.093897
REP-005-1,小号铁钉,60,normal,灰区/证据不足,37,阴,12.5,80.0,0.086729
REP-005-1,小号铁钉,60,normal,灰区/证据不足,38,小雨,11.5,85.0,0.078334
REP-005-1,小号铁钉,60,normal,灰区/证据不足,39,小雨,12.5,85.0,0.07078
REP-005-1,小号铁钉,60,normal,灰区/证据不足,40,小雨,13.0,85.0,0.063944
REP-005-1,小号铁钉,60,normal,灰区/证据不足,41,多云转阵雨,16.5,80.0,0.059748
REP-005-1,小号铁钉,60,normal,灰区/证据不足,42,小雨,13.0,85.0,0.053898
REP-005-1,小号铁钉,60,normal,灰区/证据不足,43,分散阵雨转多云,18.0,80.0,0.050561
REP-005-1,小号铁钉,60,normal,灰区/证据不足,44,多云转阵雨,16.5,80.0,0.047139
REP-005-1,小号铁钉,60,normal,灰区/证据不足,45,小雨,15.0,85.0,0.042527
REP-005-1,小号铁钉,60,normal,灰区/证据不足,46,阴,15.0,80.0,0.039378
REP-005-1,小号铁钉,60,normal,灰区/证据不足,47,多云,16.5,75.0,0.037765
REP-005-1,小号铁钉,60,normal,灰区/证据不足,48,多云,17.5,75.0,0.036414
REP-005-1,小号铁钉,60,normal,灰区/证据不足,49,多云,16.0,75.0,0.034766
REP-005-1,小号铁钉,60,normal,灰区/证据不足,50,小雨,14.0,85.0,0.031216
REP-005-1,小号铁钉,60,normal,灰区/证据不足,51,小雨,13.5,85.0,0.027991
REP-005-1,小号铁钉,60,normal,灰区/证据不足,52,阴转多云,15.5,80.0,0.025852
REP-005-1,小号铁钉,60,normal,灰区/证据不足,53,晴,17.5,70.0,0.025668
REP-005-1,小号铁钉,60,normal,灰区/证据不足,54,中到大雨,13.0,90.0,0.022459
REP-005-1,小号铁钉,60,normal,灰区/证据不足,55,小雨,12.0,85.0,0.020046
REP-005-1,小号铁钉,60,normal,灰区/证据不足,56,多云,14.5,75.0,0.018868
REP-005-1,小号铁钉,60,normal,灰区/证据不足,57,晴,16.5,70.0,0.01852
REP-005-1,小号铁钉,60,normal,灰区/证据不足,58,晴,18.0,70.0,0.0184
REP-005-1,小号铁钉,60,normal,灰区/证据不足,59,多云,19.0,75.0,0.017761
