样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),三区域判定,辅助概率
小号铁钉,2,12,1.585,0.396366,3.998832,3.994851,4.002253,支持曾遭雷击,1.0
小号铁钉,2,13,1.5051,0.389712,3.86208,3.858887,3.865303,支持曾遭雷击,1.0
小号铁钉,2,14,1.4231,0.369112,3.855468,3.850004,3.861536,支持曾遭雷击,1.0
小号铁钉,2,15,1.3422,0.345197,3.888214,3.881262,3.895676,支持曾遭雷击,1.0
小号铁钉,2,22,0.741,0.212358,3.489386,3.477369,3.502766,支持曾遭雷击,1.0
小号铁钉,2,30,0.4007,0.111506,3.593544,3.581203,3.606855,支持曾遭雷击,1.0
小号铁钉,2,37,0.2548,0.071699,3.55373,3.531944,3.57834,支持曾遭雷击,1.0
小号铁钉,2,44,0.1533,0.041917,3.65719,3.632441,3.683814,支持曾遭雷击,1.0
小号铁钉,2,51,0.0915,0.022821,4.009454,3.987069,4.031653,支持曾遭雷击,1.0
小号铁钉,2,58,0.04,0.011383,3.514159,3.503526,3.523859,支持曾遭雷击,1.0
小号铁钉,2,90,0.0022,0.00058,3.793002,3.740146,3.843199,支持曾遭雷击,1.0
小号铁钉,3,1,2.8798,0.875958,3.2876,3.277584,3.297253,支持曾遭雷击,1.0
小号铁钉,3,2,2.5805,0.808559,3.19148,3.181485,3.200805,支持曾遭雷击,1.0
小号铁钉,3,3,2.3122,0.745802,3.100288,3.090218,3.109348,支持曾遭雷击,1.0
小号铁钉,3,4,2.1882,0.698656,3.132014,3.123114,3.140042,支持曾遭雷击,1.0
小号铁钉,3,5,2.0657,0.651078,3.172739,3.164543,3.180138,支持曾遭雷击,1.0
小号铁钉,3,6,1.9538,0.616501,3.169175,3.163163,3.174664,支持曾遭雷击,1.0
小号铁钉,3,7,1.8484,0.57979,3.188049,3.18368,3.192072,支持曾遭雷击,1.0
小号铁钉,3,8,1.7524,0.553038,3.16868,3.167099,3.170301,支持曾遭雷击,1.0
小号铁钉,3,9,1.6535,0.516667,3.20032,3.199242,3.201566,支持曾遭雷击,1.0
小号铁钉,3,10,1.5572,0.474942,3.278713,3.277514,3.279945,支持曾遭雷击,1.0
小号铁钉,3,11,1.4643,0.432305,3.387194,3.384833,3.389303,支持曾遭雷击,1.0
小号铁钉,3,12,1.3795,0.396366,3.480371,3.476907,3.483349,支持曾遭雷击,1.0
小号铁钉,3,13,1.31,0.389712,3.361454,3.358675,3.36426,支持曾遭雷击,1.0
小号铁钉,3,14,1.2386,0.369112,3.35562,3.350864,3.360901,支持曾遭雷击,1.0
小号铁钉,3,15,1.1682,0.345197,3.384154,3.378103,3.390648,支持曾遭雷击,1.0
小号铁钉,3,22,0.6449,0.212358,3.036849,3.02639,3.048493,支持曾遭雷击,1.0
小号铁钉,3,30,0.3487,0.111506,3.1272,3.11646,3.138783,支持曾遭雷击,1.0
小号铁钉,3,37,0.2217,0.071699,3.09208,3.073124,3.113493,支持曾遭雷击,1.0
小号铁钉,3,44,0.1334,0.041917,3.182447,3.160911,3.205615,支持曾遭雷击,1.0
小号铁钉,3,51,0.0796,0.022821,3.488006,3.468533,3.507318,支持曾遭雷击,1.0
小号铁钉,3,58,0.0348,0.011383,3.057319,3.048068,3.065757,支持曾遭雷击,1.0
小号铁钉,3,90,0.0019,0.00058,3.275774,3.230126,3.319126,支持曾遭雷击,1.0
小号铁钉,4,1,2.6183,0.875958,2.989069,2.979963,2.997846,支持曾遭雷击,1.0
小号铁钉,4,2,2.3461,0.808559,2.901582,2.892495,2.910059,支持曾遭雷击,1.0
小号铁钉,4,3,2.1023,0.745802,2.818846,2.80969,2.827084,支持曾遭雷击,1.0
小号铁钉,4,4,1.9895,0.698656,2.84761,2.839519,2.85491,支持曾遭雷击,1.0
小号铁钉,4,5,1.8781,0.651078,2.884601,2.877149,2.891329,支持曾遭雷击,1.0
小号铁钉,4,6,1.7763,0.616501,2.88126,2.875794,2.88625,支持曾遭雷击,1.0
小号铁钉,4,7,1.6806,0.57979,2.898634,2.894662,2.902292,支持曾遭雷击,1.0
小号铁钉,4,8,1.5932,0.553038,2.880815,2.879378,2.882289,支持曾遭雷击,1.0
小号铁钉,4,9,1.5033,0.516667,2.90961,2.908631,2.910744,支持曾遭雷击,1.0
小号铁钉,4,10,1.4158,0.474942,2.980992,2.979902,2.982113,支持曾遭雷击,1.0
小号铁钉,4,11,1.3314,0.432305,3.079772,3.077625,3.08169,支持曾遭雷击,1.0
小号铁钉,4,12,1.2543,0.396366,3.164501,3.161352,3.167209,支持曾遭雷击,1.0
小号铁钉,4,13,1.191,0.389712,3.056101,3.053574,3.058652,支持曾遭雷击,1.0
小号铁钉,4,14,1.1261,0.369112,3.050834,3.04651,3.055636,支持曾遭雷击,1.0
小号铁钉,4,15,1.0621,0.345197,3.076793,3.071292,3.082698,支持曾遭雷击,1.0
小号铁钉,4,22,0.5864,0.212358,2.761371,2.751861,2.771959,支持曾遭雷击,1.0
小号铁钉,4,30,0.3171,0.111506,2.843806,2.834039,2.854339,支持曾遭雷击,1.0
小号铁钉,4,37,0.2016,0.071699,2.811742,2.794505,2.831214,支持曾遭雷击,1.0
小号铁钉,4,44,0.1213,0.041917,2.893784,2.874201,2.914851,支持曾遭雷击,1.0
小号铁钉,4,51,0.0724,0.022821,3.172508,3.154796,3.190073,支持曾遭雷击,1.0
小号铁钉,4,58,0.0317,0.011383,2.784971,2.776545,2.792658,支持曾遭雷击,1.0
小号铁钉,4,90,0.0017,0.00058,2.930956,2.890112,2.969744,支持曾遭雷击,1.0
小号铁钉,5,1,1.7502,0.875958,1.99804,1.991953,2.003907,支持曾遭雷击,1.0
小号铁钉,5,2,1.5683,0.808559,1.939623,1.933549,1.94529,支持曾遭雷击,1.0
小号铁钉,5,3,1.4052,0.745802,1.884147,1.878027,1.889653,支持曾遭雷击,1.0
小号铁钉,5,4,1.3299,0.698656,1.903512,1.898103,1.908391,支持曾遭雷击,1.0
小号铁钉,5,5,1.2554,0.651078,1.928187,1.923206,1.932684,支持曾遭雷击,1.0
小号铁钉,5,6,1.1874,0.616501,1.92603,1.922377,1.929366,支持曾遭雷击,1.0
小号铁钉,5,7,1.1234,0.57979,1.937597,1.934942,1.940042,支持曾遭雷击,1.0
小号铁钉,5,8,1.065,0.553038,1.925727,1.924766,1.926712,支持曾遭雷击,1.0
小号铁钉,5,9,1.0049,0.516667,1.944966,1.944311,1.945724,支持曾遭雷击,1.0
小号铁钉,5,10,0.9464,0.474942,1.992662,1.991934,1.993411,支持曾遭雷击,1.0
小号铁钉,5,11,0.8899,0.432305,2.058502,2.057067,2.059783,支持曾遭雷击,1.0
小号铁钉,5,12,0.8384,0.396366,2.115218,2.113113,2.117028,支持曾遭雷击,1.0
小号铁钉,5,13,0.7961,0.389712,2.042789,2.0411,2.044494,支持曾遭雷击,1.0
小号铁钉,5,14,0.7528,0.369112,2.039489,2.036598,2.042699,支持曾遭雷击,1.0
小号铁钉,5,15,0.7099,0.345197,2.056507,2.052829,2.060453,支持曾遭雷击,1.0
小号铁钉,5,22,0.392,0.212358,1.845937,1.83958,1.853015,支持曾遭雷击,1.0
小号铁钉,5,30,0.2119,0.111506,1.900354,1.893828,1.907394,支持曾遭雷击,1.0
小号铁钉,5,37,0.1348,0.071699,1.880074,1.868548,1.893093,支持曾遭雷击,1.0
小号铁钉,5,44,0.0811,0.041917,1.934756,1.921663,1.948841,支持曾遭雷击,1.0
小号铁钉,5,51,0.0484,0.022821,2.120848,2.109007,2.13259,支持曾遭雷击,1.0
小号铁钉,5,58,0.0212,0.011383,1.862504,1.856869,1.867645,支持曾遭雷击,1.0
小号铁钉,5,90,0.0012,0.00058,2.06891,2.040079,2.09629,支持曾遭雷击,1.0
小号铁钉,6,1,1.7501,0.875958,1.997926,1.99184,2.003793,支持曾遭雷击,1.0
小号铁钉,6,2,1.5682,0.808559,1.9395,1.933426,1.945166,支持曾遭雷击,1.0
小号铁钉,6,3,1.4052,0.745802,1.884147,1.878027,1.889653,支持曾遭雷击,1.0
小号铁钉,6,4,1.3298,0.698656,1.903369,1.89796,1.908248,支持曾遭雷击,1.0
小号铁钉,6,5,1.2554,0.651078,1.928187,1.923206,1.932684,支持曾遭雷击,1.0
小号铁钉,6,6,1.1874,0.616501,1.92603,1.922377,1.929366,支持曾遭雷击,1.0
小号铁钉,6,7,1.1233,0.57979,1.937425,1.93477,1.939869,支持曾遭雷击,1.0
小号铁钉,6,8,1.065,0.553038,1.925727,1.924766,1.926712,支持曾遭雷击,1.0
小号铁钉,6,9,1.0049,0.516667,1.944966,1.944311,1.945724,支持曾遭雷击,1.0
小号铁钉,6,10,0.9464,0.474942,1.992662,1.991934,1.993411,支持曾遭雷击,1.0
小号铁钉,6,11,0.8899,0.432305,2.058502,2.057067,2.059783,支持曾遭雷击,1.0
小号铁钉,6,12,0.8384,0.396366,2.115218,2.113113,2.117028,支持曾遭雷击,1.0
小号铁钉,6,13,0.7961,0.389712,2.042789,2.0411,2.044494,支持曾遭雷击,1.0
小号铁钉,6,14,0.7527,0.369112,2.039218,2.036328,2.042427,支持曾遭雷击,1.0
小号铁钉,6,15,0.7099,0.345197,2.056507,2.052829,2.060453,支持曾遭雷击,1.0
小号铁钉,6,22,0.3919,0.212358,1.845466,1.83911,1.852542,支持曾遭雷击,1.0
小号铁钉,6,30,0.2119,0.111506,1.900354,1.893828,1.907394,支持曾遭雷击,1.0
小号铁钉,6,37,0.1348,0.071699,1.880074,1.868548,1.893093,支持曾遭雷击,1.0
小号铁钉,6,44,0.0811,0.041917,1.934756,1.921663,1.948841,支持曾遭雷击,1.0
小号铁钉,6,51,0.0484,0.022821,2.120848,2.109007,2.13259,支持曾遭雷击,1.0
小号铁钉,6,58,0.0212,0.011383,1.862504,1.856869,1.867645,支持曾遭雷击,1.0
小号铁钉,6,90,0.0012,0.00058,2.06891,2.040079,2.09629,支持曾遭雷击,1.0
小号铁钉,7,1,1.5581,0.875958,1.778738,1.773319,1.78396,支持曾遭雷击,1.0
小号铁钉,7,2,1.3961,0.808559,1.726652,1.721245,1.731697,支持曾遭雷击,1.0
小号铁钉,7,3,1.251,0.745802,1.67739,1.671942,1.682292,支持曾遭雷击,1.0
小号铁钉,7,4,1.1839,0.698656,1.694539,1.689724,1.698883,支持曾遭雷击,1.0
小号铁钉,7,5,1.1176,0.651078,1.716538,1.712104,1.720542,支持曾遭雷击,1.0
小号铁钉,7,6,1.0571,0.616501,1.714676,1.711424,1.717646,支持曾遭雷击,1.0
小号铁钉,7,7,1.0001,0.57979,1.724934,1.72257,1.727111,支持曾遭雷击,1.0
小号铁钉,7,8,0.9481,0.553038,1.714349,1.713494,1.715226,支持曾遭雷击,1.0
小号铁钉,7,9,0.8946,0.516667,1.731482,1.730899,1.732157,支持曾遭雷击,1.0
小号铁钉,7,10,0.8425,0.474942,1.773899,1.77325,1.774566,支持曾遭雷击,1.0
小号铁钉,7,11,0.7923,0.432305,1.832735,1.831457,1.833876,支持曾遭雷击,1.0
小号铁钉,7,12,0.7464,0.396366,1.883109,1.881235,1.88472,支持曾遭雷击,1.0
小号铁钉,7,13,0.7088,0.389712,1.818778,1.817274,1.820296,支持曾遭雷击,1.0
小号铁钉,7,14,0.6701,0.369112,1.815438,1.812864,1.818295,支持曾遭雷击,1.0
小号铁钉,7,15,0.632,0.345197,1.830838,1.827565,1.834352,支持曾遭雷击,1.0
小号铁钉,7,22,0.3489,0.212358,1.642978,1.63732,1.649278,支持曾遭雷击,1.0
小号铁钉,7,30,0.1887,0.111506,1.692293,1.686481,1.698561,支持曾遭雷击,1.0
小号铁钉,7,37,0.12,0.071699,1.673656,1.663396,1.685246,支持曾遭雷击,1.0
小号铁钉,7,44,0.0722,0.041917,1.722434,1.710778,1.734973,支持曾遭雷击,1.0
小号铁钉,7,51,0.0431,0.022821,1.888606,1.878062,1.899063,支持曾遭雷击,1.0
小号铁钉,7,58,0.0188,0.011383,1.651655,1.646657,1.656214,支持曾遭雷击,1.0
小号铁钉,7,90,0.001,0.00058,1.724092,1.700066,1.746908,支持曾遭雷击,1.0
小号铁钉,8,1,3.143,0.875958,3.588071,3.577139,3.598606,支持曾遭雷击,1.0
小号铁钉,8,2,2.8163,0.808559,3.48311,3.472202,3.493287,支持曾遭雷击,1.0
小号铁钉,8,3,2.5235,0.745802,3.383607,3.372618,3.393495,支持曾遭雷击,1.0
小号铁钉,8,4,2.3882,0.698656,3.418277,3.408565,3.427039,支持曾遭雷击,1.0
小号铁钉,8,5,2.2545,0.651078,3.462719,3.453774,3.470795,支持曾遭雷击,1.0
小号铁钉,8,6,2.1323,0.616501,3.458712,3.452151,3.464703,支持曾遭雷击,1.0
小号铁钉,8,7,2.0173,0.57979,3.479361,3.474593,3.483752,支持曾遭雷击,1.0
小号铁钉,8,8,1.9125,0.553038,3.458172,3.456446,3.459941,支持曾遭雷击,1.0
小号铁钉,8,9,1.8046,0.516667,3.492771,3.491595,3.494131,支持曾遭雷击,1.0
小号铁钉,8,10,1.6995,0.474942,3.578328,3.577019,3.579673,支持曾遭雷击,1.0
小号铁钉,8,11,1.5981,0.432305,3.696698,3.694121,3.699,支持曾遭雷击,1.0
小号铁钉,8,12,1.5056,0.396366,3.798512,3.794731,3.801762,支持曾遭雷击,1.0
小号铁钉,8,13,1.4297,0.389712,3.668604,3.665571,3.671666,支持曾遭雷击,1.0
小号铁钉,8,14,1.3518,0.369112,3.662302,3.657111,3.668066,支持曾遭雷击,1.0
小号铁钉,8,15,1.2749,0.345197,3.693253,3.686649,3.70034,支持曾遭雷击,1.0
小号铁钉,8,22,0.7039,0.212358,3.314682,3.303266,3.327391,支持曾遭雷击,1.0
小号铁钉,8,30,0.3806,0.111506,3.413284,3.401562,3.425927,支持曾遭雷击,1.0
小号铁钉,8,37,0.242,0.071699,3.375206,3.354515,3.39858,支持曾遭雷击,1.0
小号铁钉,8,44,0.1456,0.041917,3.473495,3.44999,3.498782,支持曾遭雷击,1.0
小号铁钉,8,51,0.0869,0.022821,3.807886,3.786627,3.828969,支持曾遭雷击,1.0
小号铁钉,8,58,0.038,0.011383,3.338451,3.32835,3.347666,支持曾遭雷击,1.0
小号铁钉,8,90,0.0021,0.00058,3.620592,3.570139,3.668508,支持曾遭雷击,1.0
小号铁钉,9,1,2.6231,0.875958,2.994549,2.985426,3.003342,支持曾遭雷击,1.0
小号铁钉,9,2,2.3505,0.808559,2.907023,2.897919,2.915517,支持曾遭雷击,1.0
小号铁钉,9,3,2.1061,0.745802,2.823941,2.814769,2.832194,支持曾遭雷击,1.0
小号铁钉,9,4,1.9932,0.698656,2.852906,2.8448,2.860219,支持曾遭雷击,1.0
小号铁钉,9,5,1.8816,0.651078,2.889977,2.882511,2.896717,支持曾遭雷击,1.0
小号铁钉,9,6,1.7796,0.616501,2.886612,2.881136,2.891612,支持曾遭雷击,1.0
小号铁钉,9,7,1.6837,0.57979,2.903981,2.900001,2.907645,支持曾遭雷击,1.0
小号铁钉,9,8,1.5962,0.553038,2.88624,2.8848,2.887717,支持曾遭雷击,1.0
小号铁钉,9,9,1.5061,0.516667,2.91503,2.914048,2.916165,支持曾遭雷击,1.0
小号铁钉,9,10,1.4184,0.474942,2.986467,2.985375,2.987589,支持曾遭雷击,1.0
小号铁钉,9,11,1.3338,0.432305,3.085324,3.083173,3.087245,支持曾遭雷击,1.0
小号铁钉,9,12,1.2566,0.396366,3.170304,3.167148,3.173017,支持曾遭雷击,1.0
小号铁钉,9,13,1.1932,0.389712,3.061746,3.059215,3.064301,支持曾遭雷击,1.0
小号铁钉,9,14,1.1282,0.369112,3.056524,3.052192,3.061334,支持曾遭雷击,1.0
小号铁钉,9,15,1.064,0.345197,3.082297,3.076786,3.088212,支持曾遭雷击,1.0
小号铁钉,9,22,0.5875,0.212358,2.766551,2.757023,2.777159,支持曾遭雷击,1.0
小号铁钉,9,30,0.3176,0.111506,2.84829,2.838508,2.85884,支持曾遭雷击,1.0
小号铁钉,9,37,0.202,0.071699,2.817321,2.80005,2.836831,支持曾遭雷击,1.0
小号铁钉,9,44,0.1215,0.041917,2.898555,2.87894,2.919657,支持曾遭雷击,1.0
小号铁钉,9,51,0.0725,0.022821,3.17689,3.159153,3.194479,支持曾遭雷击,1.0
小号铁钉,9,58,0.0317,0.011383,2.784971,2.776545,2.792658,支持曾遭雷击,1.0
小号铁钉,9,90,0.0017,0.00058,2.930956,2.890112,2.969744,支持曾遭雷击,1.0
小号铁钉,10,1,2.8329,0.875958,3.234058,3.224206,3.243554,支持曾遭雷击,1.0
小号铁钉,10,2,2.5384,0.808559,3.139412,3.12958,3.148585,支持曾遭雷击,1.0
小号铁钉,10,3,2.2745,0.745802,3.049739,3.039833,3.058651,支持曾遭雷击,1.0
小号铁钉,10,4,2.1526,0.698656,3.081059,3.072304,3.088956,支持曾遭雷击,1.0
小号铁钉,10,5,2.0321,0.651078,3.121132,3.113069,3.128411,支持曾遭雷击,1.0
小号铁钉,10,6,1.9219,0.616501,3.117431,3.111517,3.122831,支持曾遭雷击,1.0
小号铁钉,10,7,1.8183,0.57979,3.136134,3.131836,3.140091,支持曾遭雷击,1.0
小号铁钉,10,8,1.7238,0.553038,3.116965,3.11541,3.11856,支持曾遭雷击,1.0
小号铁钉,10,9,1.6265,0.516667,3.148062,3.147002,3.149288,支持曾遭雷击,1.0
小号铁钉,10,10,1.5319,0.474942,3.225443,3.224264,3.226655,支持曾遭雷击,1.0
小号铁钉,10,11,1.4405,0.432305,3.332141,3.329817,3.334215,支持曾遭雷击,1.0
小号铁钉,10,12,1.3571,0.396366,3.423858,3.42045,3.426787,支持曾遭雷击,1.0
小号铁钉,10,13,1.2886,0.389712,3.306542,3.303808,3.309302,支持曾遭雷击,1.0
小号铁钉,10,14,1.2184,0.369112,3.300894,3.296216,3.306089,支持曾遭雷击,1.0
小号铁钉,10,15,1.1491,0.345197,3.328823,3.322871,3.335211,支持曾遭雷击,1.0
小号铁钉,10,22,0.6344,0.212358,2.987404,2.977116,2.998859,支持曾遭雷击,1.0
小号铁钉,10,30,0.343,0.111506,3.076081,3.065517,3.087475,支持曾遭雷击,1.0
小号铁钉,10,37,0.2181,0.071699,3.04187,3.023222,3.062935,支持曾遭雷击,1.0
小号铁钉,10,44,0.1313,0.041917,3.132348,3.111151,3.155152,支持曾遭雷击,1.0
小号铁钉,10,51,0.0783,0.022821,3.431041,3.411886,3.450038,支持曾遭雷击,1.0
小号铁钉,10,58,0.0342,0.011383,3.004606,2.995515,3.0129,支持曾遭雷击,1.0
小号铁钉,10,90,0.0019,0.00058,3.275774,3.230126,3.319126,支持曾遭雷击,1.0
小号铁钉,11,1,1.4846,0.875958,1.69483,1.689666,1.699806,支持曾遭雷击,1.0
小号铁钉,11,2,1.3302,0.808559,1.645149,1.639997,1.649956,支持曾遭雷击,1.0
小号铁钉,11,3,1.192,0.745802,1.59828,1.593089,1.602951,支持曾遭雷击,1.0
小号铁钉,11,4,1.128,0.698656,1.614528,1.609941,1.618667,支持曾遭雷击,1.0
小号铁钉,11,5,1.0649,0.651078,1.635595,1.63137,1.63941,支持曾遭雷击,1.0
小号铁钉,11,6,1.0072,0.616501,1.633736,1.630636,1.636566,支持曾遭雷击,1.0
小号铁钉,11,7,0.9529,0.57979,1.643525,1.641273,1.645599,支持曾遭雷击,1.0
小号铁钉,11,8,0.9034,0.553038,1.633523,1.632708,1.634359,支持曾遭雷击,1.0
小号铁钉,11,9,0.8524,0.516667,1.649805,1.64925,1.650448,支持曾遭雷击,1.0
小号铁钉,11,10,0.8028,0.474942,1.69031,1.689692,1.690945,支持曾遭雷击,1.0
小号铁钉,11,11,0.7549,0.432305,1.746222,1.745005,1.747309,支持曾遭雷击,1.0
小号铁钉,11,12,0.7112,0.396366,1.794302,1.792516,1.795838,支持曾遭雷击,1.0
小号铁钉,11,13,0.6753,0.389712,1.732817,1.731384,1.734263,支持曾遭雷击,1.0
小号铁钉,11,14,0.6385,0.369112,1.729827,1.727375,1.732549,支持曾遭雷击,1.0
小号铁钉,11,15,0.6022,0.345197,1.744511,1.741392,1.747859,支持曾遭雷击,1.0
小号铁钉,11,22,0.3325,0.212358,1.56575,1.560358,1.571754,支持曾遭雷击,1.0
小号铁钉,11,30,0.1798,0.111506,1.612476,1.606939,1.618449,支持曾遭雷击,1.0
小号铁钉,11,37,0.1143,0.071699,1.594157,1.584385,1.605197,支持曾遭雷击,1.0
小号铁钉,11,44,0.0688,0.041917,1.641322,1.630215,1.653271,支持曾遭雷击,1.0
小号铁钉,11,51,0.041,0.022821,1.796586,1.786556,1.806533,支持曾遭雷击,1.0
小号铁钉,11,58,0.0179,0.011383,1.572586,1.567828,1.576927,支持曾遭雷击,1.0
小号铁钉,11,90,0.001,0.00058,1.724092,1.700066,1.746908,支持曾遭雷击,1.0
小号铁钉,12,1,3.3464,0.875958,3.820273,3.808635,3.83149,支持曾遭雷击,1.0
小号铁钉,12,2,2.9986,0.808559,3.708573,3.696959,3.719408,支持曾遭雷击,1.0
小号铁钉,12,3,2.6869,0.745802,3.602701,3.590999,3.613229,支持曾遭雷击,1.0
小号铁钉,12,4,2.5428,0.698656,3.639559,3.629218,3.648889,支持曾遭雷击,1.0
小号铁钉,12,5,2.4004,0.651078,3.686809,3.677285,3.695408,支持曾遭雷击,1.0
小号铁钉,12,6,2.2703,0.616501,3.682556,3.67557,3.688934,支持曾遭雷击,1.0
小号铁钉,12,7,2.1479,0.57979,3.704615,3.699539,3.70929,支持曾遭雷击,1.0
小号铁钉,12,8,2.0363,0.553038,3.682026,3.680189,3.68391,支持曾遭雷击,1.0
小号铁钉,12,9,1.9214,0.516667,3.718836,3.717584,3.720284,支持曾遭雷击,1.0
小号铁钉,12,10,1.8095,0.474942,3.809935,3.808542,3.811367,支持曾遭雷击,1.0
小号铁钉,12,11,1.7016,0.432305,3.936113,3.933368,3.938563,支持曾遭雷击,1.0
小号铁钉,12,12,1.6031,0.396366,4.044497,4.040471,4.047957,支持曾遭雷击,1.0
小号铁钉,12,13,1.5222,0.389712,3.905958,3.902729,3.909219,支持曾遭雷击,1.0
小号铁钉,12,14,1.4393,0.369112,3.899357,3.89383,3.905494,支持曾遭雷击,1.0
小号铁钉,12,15,1.3574,0.345197,3.932247,3.925216,3.939793,支持曾遭雷击,1.0
小号铁钉,12,22,0.7494,0.212358,3.528942,3.516788,3.542473,支持曾遭雷击,1.0
小号铁钉,12,30,0.4052,0.111506,3.633901,3.621421,3.647361,支持曾遭雷击,1.0
小号铁钉,12,37,0.2577,0.071699,3.594176,3.572143,3.619067,支持曾遭雷击,1.0
小号铁钉,12,44,0.155,0.041917,3.697746,3.672722,3.724665,支持曾遭雷击,1.0
小号铁钉,12,51,0.0925,0.022821,4.053273,4.030644,4.075715,支持曾遭雷击,1.0
小号铁钉,12,58,0.0405,0.011383,3.558086,3.54732,3.567907,支持曾遭雷击,1.0
小号铁钉,12,90,0.0022,0.00058,3.793002,3.740146,3.843199,支持曾遭雷击,1.0
小号铁钉,13,1,3.0768,0.875958,3.512496,3.501795,3.52281,支持曾遭雷击,1.0
小号铁钉,13,2,2.757,0.808559,3.40977,3.399091,3.419732,支持曾遭雷击,1.0
小号铁钉,13,3,2.4704,0.745802,3.312409,3.30165,3.322089,支持曾遭雷击,1.0
小号铁钉,13,4,2.3379,0.698656,3.346282,3.336774,3.354859,支持曾遭雷击,1.0
小号铁钉,13,5,2.207,0.651078,3.389763,3.381007,3.397669,支持曾遭雷击,1.0
小号铁钉,13,6,2.0874,0.616501,3.385881,3.379458,3.391746,支持曾遭雷击,1.0
小号铁钉,13,7,1.9749,0.57979,3.406232,3.401564,3.41053,支持曾遭雷击,1.0
小号铁钉,13,8,1.8722,0.553038,3.385301,3.383613,3.387034,支持曾遭雷击,1.0
小号铁钉,13,9,1.7666,0.516667,3.419223,3.418072,3.420554,支持曾遭雷击,1.0
小号铁钉,13,10,1.6638,0.474942,3.503161,3.50188,3.504477,支持曾遭雷击,1.0
小号铁钉,13,11,1.5645,0.432305,3.618975,3.616452,3.621228,支持曾遭雷击,1.0
小号铁钉,13,12,1.4739,0.396366,3.718535,3.714834,3.721717,支持曾遭雷击,1.0
小号铁钉,13,13,1.3996,0.389712,3.591367,3.588398,3.594365,支持曾遭雷击,1.0
