case_id,sample_type,sample_id,delay_days,observed_magnetism_mt,weather,temp_c,hum_pct,weather_source
EXPERIMENT_INTERNAL,小号铁钉,2,44,0.1533,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,51,0.0915,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,58,0.04,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,90,0.0022,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,1,2.8798,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,2,2.5805,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,3,2.3122,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,4,2.1882,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,5,2.0657,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,6,1.9538,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,7,1.8484,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,8,1.7524,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,9,1.6535,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,10,1.5572,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,11,1.4643,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,12,1.3795,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,13,1.31,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,14,1.2386,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,15,1.1682,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,22,0.6449,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,30,0.3487,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,37,0.2217,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,44,0.1334,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,51,0.0796,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,58,0.0348,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,3,90,0.0019,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,1,2.6183,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,2,2.3461,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,3,2.1023,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,4,1.9895,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,5,1.8781,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,6,1.7763,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,7,1.6806,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,8,1.5932,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,9,1.5033,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,10,1.4158,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,11,1.3314,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,12,1.2543,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,13,1.191,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,14,1.1261,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,15,1.0621,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,22,0.5864,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,30,0.3171,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,37,0.2016,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,44,0.1213,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,51,0.0724,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,58,0.0317,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,4,90,0.0017,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,1,1.7502,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,2,1.5683,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,3,1.4052,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,4,1.3299,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,5,1.2554,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,6,1.1874,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,7,1.1234,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,8,1.065,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,9,1.0049,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,10,0.9464,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,11,0.8899,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,12,0.8384,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,13,0.7961,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,14,0.7528,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,15,0.7099,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,22,0.392,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,30,0.2119,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,37,0.1348,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,44,0.0811,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,51,0.0484,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,58,0.0212,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,5,90,0.0012,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,1,1.7501,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,2,1.5682,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,3,1.4052,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,4,1.3298,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,5,1.2554,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,6,1.1874,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,7,1.1233,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,8,1.065,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,9,1.0049,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,10,0.9464,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,11,0.8899,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,12,0.8384,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,13,0.7961,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,14,0.7527,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,15,0.7099,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,22,0.3919,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,30,0.2119,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,37,0.1348,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,44,0.0811,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,51,0.0484,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,58,0.0212,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,6,90,0.0012,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,1,1.5581,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,2,1.3961,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,3,1.251,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,4,1.1839,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,5,1.1176,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,6,1.0571,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,7,1.0001,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,8,0.9481,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,9,0.8946,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,10,0.8425,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,11,0.7923,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,12,0.7464,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,13,0.7088,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,14,0.6701,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,15,0.632,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,22,0.3489,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,30,0.1887,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,37,0.12,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,44,0.0722,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,51,0.0431,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,58,0.0188,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,7,90,0.001,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,1,3.143,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,2,2.8163,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,3,2.5235,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,4,2.3882,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,5,2.2545,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,6,2.1323,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,7,2.0173,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,8,1.9125,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,9,1.8046,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,10,1.6995,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,11,1.5981,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,12,1.5056,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,13,1.4297,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,14,1.3518,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,15,1.2749,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,22,0.7039,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,30,0.3806,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,37,0.242,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,44,0.1456,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,51,0.0869,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,58,0.038,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,8,90,0.0021,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,1,2.6231,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,2,2.3505,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,3,2.1061,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,4,1.9932,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,5,1.8816,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,6,1.7796,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,7,1.6837,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,8,1.5962,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,9,1.5061,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,10,1.4184,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,11,1.3338,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,12,1.2566,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,13,1.1932,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,14,1.1282,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,15,1.064,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,22,0.5875,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,30,0.3176,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,37,0.202,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,44,0.1215,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,51,0.0725,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,58,0.0317,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,9,90,0.0017,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,1,2.8329,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,2,2.5384,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,3,2.2745,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,4,2.1526,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,5,2.0321,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,6,1.9219,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,7,1.8183,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,8,1.7238,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,9,1.6265,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,10,1.5319,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,11,1.4405,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,12,1.3571,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,13,1.2886,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,14,1.2184,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,15,1.1491,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,22,0.6344,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,30,0.343,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,37,0.2181,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,44,0.1313,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,51,0.0783,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,58,0.0342,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,10,90,0.0019,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,1,1.4846,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,2,1.3302,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,3,1.192,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,4,1.128,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,5,1.0649,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,6,1.0072,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,7,0.9529,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,8,0.9034,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,9,0.8524,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,10,0.8028,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,11,0.7549,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,12,0.7112,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,13,0.6753,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,14,0.6385,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,15,0.6022,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,22,0.3325,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,30,0.1798,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,37,0.1143,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,11,44,0.0688,晴转多云,11.0,70.0,附件2/内置天气轨迹
