样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,三区域判定,辅助概率,高风险提示
小号铁钉,2,37,0.2548,0.071699,0.071699,3.55373,3.531624,3.576463,0.012617,支持曾遭雷击,1.0,否
小号铁钉,2,44,0.1533,0.041917,0.041917,3.65719,3.633303,3.682155,0.013358,灰区/证据不足,1.0,是
小号铁钉,2,51,0.0915,0.022821,0.022821,4.009454,3.987397,4.031661,0.01104,灰区/证据不足,1.0,是
小号铁钉,2,58,0.04,0.011383,0.011383,3.514159,3.503757,3.524548,0.005916,灰区/证据不足,1.0,是
小号铁钉,2,90,0.0022,0.00058,0.00058,3.793002,3.739217,3.840996,0.026833,灰区/证据不足,1.0,是
小号铁钉,3,1,2.8798,0.875958,0.875958,3.2876,3.277948,3.29694,0.005777,支持曾遭雷击,1.0,否
小号铁钉,3,2,2.5805,0.808559,0.808559,3.19148,3.182034,3.20061,0.005821,支持曾遭雷击,1.0,否
小号铁钉,3,3,2.3122,0.745802,0.745802,3.100288,3.090806,3.109491,0.006027,支持曾遭雷击,1.0,否
小号铁钉,3,4,2.1882,0.698656,0.698656,3.132014,3.123647,3.14015,0.005269,支持曾遭雷击,1.0,否
小号铁钉,3,5,2.0657,0.651078,0.651078,3.172739,3.16499,3.180246,0.004808,支持曾遭雷击,1.0,否
小号铁钉,3,6,1.9538,0.616501,0.616501,3.169175,3.163559,3.174558,0.003471,支持曾遭雷击,1.0,否
小号铁钉,3,7,1.8484,0.57979,0.57979,3.188049,3.183909,3.192018,0.002543,支持曾遭雷击,1.0,否
小号铁钉,3,8,1.7524,0.553038,0.553038,3.16868,3.167053,3.170221,0.001,支持曾遭雷击,1.0,否
小号铁钉,3,9,1.6535,0.516667,0.516667,3.20032,3.199288,3.201411,0.000663,支持曾遭雷击,1.0,否
小号铁钉,3,10,1.5572,0.474942,0.474942,3.278713,3.277559,3.279908,0.000716,支持曾遭雷击,1.0,否
小号铁钉,3,11,1.4643,0.432305,0.432305,3.387194,3.384888,3.389488,0.001358,支持曾遭雷击,1.0,否
小号铁钉,3,12,1.3795,0.396366,0.396366,3.480371,3.477199,3.483603,0.00184,支持曾遭雷击,1.0,否
小号铁钉,3,13,1.31,0.389712,0.389712,3.361454,3.358722,3.364315,0.001664,支持曾遭雷击,1.0,否
小号铁钉,3,14,1.2386,0.369112,0.369112,3.35562,3.350678,3.360742,0.002999,支持曾遭雷击,1.0,否
小号铁钉,3,15,1.1682,0.345197,0.345197,3.384154,3.377971,3.390556,0.003719,支持曾遭雷击,1.0,否
小号铁钉,3,22,0.6449,0.212358,0.212358,3.036849,3.025541,3.048262,0.007482,支持曾遭雷击,1.0,否
小号铁钉,3,30,0.3487,0.111506,0.111506,3.1272,3.11666,3.137963,0.006812,支持曾遭雷击,1.0,否
小号铁钉,3,37,0.2217,0.071699,0.071699,3.09208,3.072846,3.11186,0.012617,支持曾遭雷击,1.0,否
小号铁钉,3,44,0.1334,0.041917,0.041917,3.182447,3.161661,3.204172,0.013358,灰区/证据不足,1.0,是
小号铁钉,3,51,0.0796,0.022821,0.022821,3.488006,3.468817,3.507325,0.01104,灰区/证据不足,1.0,是
小号铁钉,3,58,0.0348,0.011383,0.011383,3.057319,3.048269,3.066357,0.005916,灰区/证据不足,1.0,是
小号铁钉,3,90,0.0019,0.00058,0.00058,3.275774,3.229324,3.317223,0.026833,灰区/证据不足,1.0,是
小号铁钉,4,1,2.6183,0.875958,0.875958,2.989069,2.980294,2.997562,0.005777,支持曾遭雷击,1.0,否
小号铁钉,4,2,2.3461,0.808559,0.808559,2.901582,2.892993,2.909882,0.005821,支持曾遭雷击,1.0,否
小号铁钉,4,3,2.1023,0.745802,0.745802,2.818846,2.810224,2.827213,0.006027,支持曾遭雷击,1.0,否
小号铁钉,4,4,1.9895,0.698656,0.698656,2.84761,2.840004,2.855008,0.005269,支持曾遭雷击,1.0,否
小号铁钉,4,5,1.8781,0.651078,0.651078,2.884601,2.877556,2.891426,0.004808,支持曾遭雷击,1.0,否
小号铁钉,4,6,1.7763,0.616501,0.616501,2.88126,2.876154,2.886154,0.003471,支持曾遭雷击,1.0,否
小号铁钉,4,7,1.6806,0.57979,0.57979,2.898634,2.89487,2.902242,0.002543,支持曾遭雷击,1.0,否
小号铁钉,4,8,1.5932,0.553038,0.553038,2.880815,2.879336,2.882217,0.001,支持曾遭雷击,1.0,否
小号铁钉,4,9,1.5033,0.516667,0.516667,2.90961,2.908672,2.910603,0.000663,支持曾遭雷击,1.0,否
小号铁钉,4,10,1.4158,0.474942,0.474942,2.980992,2.979944,2.982079,0.000716,支持曾遭雷击,1.0,否
小号铁钉,4,11,1.3314,0.432305,0.432305,3.079772,3.077675,3.081858,0.001358,支持曾遭雷击,1.0,否
小号铁钉,4,12,1.2543,0.396366,0.396366,3.164501,3.161617,3.167439,0.00184,支持曾遭雷击,1.0,否
小号铁钉,4,13,1.191,0.389712,0.389712,3.056101,3.053616,3.058702,0.001664,支持曾遭雷击,1.0,否
小号铁钉,4,14,1.1261,0.369112,0.369112,3.050834,3.046341,3.055491,0.002999,支持曾遭雷击,1.0,否
小号铁钉,4,15,1.0621,0.345197,0.345197,3.076793,3.071172,3.082614,0.003719,支持曾遭雷击,1.0,否
小号铁钉,4,22,0.5864,0.212358,0.212358,2.761371,2.751089,2.771749,0.007482,支持曾遭雷击,1.0,否
小号铁钉,4,30,0.3171,0.111506,0.111506,2.843806,2.834221,2.853593,0.006812,支持曾遭雷击,1.0,否
小号铁钉,4,37,0.2016,0.071699,0.071699,2.811742,2.794252,2.829729,0.012617,支持曾遭雷击,1.0,否
小号铁钉,4,44,0.1213,0.041917,0.041917,2.893784,2.874884,2.913538,0.013358,灰区/证据不足,1.0,是
小号铁钉,4,51,0.0724,0.022821,0.022821,3.172508,3.155055,3.190079,0.01104,灰区/证据不足,1.0,是
小号铁钉,4,58,0.0317,0.011383,0.011383,2.784971,2.776728,2.793204,0.005916,灰区/证据不足,1.0,是
小号铁钉,4,90,0.0017,0.00058,0.00058,2.930956,2.889395,2.968042,0.026833,灰区/证据不足,1.0,是
小号铁钉,5,1,1.7502,0.875958,0.875958,1.99804,1.992175,2.003717,0.005777,支持曾遭雷击,1.0,否
小号铁钉,5,2,1.5683,0.808559,0.808559,1.939623,1.933882,1.945172,0.005821,支持曾遭雷击,1.0,否
小号铁钉,5,3,1.4052,0.745802,0.745802,1.884147,1.878384,1.88974,0.006027,支持曾遭雷击,1.0,否
小号铁钉,5,4,1.3299,0.698656,0.698656,1.903512,1.898427,1.908457,0.005269,支持曾遭雷击,1.0,否
小号铁钉,5,5,1.2554,0.651078,0.651078,1.928187,1.923478,1.932749,0.004808,支持曾遭雷击,1.0,否
小号铁钉,5,6,1.1874,0.616501,0.616501,1.92603,1.922617,1.929302,0.003471,支持曾遭雷击,1.0,否
小号铁钉,5,7,1.1234,0.57979,0.57979,1.937597,1.935081,1.940009,0.002543,支持曾遭雷击,1.0,否
小号铁钉,5,8,1.065,0.553038,0.553038,1.925727,1.924738,1.926664,0.001,支持曾遭雷击,1.0,否
小号铁钉,5,9,1.0049,0.516667,0.516667,1.944966,1.944339,1.945629,0.000663,支持曾遭雷击,1.0,否
小号铁钉,5,10,0.9464,0.474942,0.474942,1.992662,1.991961,1.993388,0.000716,支持曾遭雷击,1.0,否
小号铁钉,5,11,0.8899,0.432305,0.432305,2.058502,2.0571,2.059896,0.001358,支持曾遭雷击,1.0,否
小号铁钉,5,12,0.8384,0.396366,0.396366,2.115218,2.11329,2.117182,0.00184,支持曾遭雷击,1.0,否
小号铁钉,5,13,0.7961,0.389712,0.389712,2.042789,2.041128,2.044528,0.001664,支持曾遭雷击,1.0,否
小号铁钉,5,14,0.7528,0.369112,0.369112,2.039489,2.036485,2.042602,0.002999,支持曾遭雷击,1.0,否
小号铁钉,5,15,0.7099,0.345197,0.345197,2.056507,2.052749,2.060397,0.003719,支持曾遭雷击,1.0,否
小号铁钉,5,22,0.392,0.212358,0.212358,1.845937,1.839063,1.852874,0.007482,支持曾遭雷击,1.0,否
小号铁钉,5,30,0.2119,0.111506,0.111506,1.900354,1.89395,1.906895,0.006812,支持曾遭雷击,1.0,否
小号铁钉,5,37,0.1348,0.071699,0.071699,1.880074,1.868379,1.8921,0.012617,支持曾遭雷击,1.0,否
小号铁钉,5,44,0.0811,0.041917,0.041917,1.934756,1.922119,1.947963,0.013358,灰区/证据不足,1.0,是
小号铁钉,5,51,0.0484,0.022821,0.022821,2.120848,2.10918,2.132594,0.01104,灰区/证据不足,1.0,是
小号铁钉,5,58,0.0212,0.011383,0.011383,1.862504,1.856991,1.86801,0.005916,灰区/证据不足,1.0,是
小号铁钉,5,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,灰区/证据不足,1.0,是
小号铁钉,6,1,1.7501,0.875958,0.875958,1.997926,1.992061,2.003603,0.005777,支持曾遭雷击,1.0,否
小号铁钉,6,2,1.5682,0.808559,0.808559,1.9395,1.933759,1.945048,0.005821,支持曾遭雷击,1.0,否
小号铁钉,6,3,1.4052,0.745802,0.745802,1.884147,1.878384,1.88974,0.006027,支持曾遭雷击,1.0,否
小号铁钉,6,4,1.3298,0.698656,0.698656,1.903369,1.898284,1.908313,0.005269,支持曾遭雷击,1.0,否
小号铁钉,6,5,1.2554,0.651078,0.651078,1.928187,1.923478,1.932749,0.004808,支持曾遭雷击,1.0,否
小号铁钉,6,6,1.1874,0.616501,0.616501,1.92603,1.922617,1.929302,0.003471,支持曾遭雷击,1.0,否
小号铁钉,6,7,1.1233,0.57979,0.57979,1.937425,1.934909,1.939836,0.002543,支持曾遭雷击,1.0,否
小号铁钉,6,8,1.065,0.553038,0.553038,1.925727,1.924738,1.926664,0.001,支持曾遭雷击,1.0,否
小号铁钉,6,9,1.0049,0.516667,0.516667,1.944966,1.944339,1.945629,0.000663,支持曾遭雷击,1.0,否
小号铁钉,6,10,0.9464,0.474942,0.474942,1.992662,1.991961,1.993388,0.000716,支持曾遭雷击,1.0,否
小号铁钉,6,11,0.8899,0.432305,0.432305,2.058502,2.0571,2.059896,0.001358,支持曾遭雷击,1.0,否
小号铁钉,6,12,0.8384,0.396366,0.396366,2.115218,2.11329,2.117182,0.00184,支持曾遭雷击,1.0,否
小号铁钉,6,13,0.7961,0.389712,0.389712,2.042789,2.041128,2.044528,0.001664,支持曾遭雷击,1.0,否
小号铁钉,6,14,0.7527,0.369112,0.369112,2.039218,2.036214,2.04233,0.002999,支持曾遭雷击,1.0,否
小号铁钉,6,15,0.7099,0.345197,0.345197,2.056507,2.052749,2.060397,0.003719,支持曾遭雷击,1.0,否
小号铁钉,6,22,0.3919,0.212358,0.212358,1.845466,1.838594,1.852402,0.007482,支持曾遭雷击,1.0,否
小号铁钉,6,30,0.2119,0.111506,0.111506,1.900354,1.89395,1.906895,0.006812,支持曾遭雷击,1.0,否
小号铁钉,6,37,0.1348,0.071699,0.071699,1.880074,1.868379,1.8921,0.012617,支持曾遭雷击,1.0,否
小号铁钉,6,44,0.0811,0.041917,0.041917,1.934756,1.922119,1.947963,0.013358,灰区/证据不足,1.0,是
小号铁钉,6,51,0.0484,0.022821,0.022821,2.120848,2.10918,2.132594,0.01104,灰区/证据不足,1.0,是
小号铁钉,6,58,0.0212,0.011383,0.011383,1.862504,1.856991,1.86801,0.005916,灰区/证据不足,1.0,是
小号铁钉,6,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,灰区/证据不足,1.0,是
小号铁钉,7,1,1.5581,0.875958,0.875958,1.778738,1.773516,1.783791,0.005777,支持曾遭雷击,1.0,否
小号铁钉,7,2,1.3961,0.808559,0.808559,1.726652,1.721541,1.731592,0.005821,支持曾遭雷击,1.0,否
小号铁钉,7,3,1.251,0.745802,0.745802,1.67739,1.672259,1.682369,0.006027,支持曾遭雷击,1.0,否
小号铁钉,7,4,1.1839,0.698656,0.698656,1.694539,1.690013,1.698941,0.005269,支持曾遭雷击,1.0,否
小号铁钉,7,5,1.1176,0.651078,0.651078,1.716538,1.712346,1.7206,0.004808,支持曾遭雷击,1.0,否
小号铁钉,7,6,1.0571,0.616501,0.616501,1.714676,1.711638,1.717589,0.003471,支持曾遭雷击,1.0,否
小号铁钉,7,7,1.0001,0.57979,0.57979,1.724934,1.722694,1.727081,0.002543,支持曾遭雷击,1.0,否
小号铁钉,7,8,0.9481,0.553038,0.553038,1.714349,1.713469,1.715183,0.001,支持曾遭雷击,1.0,否
小号铁钉,7,9,0.8946,0.516667,0.516667,1.731482,1.730924,1.732073,0.000663,支持曾遭雷击,1.0,否
小号铁钉,7,10,0.8425,0.474942,0.474942,1.773899,1.773275,1.774545,0.000716,支持曾遭雷击,1.0,否
小号铁钉,7,11,0.7923,0.432305,0.432305,1.832735,1.831487,1.833976,0.001358,支持曾遭雷击,1.0,否
小号铁钉,7,12,0.7464,0.396366,0.396366,1.883109,1.881393,1.884857,0.00184,支持曾遭雷击,1.0,否
小号铁钉,7,13,0.7088,0.389712,0.389712,1.818778,1.817299,1.820326,0.001664,支持曾遭雷击,1.0,否
小号铁钉,7,14,0.6701,0.369112,0.369112,1.815438,1.812764,1.818209,0.002999,支持曾遭雷击,1.0,否
小号铁钉,7,15,0.632,0.345197,0.345197,1.830838,1.827493,1.834302,0.003719,支持曾遭雷击,1.0,否
小号铁钉,7,22,0.3489,0.212358,0.212358,1.642978,1.63686,1.649153,0.007482,支持曾遭雷击,1.0,否
小号铁钉,7,30,0.1887,0.111506,0.111506,1.692293,1.686589,1.698118,0.006812,支持曾遭雷击,1.0,否
小号铁钉,7,37,0.12,0.071699,0.071699,1.673656,1.663245,1.684362,0.012617,支持曾遭雷击,1.0,否
小号铁钉,7,44,0.0722,0.041917,0.041917,1.722434,1.711184,1.734192,0.013358,灰区/证据不足,1.0,是
小号铁钉,7,51,0.0431,0.022821,0.022821,1.888606,1.878216,1.899066,0.01104,灰区/证据不足,1.0,是
小号铁钉,7,58,0.0188,0.011383,0.011383,1.651655,1.646766,1.656538,0.005916,灰区/证据不足,1.0,是
小号铁钉,7,90,0.001,0.00058,0.00058,1.724092,1.699644,1.745907,0.026833,灰区/证据不足,1.0,是
小号铁钉,8,1,3.143,0.875958,0.875958,3.588071,3.577537,3.598265,0.005777,支持曾遭雷击,1.0,否
小号铁钉,8,2,2.8163,0.808559,0.808559,3.48311,3.472801,3.493074,0.005821,支持曾遭雷击,1.0,否
小号铁钉,8,3,2.5235,0.745802,0.745802,3.383607,3.373258,3.393651,0.006027,支持曾遭雷击,1.0,否
小号铁钉,8,4,2.3882,0.698656,0.698656,3.418277,3.409146,3.427157,0.005269,支持曾遭雷击,1.0,否
小号铁钉,8,5,2.2545,0.651078,0.651078,3.462719,3.454263,3.470912,0.004808,支持曾遭雷击,1.0,否
小号铁钉,8,6,2.1323,0.616501,0.616501,3.458712,3.452583,3.464587,0.003471,支持曾遭雷击,1.0,否
小号铁钉,8,7,2.0173,0.57979,0.57979,3.479361,3.474843,3.483693,0.002543,支持曾遭雷击,1.0,否
小号铁钉,8,8,1.9125,0.553038,0.553038,3.458172,3.456396,3.459854,0.001,支持曾遭雷击,1.0,否
小号铁钉,8,9,1.8046,0.516667,0.516667,3.492771,3.491645,3.493962,0.000663,支持曾遭雷击,1.0,否
小号铁钉,8,10,1.6995,0.474942,0.474942,3.578328,3.577069,3.579632,0.000716,支持曾遭雷击,1.0,否
小号铁钉,8,11,1.5981,0.432305,0.432305,3.696698,3.694181,3.699201,0.001358,支持曾遭雷击,1.0,否
小号铁钉,8,12,1.5056,0.396366,0.396366,3.798512,3.79505,3.802038,0.00184,支持曾遭雷击,1.0,否
小号铁钉,8,13,1.4297,0.389712,0.389712,3.668604,3.665622,3.671726,0.001664,支持曾遭雷击,1.0,否
小号铁钉,8,14,1.3518,0.369112,0.369112,3.662302,3.656908,3.667892,0.002999,支持曾遭雷击,1.0,否
小号铁钉,8,15,1.2749,0.345197,0.345197,3.693253,3.686505,3.70024,0.003719,支持曾遭雷击,1.0,否
小号铁钉,8,22,0.7039,0.212358,0.212358,3.314682,3.302339,3.327138,0.007482,支持曾遭雷击,1.0,否
小号铁钉,8,30,0.3806,0.111506,0.111506,3.413284,3.40178,3.425032,0.006812,支持曾遭雷击,1.0,否
小号铁钉,8,37,0.242,0.071699,0.071699,3.375206,3.354212,3.396798,0.012617,支持曾遭雷击,1.0,否
小号铁钉,8,44,0.1456,0.041917,0.041917,3.473495,3.450808,3.497207,0.013358,灰区/证据不足,1.0,是
小号铁钉,8,51,0.0869,0.022821,0.022821,3.807886,3.786938,3.828976,0.01104,灰区/证据不足,1.0,是
小号铁钉,8,58,0.038,0.011383,0.011383,3.338451,3.328569,3.348321,0.005916,灰区/证据不足,1.0,是
小号铁钉,8,90,0.0021,0.00058,0.00058,3.620592,3.569253,3.666405,0.026833,灰区/证据不足,1.0,是
小号铁钉,9,1,2.6231,0.875958,0.875958,2.994549,2.985758,3.003057,0.005777,支持曾遭雷击,1.0,否
小号铁钉,9,2,2.3505,0.808559,0.808559,2.907023,2.898419,2.91534,0.005821,支持曾遭雷击,1.0,否
小号铁钉,9,3,2.1061,0.745802,0.745802,2.823941,2.815304,2.832324,0.006027,支持曾遭雷击,1.0,否
小号铁钉,9,4,1.9932,0.698656,0.698656,2.852906,2.845285,2.860317,0.005269,支持曾遭雷击,1.0,否
小号铁钉,9,5,1.8816,0.651078,0.651078,2.889977,2.882919,2.896815,0.004808,支持曾遭雷击,1.0,否
小号铁钉,9,6,1.7796,0.616501,0.616501,2.886612,2.881497,2.891516,0.003471,支持曾遭雷击,1.0,否
小号铁钉,9,7,1.6837,0.57979,0.57979,2.903981,2.90021,2.907596,0.002543,支持曾遭雷击,1.0,否
小号铁钉,9,8,1.5962,0.553038,0.553038,2.88624,2.884758,2.887644,0.001,支持曾遭雷击,1.0,否
小号铁钉,9,9,1.5061,0.516667,0.516667,2.91503,2.91409,2.916024,0.000663,支持曾遭雷击,1.0,否
小号铁钉,9,10,1.4184,0.474942,0.474942,2.986467,2.985416,2.987555,0.000716,支持曾遭雷击,1.0,否
小号铁钉,9,11,1.3338,0.432305,0.432305,3.085324,3.083223,3.087413,0.001358,支持曾遭雷击,1.0,否
小号铁钉,9,12,1.2566,0.396366,0.396366,3.170304,3.167415,3.173247,0.00184,支持曾遭雷击,1.0,否
小号铁钉,9,13,1.1932,0.389712,0.389712,3.061746,3.059257,3.064352,0.001664,支持曾遭雷击,1.0,否
小号铁钉,9,14,1.1282,0.369112,0.369112,3.056524,3.052022,3.061189,0.002999,支持曾遭雷击,1.0,否
小号铁钉,9,15,1.064,0.345197,0.345197,3.082297,3.076666,3.088129,0.003719,支持曾遭雷击,1.0,否
小号铁钉,9,22,0.5875,0.212358,0.212358,2.766551,2.756249,2.776948,0.007482,支持曾遭雷击,1.0,否
小号铁钉,9,30,0.3176,0.111506,0.111506,2.84829,2.83869,2.858093,0.006812,支持曾遭雷击,1.0,否
小号铁钉,9,37,0.202,0.071699,0.071699,2.817321,2.799796,2.835343,0.012617,支持曾遭雷击,1.0,否
小号铁钉,9,44,0.1215,0.041917,0.041917,2.898555,2.879624,2.918342,0.013358,灰区/证据不足,1.0,是
小号铁钉,9,51,0.0725,0.022821,0.022821,3.17689,3.159413,3.194485,0.01104,灰区/证据不足,1.0,是
小号铁钉,9,58,0.0317,0.011383,0.011383,2.784971,2.776728,2.793204,0.005916,灰区/证据不足,1.0,是
小号铁钉,9,90,0.0017,0.00058,0.00058,2.930956,2.889395,2.968042,0.026833,灰区/证据不足,1.0,是
小号铁钉,10,1,2.8329,0.875958,0.875958,3.234058,3.224564,3.243247,0.005777,支持曾遭雷击,1.0,否
小号铁钉,10,2,2.5384,0.808559,0.808559,3.139412,3.13012,3.148393,0.005821,支持曾遭雷击,1.0,否
小号铁钉,10,3,2.2745,0.745802,0.745802,3.049739,3.040411,3.058791,0.006027,支持曾遭雷击,1.0,否
小号铁钉,10,4,2.1526,0.698656,0.698656,3.081059,3.072828,3.089062,0.005269,支持曾遭雷击,1.0,否
小号铁钉,10,5,2.0321,0.651078,0.651078,3.121132,3.11351,3.128517,0.004808,支持曾遭雷击,1.0,否
小号铁钉,10,6,1.9219,0.616501,0.616501,3.117431,3.111907,3.122726,0.003471,支持曾遭雷击,1.0,否
小号铁钉,10,7,1.8183,0.57979,0.57979,3.136134,3.132061,3.140038,0.002543,支持曾遭雷击,1.0,否
小号铁钉,10,8,1.7238,0.553038,0.553038,3.116965,3.115365,3.118482,0.001,支持曾遭雷击,1.0,否
小号铁钉,10,9,1.6265,0.516667,0.516667,3.148062,3.147047,3.149135,0.000663,支持曾遭雷击,1.0,否
小号铁钉,10,10,1.5319,0.474942,0.474942,3.225443,3.224309,3.226619,0.000716,支持曾遭雷击,1.0,否
小号铁钉,10,11,1.4405,0.432305,0.432305,3.332141,3.329872,3.334397,0.001358,支持曾遭雷击,1.0,否
小号铁钉,10,12,1.3571,0.396366,0.396366,3.423858,3.420737,3.427037,0.00184,支持曾遭雷击,1.0,否
小号铁钉,10,13,1.2886,0.389712,0.389712,3.306542,3.303854,3.309356,0.001664,支持曾遭雷击,1.0,否
小号铁钉,10,14,1.2184,0.369112,0.369112,3.300894,3.296033,3.305933,0.002999,支持曾遭雷击,1.0,否
小号铁钉,10,15,1.1491,0.345197,0.345197,3.328823,3.322741,3.335121,0.003719,支持曾遭雷击,1.0,否
小号铁钉,10,22,0.6344,0.212358,0.212358,2.987404,2.97628,2.998631,0.007482,支持曾遭雷击,1.0,否
小号铁钉,10,30,0.343,0.111506,0.111506,3.076081,3.065714,3.086668,0.006812,支持曾遭雷击,1.0,否
小号铁钉,10,37,0.2181,0.071699,0.071699,3.04187,3.022948,3.061329,0.012617,支持曾遭雷击,1.0,否
小号铁钉,10,44,0.1313,0.041917,0.041917,3.132348,3.11189,3.153731,0.013358,灰区/证据不足,1.0,是
小号铁钉,10,51,0.0783,0.022821,0.022821,3.431041,3.412166,3.450044,0.01104,灰区/证据不足,1.0,是
小号铁钉,10,58,0.0342,0.011383,0.011383,3.004606,2.995712,3.013489,0.005916,灰区/证据不足,1.0,是
小号铁钉,10,90,0.0019,0.00058,0.00058,3.275774,3.229324,3.317223,0.026833,灰区/证据不足,1.0,是
小号铁钉,11,1,1.4846,0.875958,0.875958,1.69483,1.689854,1.699645,0.005777,支持曾遭雷击,1.0,否
小号铁钉,11,2,1.3302,0.808559,0.808559,1.645149,1.64028,1.649855,0.005821,支持曾遭雷击,1.0,否
小号铁钉,11,3,1.192,0.745802,0.745802,1.59828,1.593392,1.603024,0.006027,支持曾遭雷击,1.0,否
