sample_type,sample_id,delay_days,observed_magnetism_mt,retention_ratio,dynamic_threshold_mt,m0_hat_mt,static_threshold_mt,support_gap_mt
小号铁钉,2,7,2.1238,0.57979,0.57979,3.663049,1.0,2.663049
小号铁钉,2,8,2.0134,0.553038,0.553038,3.640618,1.0,2.640618
小号铁钉,2,9,1.8998,0.516667,0.516667,3.677029,1.0,2.677029
小号铁钉,2,10,1.7892,0.474942,0.474942,3.767193,1.0,2.767193
小号铁钉,2,11,1.6825,0.432305,0.432305,3.891931,1.0,2.891931
小号铁钉,2,12,1.585,0.396366,0.396366,3.998832,1.0,2.998832
小号铁钉,2,13,1.5051,0.389712,0.389712,3.86208,1.0,2.86208
小号铁钉,2,14,1.4231,0.369112,0.369112,3.855468,1.0,2.855468
小号铁钉,2,15,1.3422,0.345197,0.345197,3.888214,1.0,2.888214
小号铁钉,2,22,0.741,0.212358,0.212358,3.489386,1.0,2.489386
小号铁钉,2,30,0.4007,0.111506,0.111506,3.593544,1.0,2.593544
小号铁钉,2,37,0.2548,0.071699,0.071699,3.55373,1.0,2.55373
小号铁钉,2,44,0.1533,0.041917,0.041917,3.65719,1.0,2.65719
小号铁钉,2,51,0.0915,0.022821,0.022821,4.009454,1.0,3.009454
小号铁钉,2,58,0.04,0.011383,0.011383,3.514159,1.0,2.514159
小号铁钉,2,90,0.0022,0.00058,0.00058,3.793002,1.0,2.793002
小号铁钉,3,1,2.8798,0.875958,0.875958,3.2876,1.0,2.2876
小号铁钉,3,2,2.5805,0.808559,0.808559,3.19148,1.0,2.19148
小号铁钉,3,3,2.3122,0.745802,0.745802,3.100288,1.0,2.100288
小号铁钉,3,4,2.1882,0.698656,0.698656,3.132014,1.0,2.132014
小号铁钉,3,5,2.0657,0.651078,0.651078,3.172739,1.0,2.172739
小号铁钉,3,6,1.9538,0.616501,0.616501,3.169175,1.0,2.169175
小号铁钉,3,7,1.8484,0.57979,0.57979,3.188049,1.0,2.188049
小号铁钉,3,8,1.7524,0.553038,0.553038,3.16868,1.0,2.16868
小号铁钉,3,9,1.6535,0.516667,0.516667,3.20032,1.0,2.20032
小号铁钉,3,10,1.5572,0.474942,0.474942,3.278713,1.0,2.278713
小号铁钉,3,11,1.4643,0.432305,0.432305,3.387194,1.0,2.387194
小号铁钉,3,12,1.3795,0.396366,0.396366,3.480371,1.0,2.480371
小号铁钉,3,13,1.31,0.389712,0.389712,3.361454,1.0,2.361454
小号铁钉,3,14,1.2386,0.369112,0.369112,3.35562,1.0,2.35562
小号铁钉,3,15,1.1682,0.345197,0.345197,3.384154,1.0,2.384154
小号铁钉,3,22,0.6449,0.212358,0.212358,3.036849,1.0,2.036849
小号铁钉,3,30,0.3487,0.111506,0.111506,3.1272,1.0,2.1272
小号铁钉,3,37,0.2217,0.071699,0.071699,3.09208,1.0,2.09208
小号铁钉,3,44,0.1334,0.041917,0.041917,3.182447,1.0,2.182447
小号铁钉,3,51,0.0796,0.022821,0.022821,3.488006,1.0,2.488006
小号铁钉,3,58,0.0348,0.011383,0.011383,3.057319,1.0,2.057319
小号铁钉,3,90,0.0019,0.00058,0.00058,3.275774,1.0,2.275774
小号铁钉,4,1,2.6183,0.875958,0.875958,2.989069,1.0,1.989069
小号铁钉,4,2,2.3461,0.808559,0.808559,2.901582,1.0,1.901582
小号铁钉,4,3,2.1023,0.745802,0.745802,2.818846,1.0,1.818846
小号铁钉,4,4,1.9895,0.698656,0.698656,2.84761,1.0,1.84761
小号铁钉,4,5,1.8781,0.651078,0.651078,2.884601,1.0,1.884601
小号铁钉,4,6,1.7763,0.616501,0.616501,2.88126,1.0,1.88126
小号铁钉,4,7,1.6806,0.57979,0.57979,2.898634,1.0,1.898634
小号铁钉,4,8,1.5932,0.553038,0.553038,2.880815,1.0,1.880815
小号铁钉,4,9,1.5033,0.516667,0.516667,2.90961,1.0,1.90961
小号铁钉,4,10,1.4158,0.474942,0.474942,2.980992,1.0,1.980992
小号铁钉,4,11,1.3314,0.432305,0.432305,3.079772,1.0,2.079772
小号铁钉,4,12,1.2543,0.396366,0.396366,3.164501,1.0,2.164501
小号铁钉,4,13,1.191,0.389712,0.389712,3.056101,1.0,2.056101
小号铁钉,4,14,1.1261,0.369112,0.369112,3.050834,1.0,2.050834
小号铁钉,4,15,1.0621,0.345197,0.345197,3.076793,1.0,2.076793
小号铁钉,4,22,0.5864,0.212358,0.212358,2.761371,1.0,1.761371
小号铁钉,4,30,0.3171,0.111506,0.111506,2.843806,1.0,1.843806
小号铁钉,4,37,0.2016,0.071699,0.071699,2.811742,1.0,1.811742
小号铁钉,4,44,0.1213,0.041917,0.041917,2.893784,1.0,1.893784
小号铁钉,4,51,0.0724,0.022821,0.022821,3.172508,1.0,2.172508
小号铁钉,4,58,0.0317,0.011383,0.011383,2.784971,1.0,1.784971
小号铁钉,4,90,0.0017,0.00058,0.00058,2.930956,1.0,1.930956
小号铁钉,5,1,1.7502,0.875958,0.875958,1.99804,1.0,0.99804
小号铁钉,5,2,1.5683,0.808559,0.808559,1.939623,1.0,0.939623
小号铁钉,5,3,1.4052,0.745802,0.745802,1.884147,1.0,0.884147
小号铁钉,5,4,1.3299,0.698656,0.698656,1.903512,1.0,0.903512
小号铁钉,5,5,1.2554,0.651078,0.651078,1.928187,1.0,0.928187
小号铁钉,5,6,1.1874,0.616501,0.616501,1.92603,1.0,0.92603
小号铁钉,5,7,1.1234,0.57979,0.57979,1.937597,1.0,0.937597
小号铁钉,5,8,1.065,0.553038,0.553038,1.925727,1.0,0.925727
小号铁钉,5,9,1.0049,0.516667,0.516667,1.944966,1.0,0.944966
小号铁钉,5,10,0.9464,0.474942,0.474942,1.992662,1.0,0.992662
小号铁钉,5,11,0.8899,0.432305,0.432305,2.058502,1.0,1.058502
小号铁钉,5,12,0.8384,0.396366,0.396366,2.115218,1.0,1.115218
小号铁钉,5,13,0.7961,0.389712,0.389712,2.042789,1.0,1.042789
小号铁钉,5,14,0.7528,0.369112,0.369112,2.039489,1.0,1.039489
小号铁钉,5,15,0.7099,0.345197,0.345197,2.056507,1.0,1.056507
小号铁钉,5,22,0.392,0.212358,0.212358,1.845937,1.0,0.845937
小号铁钉,5,30,0.2119,0.111506,0.111506,1.900354,1.0,0.900354
小号铁钉,5,37,0.1348,0.071699,0.071699,1.880074,1.0,0.880074
小号铁钉,5,44,0.0811,0.041917,0.041917,1.934756,1.0,0.934756
小号铁钉,5,51,0.0484,0.022821,0.022821,2.120848,1.0,1.120848
小号铁钉,5,58,0.0212,0.011383,0.011383,1.862504,1.0,0.862504
小号铁钉,5,90,0.0012,0.00058,0.00058,2.06891,1.0,1.06891
小号铁钉,6,1,1.7501,0.875958,0.875958,1.997926,1.0,0.997926
小号铁钉,6,2,1.5682,0.808559,0.808559,1.9395,1.0,0.9395
小号铁钉,6,3,1.4052,0.745802,0.745802,1.884147,1.0,0.884147
小号铁钉,6,4,1.3298,0.698656,0.698656,1.903369,1.0,0.903369
小号铁钉,6,5,1.2554,0.651078,0.651078,1.928187,1.0,0.928187
小号铁钉,6,6,1.1874,0.616501,0.616501,1.92603,1.0,0.92603
小号铁钉,6,7,1.1233,0.57979,0.57979,1.937425,1.0,0.937425
小号铁钉,6,8,1.065,0.553038,0.553038,1.925727,1.0,0.925727
小号铁钉,6,9,1.0049,0.516667,0.516667,1.944966,1.0,0.944966
小号铁钉,6,10,0.9464,0.474942,0.474942,1.992662,1.0,0.992662
小号铁钉,6,11,0.8899,0.432305,0.432305,2.058502,1.0,1.058502
小号铁钉,6,12,0.8384,0.396366,0.396366,2.115218,1.0,1.115218
小号铁钉,6,13,0.7961,0.389712,0.389712,2.042789,1.0,1.042789
小号铁钉,6,14,0.7527,0.369112,0.369112,2.039218,1.0,1.039218
小号铁钉,6,15,0.7099,0.345197,0.345197,2.056507,1.0,1.056507
小号铁钉,6,22,0.3919,0.212358,0.212358,1.845466,1.0,0.845466
小号铁钉,6,30,0.2119,0.111506,0.111506,1.900354,1.0,0.900354
小号铁钉,6,37,0.1348,0.071699,0.071699,1.880074,1.0,0.880074
小号铁钉,6,44,0.0811,0.041917,0.041917,1.934756,1.0,0.934756
小号铁钉,6,51,0.0484,0.022821,0.022821,2.120848,1.0,1.120848
小号铁钉,6,58,0.0212,0.011383,0.011383,1.862504,1.0,0.862504
小号铁钉,6,90,0.0012,0.00058,0.00058,2.06891,1.0,1.06891
小号铁钉,7,1,1.5581,0.875958,0.875958,1.778738,1.0,0.778738
小号铁钉,7,2,1.3961,0.808559,0.808559,1.726652,1.0,0.726652
小号铁钉,7,3,1.251,0.745802,0.745802,1.67739,1.0,0.67739
小号铁钉,7,4,1.1839,0.698656,0.698656,1.694539,1.0,0.694539
小号铁钉,7,5,1.1176,0.651078,0.651078,1.716538,1.0,0.716538
小号铁钉,7,6,1.0571,0.616501,0.616501,1.714676,1.0,0.714676
小号铁钉,7,7,1.0001,0.57979,0.57979,1.724934,1.0,0.724934
小号铁钉,7,8,0.9481,0.553038,0.553038,1.714349,1.0,0.714349
小号铁钉,7,9,0.8946,0.516667,0.516667,1.731482,1.0,0.731482
小号铁钉,7,10,0.8425,0.474942,0.474942,1.773899,1.0,0.773899
小号铁钉,7,11,0.7923,0.432305,0.432305,1.832735,1.0,0.832735
小号铁钉,7,12,0.7464,0.396366,0.396366,1.883109,1.0,0.883109
小号铁钉,7,13,0.7088,0.389712,0.389712,1.818778,1.0,0.818778
小号铁钉,7,14,0.6701,0.369112,0.369112,1.815438,1.0,0.815438
小号铁钉,7,15,0.632,0.345197,0.345197,1.830838,1.0,0.830838
小号铁钉,7,22,0.3489,0.212358,0.212358,1.642978,1.0,0.642978
小号铁钉,7,30,0.1887,0.111506,0.111506,1.692293,1.0,0.692293
小号铁钉,7,37,0.12,0.071699,0.071699,1.673656,1.0,0.673656
小号铁钉,7,44,0.0722,0.041917,0.041917,1.722434,1.0,0.722434
小号铁钉,7,51,0.0431,0.022821,0.022821,1.888606,1.0,0.888606
小号铁钉,7,58,0.0188,0.011383,0.011383,1.651655,1.0,0.651655
小号铁钉,7,90,0.001,0.00058,0.00058,1.724092,1.0,0.724092
小号铁钉,8,1,3.143,0.875958,0.875958,3.588071,1.0,2.588071
小号铁钉,8,2,2.8163,0.808559,0.808559,3.48311,1.0,2.48311
小号铁钉,8,3,2.5235,0.745802,0.745802,3.383607,1.0,2.383607
小号铁钉,8,4,2.3882,0.698656,0.698656,3.418277,1.0,2.418277
小号铁钉,8,5,2.2545,0.651078,0.651078,3.462719,1.0,2.462719
小号铁钉,8,6,2.1323,0.616501,0.616501,3.458712,1.0,2.458712
小号铁钉,8,7,2.0173,0.57979,0.57979,3.479361,1.0,2.479361
小号铁钉,8,8,1.9125,0.553038,0.553038,3.458172,1.0,2.458172
小号铁钉,8,9,1.8046,0.516667,0.516667,3.492771,1.0,2.492771
小号铁钉,8,10,1.6995,0.474942,0.474942,3.578328,1.0,2.578328
小号铁钉,8,11,1.5981,0.432305,0.432305,3.696698,1.0,2.696698
小号铁钉,8,12,1.5056,0.396366,0.396366,3.798512,1.0,2.798512
小号铁钉,8,13,1.4297,0.389712,0.389712,3.668604,1.0,2.668604
小号铁钉,8,14,1.3518,0.369112,0.369112,3.662302,1.0,2.662302
小号铁钉,8,15,1.2749,0.345197,0.345197,3.693253,1.0,2.693253
小号铁钉,8,22,0.7039,0.212358,0.212358,3.314682,1.0,2.314682
小号铁钉,8,30,0.3806,0.111506,0.111506,3.413284,1.0,2.413284
小号铁钉,8,37,0.242,0.071699,0.071699,3.375206,1.0,2.375206
小号铁钉,8,44,0.1456,0.041917,0.041917,3.473495,1.0,2.473495
小号铁钉,8,51,0.0869,0.022821,0.022821,3.807886,1.0,2.807886
小号铁钉,8,58,0.038,0.011383,0.011383,3.338451,1.0,2.338451
小号铁钉,8,90,0.0021,0.00058,0.00058,3.620592,1.0,2.620592
小号铁钉,9,1,2.6231,0.875958,0.875958,2.994549,1.0,1.994549
小号铁钉,9,2,2.3505,0.808559,0.808559,2.907023,1.0,1.907023
小号铁钉,9,3,2.1061,0.745802,0.745802,2.823941,1.0,1.823941
小号铁钉,9,4,1.9932,0.698656,0.698656,2.852906,1.0,1.852906
小号铁钉,9,5,1.8816,0.651078,0.651078,2.889977,1.0,1.889977
小号铁钉,9,6,1.7796,0.616501,0.616501,2.886612,1.0,1.886612
小号铁钉,9,7,1.6837,0.57979,0.57979,2.903981,1.0,1.903981
小号铁钉,9,8,1.5962,0.553038,0.553038,2.88624,1.0,1.88624
小号铁钉,9,9,1.5061,0.516667,0.516667,2.91503,1.0,1.91503
小号铁钉,9,10,1.4184,0.474942,0.474942,2.986467,1.0,1.986467
小号铁钉,9,11,1.3338,0.432305,0.432305,3.085324,1.0,2.085324
小号铁钉,9,12,1.2566,0.396366,0.396366,3.170304,1.0,2.170304
小号铁钉,9,13,1.1932,0.389712,0.389712,3.061746,1.0,2.061746
小号铁钉,9,14,1.1282,0.369112,0.369112,3.056524,1.0,2.056524
小号铁钉,9,15,1.064,0.345197,0.345197,3.082297,1.0,2.082297
小号铁钉,9,22,0.5875,0.212358,0.212358,2.766551,1.0,1.766551
小号铁钉,9,30,0.3176,0.111506,0.111506,2.84829,1.0,1.84829
小号铁钉,9,37,0.202,0.071699,0.071699,2.817321,1.0,1.817321
小号铁钉,9,44,0.1215,0.041917,0.041917,2.898555,1.0,1.898555
小号铁钉,9,51,0.0725,0.022821,0.022821,3.17689,1.0,2.17689
小号铁钉,9,58,0.0317,0.011383,0.011383,2.784971,1.0,1.784971
小号铁钉,9,90,0.0017,0.00058,0.00058,2.930956,1.0,1.930956
小号铁钉,10,1,2.8329,0.875958,0.875958,3.234058,1.0,2.234058
小号铁钉,10,2,2.5384,0.808559,0.808559,3.139412,1.0,2.139412
小号铁钉,10,3,2.2745,0.745802,0.745802,3.049739,1.0,2.049739
小号铁钉,10,4,2.1526,0.698656,0.698656,3.081059,1.0,2.081059
小号铁钉,10,5,2.0321,0.651078,0.651078,3.121132,1.0,2.121132
小号铁钉,10,6,1.9219,0.616501,0.616501,3.117431,1.0,2.117431
小号铁钉,10,7,1.8183,0.57979,0.57979,3.136134,1.0,2.136134
小号铁钉,10,8,1.7238,0.553038,0.553038,3.116965,1.0,2.116965
小号铁钉,10,9,1.6265,0.516667,0.516667,3.148062,1.0,2.148062
小号铁钉,10,10,1.5319,0.474942,0.474942,3.225443,1.0,2.225443
小号铁钉,10,11,1.4405,0.432305,0.432305,3.332141,1.0,2.332141
小号铁钉,10,12,1.3571,0.396366,0.396366,3.423858,1.0,2.423858
小号铁钉,10,13,1.2886,0.389712,0.389712,3.306542,1.0,2.306542
小号铁钉,10,14,1.2184,0.369112,0.369112,3.300894,1.0,2.300894
小号铁钉,10,15,1.1491,0.345197,0.345197,3.328823,1.0,2.328823
小号铁钉,10,22,0.6344,0.212358,0.212358,2.987404,1.0,1.987404
小号铁钉,10,30,0.343,0.111506,0.111506,3.076081,1.0,2.076081
小号铁钉,10,37,0.2181,0.071699,0.071699,3.04187,1.0,2.04187
小号铁钉,10,44,0.1313,0.041917,0.041917,3.132348,1.0,2.132348
小号铁钉,10,51,0.0783,0.022821,0.022821,3.431041,1.0,2.431041
小号铁钉,10,58,0.0342,0.011383,0.011383,3.004606,1.0,2.004606
小号铁钉,10,90,0.0019,0.00058,0.00058,3.275774,1.0,2.275774
小号铁钉,11,1,1.4846,0.875958,0.875958,1.69483,1.0,0.69483
小号铁钉,11,2,1.3302,0.808559,0.808559,1.645149,1.0,0.645149
小号铁钉,11,3,1.192,0.745802,0.745802,1.59828,1.0,0.59828
小号铁钉,11,4,1.128,0.698656,0.698656,1.614528,1.0,0.614528
小号铁钉,11,5,1.0649,0.651078,0.651078,1.635595,1.0,0.635595
小号铁钉,11,6,1.0072,0.616501,0.616501,1.633736,1.0,0.633736
小号铁钉,11,7,0.9529,0.57979,0.57979,1.643525,1.0,0.643525
小号铁钉,11,8,0.9034,0.553038,0.553038,1.633523,1.0,0.633523
小号铁钉,11,9,0.8524,0.516667,0.516667,1.649805,1.0,0.649805
小号铁钉,11,10,0.8028,0.474942,0.474942,1.69031,1.0,0.69031
小号铁钉,11,11,0.7549,0.432305,0.432305,1.746222,1.0,0.746222
小号铁钉,11,12,0.7112,0.396366,0.396366,1.794302,1.0,0.794302
小号铁钉,11,13,0.6753,0.389712,0.389712,1.732817,1.0,0.732817
小号铁钉,11,14,0.6385,0.369112,0.369112,1.729827,1.0,0.729827
小号铁钉,11,15,0.6022,0.345197,0.345197,1.744511,1.0,0.744511
小号铁钉,11,22,0.3325,0.212358,0.212358,1.56575,1.0,0.56575
小号铁钉,11,30,0.1798,0.111506,0.111506,1.612476,1.0,0.612476
小号铁钉,11,37,0.1143,0.071699,0.071699,1.594157,1.0,0.594157
小号铁钉,11,44,0.0688,0.041917,0.041917,1.641322,1.0,0.641322
小号铁钉,11,51,0.041,0.022821,0.022821,1.796586,1.0,0.796586
小号铁钉,11,58,0.0179,0.011383,0.011383,1.572586,1.0,0.572586
小号铁钉,11,90,0.001,0.00058,0.00058,1.724092,1.0,0.724092
小号铁钉,12,1,3.3464,0.875958,0.875958,3.820273,1.0,2.820273
小号铁钉,12,2,2.9986,0.808559,0.808559,3.708573,1.0,2.708573
小号铁钉,12,3,2.6869,0.745802,0.745802,3.602701,1.0,2.602701
小号铁钉,12,4,2.5428,0.698656,0.698656,3.639559,1.0,2.639559
小号铁钉,12,5,2.4004,0.651078,0.651078,3.686809,1.0,2.686809
小号铁钉,12,6,2.2703,0.616501,0.616501,3.682556,1.0,2.682556
小号铁钉,12,7,2.1479,0.57979,0.57979,3.704615,1.0,2.704615
小号铁钉,12,8,2.0363,0.553038,0.553038,3.682026,1.0,2.682026
小号铁钉,12,9,1.9214,0.516667,0.516667,3.718836,1.0,2.718836
小号铁钉,12,10,1.8095,0.474942,0.474942,3.809935,1.0,2.809935
小号铁钉,12,11,1.7016,0.432305,0.432305,3.936113,1.0,2.936113
小号铁钉,12,12,1.6031,0.396366,0.396366,4.044497,1.0,3.044497
小号铁钉,12,13,1.5222,0.389712,0.389712,3.905958,1.0,2.905958
小号铁钉,12,14,1.4393,0.369112,0.369112,3.899357,1.0,2.899357
小号铁钉,12,15,1.3574,0.345197,0.345197,3.932247,1.0,2.932247
小号铁钉,12,22,0.7494,0.212358,0.212358,3.528942,1.0,2.528942
小号铁钉,12,30,0.4052,0.111506,0.111506,3.633901,1.0,2.633901
小号铁钉,12,37,0.2577,0.071699,0.071699,3.594176,1.0,2.594176
小号铁钉,12,44,0.155,0.041917,0.041917,3.697746,1.0,2.697746
小号铁钉,12,51,0.0925,0.022821,0.022821,4.053273,1.0,3.053273
小号铁钉,12,58,0.0405,0.011383,0.011383,3.558086,1.0,2.558086
小号铁钉,12,90,0.0022,0.00058,0.00058,3.793002,1.0,2.793002
小号铁钉,13,1,3.0768,0.875958,0.875958,3.512496,1.0,2.512496
小号铁钉,13,2,2.757,0.808559,0.808559,3.40977,1.0,2.40977
小号铁钉,13,3,2.4704,0.745802,0.745802,3.312409,1.0,2.312409
小号铁钉,13,4,2.3379,0.698656,0.698656,3.346282,1.0,2.346282
小号铁钉,13,5,2.207,0.651078,0.651078,3.389763,1.0,2.389763
小号铁钉,13,6,2.0874,0.616501,0.616501,3.385881,1.0,2.385881
小号铁钉,13,7,1.9749,0.57979,0.57979,3.406232,1.0,2.406232
小号铁钉,13,8,1.8722,0.553038,0.553038,3.385301,1.0,2.385301
小号铁钉,13,9,1.7666,0.516667,0.516667,3.419223,1.0,2.419223
小号铁钉,13,10,1.6638,0.474942,0.474942,3.503161,1.0,2.503161
小号铁钉,13,11,1.5645,0.432305,0.432305,3.618975,1.0,2.618975
小号铁钉,13,12,1.4739,0.396366,0.396366,3.718535,1.0,2.718535
小号铁钉,13,13,1.3996,0.389712,0.389712,3.591367,1.0,2.591367
小号铁钉,13,14,1.3233,0.369112,0.369112,3.58509,1.0,2.58509
小号铁钉,13,15,1.2481,0.345197,0.345197,3.615616,1.0,2.615616
小号铁钉,13,22,0.6891,0.212358,0.212358,3.244988,1.0,2.244988
小号铁钉,13,30,0.3726,0.111506,0.111506,3.341539,1.0,2.341539
小号铁钉,13,37,0.2369,0.071699,0.071699,3.304076,1.0,2.304076
小号铁钉,13,44,0.1426,0.041917,0.041917,3.401926,1.0,2.401926
小号铁钉,13,51,0.085,0.022821,0.022821,3.724629,1.0,2.724629
小号铁钉,13,58,0.0372,0.011383,0.011383,3.268168,1.0,2.268168
小号铁钉,13,90,0.002,0.00058,0.00058,3.448183,1.0,2.448183
小号铁钉,14,1,1.8606,0.875958,0.875958,2.124074,1.0,1.124074
小号铁钉,14,2,1.6672,0.808559,0.808559,2.06194,1.0,1.06194
小号铁钉,14,3,1.4939,0.745802,0.745802,2.00308,1.0,1.00308
小号铁钉,14,4,1.4138,0.698656,0.698656,2.0236,1.0,1.0236
小号铁钉,14,5,1.3347,0.651078,0.651078,2.049985,1.0,1.049985
小号铁钉,14,6,1.2623,0.616501,0.616501,2.047522,1.0,1.047522
小号铁钉,14,7,1.1943,0.57979,0.57979,2.059883,1.0,1.059883
小号铁钉,14,8,1.1322,0.553038,0.553038,2.047238,1.0,1.047238
小号铁钉,14,9,1.0683,0.516667,0.516667,2.067676,1.0,1.067676
小号铁钉,14,10,1.0061,0.474942,0.474942,2.118362,1.0,1.118362
小号铁钉,14,11,0.9461,0.432305,0.432305,2.188503,1.0,1.188503
小号铁钉,14,12,0.8913,0.396366,0.396366,2.248681,1.0,1.248681
小号铁钉,14,13,0.8464,0.389712,0.389712,2.171859,1.0,1.171859
小号铁钉,14,14,0.8003,0.369112,0.369112,2.168176,1.0,1.168176
小号铁钉,14,15,0.7547,0.345197,0.345197,2.186287,1.0,1.186287
小号铁钉,14,22,0.4167,0.212358,0.212358,1.96225,1.0,0.96225
小号铁钉,14,30,0.2253,0.111506,0.111506,2.020528,1.0,1.020528
小号铁钉,14,37,0.1433,0.071699,0.071699,1.998624,1.0,0.998624
小号铁钉,14,44,0.0862,0.041917,0.041917,2.056424,1.0,1.056424
小号铁钉,14,51,0.0514,0.022821,0.022821,2.252305,1.0,1.252305
小号铁钉,14,58,0.0225,0.011383,0.011383,1.976715,1.0,0.976715
小号铁钉,14,90,0.0012,0.00058,0.00058,2.06891,1.0,1.06891
小号铁钉,15,1,1.8008,0.875958,0.875958,2.055806,1.0,1.055806
小号铁钉,15,2,1.6136,0.808559,0.808559,1.995649,1.0,0.995649
小号铁钉,15,3,1.4459,0.745802,0.745802,1.938719,1.0,0.938719
小号铁钉,15,4,1.3683,0.698656,0.698656,1.958475,1.0,0.958475
小号铁钉,15,5,1.2917,0.651078,0.651078,1.983941,1.0,0.983941
小号铁钉,15,6,1.2217,0.616501,0.616501,1.981667,1.0,0.981667
小号铁钉,15,7,1.1559,0.57979,0.57979,1.993652,1.0,0.993652
小号铁钉,15,8,1.0958,0.553038,0.553038,1.981419,1.0,0.981419
小号铁钉,15,9,1.0339,0.516667,0.516667,2.001095,1.0,1.001095
小号铁钉,15,10,0.9738,0.474942,0.474942,2.050353,1.0,1.050353
小号铁钉,15,11,0.9157,0.432305,0.432305,2.118182,1.0,1.118182
小号铁钉,15,12,0.8626,0.396366,0.396366,2.176273,1.0,1.176273
小号铁钉,15,13,0.8192,0.389712,0.389712,2.102064,1.0,1.102064
小号铁钉,15,14,0.7745,0.369112,0.369112,2.098278,1.0,1.098278
小号铁钉,15,15,0.7305,0.345197,0.345197,2.116183,1.0,1.116183
小号铁钉,15,22,0.4033,0.212358,0.212358,1.899149,1.0,0.899149
小号铁钉,15,30,0.2181,0.111506,0.111506,1.955957,1.0,0.955957
小号铁钉,15,37,0.1387,0.071699,0.071699,1.934467,1.0,0.934467
小号铁钉,15,44,0.0834,0.041917,0.041917,1.989626,1.0,0.989626
小号铁钉,15,51,0.0498,0.022821,0.022821,2.182195,1.0,1.182195
小号铁钉,15,58,0.0218,0.011383,0.011383,1.915217,1.0,0.915217
小号铁钉,15,90,0.0012,0.00058,0.00058,2.06891,1.0,1.06891
小号铁钉,16,1,1.8039,0.875958,0.875958,2.059345,1.0,1.059345
小号铁钉,16,2,1.6164,0.808559,0.808559,1.999112,1.0,0.999112
小号铁钉,16,3,1.4484,0.745802,0.745802,1.942071,1.0,0.942071
小号铁钉,16,4,1.3707,0.698656,0.698656,1.96191,1.0,0.96191
小号铁钉,16,5,1.294,0.651078,0.651078,1.987473,1.0,0.987473
小号铁钉,16,6,1.2238,0.616501,0.616501,1.985073,1.0,0.985073
小号铁钉,16,7,1.1578,0.57979,0.57979,1.996929,1.0,0.996929
小号铁钉,16,8,1.0977,0.553038,0.553038,1.984855,1.0,0.984855
小号铁钉,16,9,1.0357,0.516667,0.516667,2.004579,1.0,1.004579
小号铁钉,16,10,0.9754,0.474942,0.474942,2.053722,1.0,1.053722
小号铁钉,16,11,0.9172,0.432305,0.432305,2.121652,1.0,1.121652
小号铁钉,16,12,0.8641,0.396366,0.396366,2.180057,1.0,1.180057
小号铁钉,16,13,0.8206,0.389712,0.389712,2.105656,1.0,1.105656
小号铁钉,16,14,0.7759,0.369112,0.369112,2.102071,1.0,1.102071
小号铁钉,16,15,0.7317,0.345197,0.345197,2.119659,1.0,1.119659
小号铁钉,16,22,0.404,0.212358,0.212358,1.902445,1.0,0.902445
小号铁钉,16,30,0.2184,0.111506,0.111506,1.958648,1.0,0.958648
